ID,NAME,AGE,MATCH_NAME,RAW_AGE,MATCH_URL
00400/1,ZUBIR BIN AHMAD,,zubir-bin-ahmad,,http://pru.sinarharian.com.my/calon/2640/zubir-ahmad
00400/2,DR MAHATHIR BIN MOHAMAD,93,dr-mahathir-bin-mohamad,1925,http://pru.sinarharian.com.my/calon/5877/mahathir-mohamad
00400/3,DATO' IR. NAWAWI BIN AHMAD,57,dato'-ir.-nawawi-bin-ahmad,1961,http://pru.sinarharian.com.my/calon/333/nawawi-ahmad
00500/1,ABD. GHANI BIN AHMAD,,abd.-ghani-bin-ahmad,,http://pru.sinarharian.com.my/calon/335/abd-ghani-ahmad
00500/2,OTHMAN BIN AZIZ,59,othman-bin-aziz,1959,http://pru.sinarharian.com.my/calon/210/othman-aziz
00500/3,MUKHRIZ MAHATHIR,54,mukhriz-mahathir,1964,http://pru.sinarharian.com.my/calon/943/mukhriz-mahathir
00600/1,DATO' SRI MOHD JOHARI BIN BAHARUM,,dato'-sri-mohd-johari-bin-baharum,,http://pru.sinarharian.com.my/calon/211/mohd-johari-baharum
00600/2,DATO' AMIRUDDIN HAMZAH,56,dato'-amiruddin-hamzah,1962,http://pru.sinarharian.com.my/calon/2648/amiruddin-hamzah
00600/3,NORHAFIZA BINTI FADZIL,,norhafiza-binti-fadzil,23,http://pru.sinarharian.com.my/calon/5026/norhafiza-fadzil
00700/1,USTAZ AZAM BIN AZIZ,,ustaz-azam-bin-aziz,,http://pru.sinarharian.com.my/calon/6277/mohd-azam-majid-abd-aziz
00700/2,KHAIRIZAL KHAZALI,,khairizal-khazali,,http://pru.sinarharian.com.my/calon/6284/mohd-khairizal-khazali
00700/3,DATO' SERI MAHDZIR KHALID,58,dato'-seri-mahdzir-khalid,1960,http://pru.sinarharian.com.my/calon/212/mahdzir-khalid
00800/1,DATO' HJ MAHFUZ OMAR,61,dato'-hj-mahfuz-omar,1957,http://pru.sinarharian.com.my/calon/2139/mahfuz-omar
00800/2,DATO' SAID ALI BIN SYED RASTAN,,dato'-said-ali-bin-syed-rastan,,http://pru.sinarharian.com.my/calon/5152/said-ali-syed-rastan
00800/3,RADHI MAT DIN,53,radhi-mat-din,1965,http://pru.sinarharian.com.my/calon/5145/muhamad-radhi-mat-din
00900/1,AMINUR SHAFIQ,28,aminur-shafiq,14,http://pru.sinarharian.com.my/calon/5382/muhammad-aminur-shafiq-mohamad-abduh
00900/2,YOO WEI HOW,,yoo-wei-how,,http://pru.sinarharian.com.my/calon/5341/yoo-wei-how
00900/3,CHAN MING KAI,38,chan-ming-kai,1980,http://pru.sinarharian.com.my/calon/3346/chan-ming-kai
01000/1,MUHAMAD RIDUAN BIN OTHMAN,,muhamad-riduan-bin-othman,,http://pru.sinarharian.com.my/calon/4898/muhammad-riduan-othman
01000/2,ABDULLAH HASNAN BIN KAMARUDDIN,,abdullah-hasnan-bin-kamaruddin,,http://pru.sinarharian.com.my/calon/4926/abdullah-hasnan-kamaruddin
01000/3,DR AZMAN ISMAIL,60,dr-azman-ismail,60,http://pru.sinarharian.com.my/calon/2999/azman-ismail
01100/1,OTHMAN BIN ABDUL,55,othman-bin-abdul,1963,http://pru.sinarharian.com.my/calon/215/othman-abdul
01100/2,HJ. AWANG SOLAHUDIN,,hj.-awang-solahudin,,http://pru.sinarharian.com.my/calon/5033/awang-solahuddin-hashim
01100/3,WAN SAIFUL WAN JAN,43,wan-saiful-wan-jan,1975,http://pru.sinarharian.com.my/calon/5030/wan-saifulruddin-wan-jan
01100/4,PENGHULU MALIK,,penghulu-malik,,http://pru.sinarharian.com.my/calon/6322/abdul-malik-manaf
01200/1,USTAZ SABRI BIN AZIT,52,ustaz-sabri-bin-azit,1966,http://pru.sinarharian.com.my/calon/5011/sabri-azit
01200/2,DATO' SERI JAMIL KHIR BIN BAHAROM,57,dato'-seri-jamil-khir-bin-baharom,1961,http://pru.sinarharian.com.my/calon/216/jamil-khir-baharom
01200/3,AKHRAMSYAH BIN SANUSI JUNID,,akhramsyah-bin-sanusi-junid,,http://pru.sinarharian.com.my/calon/5137/akhramsyah-muammar-ubaidah
01300/1,USTAZ TARMIZI SULAIMAN,42,ustaz-tarmizi-sulaiman,1976,http://pru.sinarharian.com.my/calon/2656/ahmad-tarmizi-sulaiman
01300/2,DR MANSOR BIN ABD RAHMAN,,dr-mansor-bin-abd-rahman,,http://pru.sinarharian.com.my/calon/217/mansor-abd-rahman
01300/3,AZLI CHE UDA,,azli-che-uda,,http://pru.sinarharian.com.my/calon/6334/azli-uda
01400/1,NURIN AINA,,nurin-aina,,http://pru.sinarharian.com.my/calon/3000/nor-azrina-surip-nurin-aina
01400/2,USTAZ AHMAD FAUZI,,ustaz-ahmad-fauzi,,http://pru.sinarharian.com.my/calon/5059/ahmad-fauzi-ramli
01400/3,DATO' TAJUL URUS HJ. MAT ZAIN,66,dato'-tajul-urus-hj.-mat-zain,1952,http://pru.sinarharian.com.my/calon/115/tajul-urus-mat-zain
01500/1,DATO' JOHARI ABDUL,63,dato'-johari-abdul,1955,http://pru.sinarharian.com.my/calon/5062/johari-abdul
01500/2,USTAZ SHARIR LONG,,ustaz-sharir-long,,http://pru.sinarharian.com.my/calon/5063/shahril-long-ustaz-sharir-long
01500/3,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,,dato'-shahanim-binti-mohamad-yusoff,,http://pru.sinarharian.com.my/calon/5061/shahanim-mohd-yusof
01500/4,P. SRITHARAN,,p.-sritharan,,http://pru.sinarharian.com.my/calon/5064/sritharan-al-pichathu
01600/1,USTAZ HASSAN BIN SAAD,,ustaz-hassan-bin-saad,,http://pru.sinarharian.com.my/calon/5694/hassan-saad
01600/2,MOHD TAUFIK BIN HJ YAACOB,,mohd-taufik-bin-hj-yaacob,,http://pru.sinarharian.com.my/calon/5693/mohd-taufik-yaacob
01600/3,DATUK AZEEZ RAHIM,52,datuk-azeez-rahim,1966,http://pru.sinarharian.com.my/calon/220/abdul-azeez-abdul-rahim
01700/1,KARUPAIYA MUTUSAMI,,karupaiyyah-mutusamy,,http://pru.sinarharian.com.my/calon/5204/karupaiyyah-mutusamy
01700/2,MUHAMAD SOBRI BIN OSMAN,,muhamad-sobri-bin-osman,,http://pru.sinarharian.com.my/calon/6342/muhamad-sobri-osman
01700/3,DATO' DR. LEONG YONG KONG,58,dato'-dr.-leong-yong-kong,1960,http://pru.sinarharian.com.my/calon/1535/leong-yong-kong
01800/1,DATO' ABD AZIZ HJ. SHEIKH FADZIR,55,dato'-abd-aziz-hj.-sheikh-fadzir,1963,http://pru.sinarharian.com.my/calon/354/abdul-aziz-sheikh-fadzir
01800/2,DATO' SAIFUDDIN NASUTION ISMAIL,55,dato'-saifuddin-nasution-ismail,1963,http://pru.sinarharian.com.my/calon/2871/saifuddin-nasution-ismail
01800/3,USTAZ HASSAN RAZAK,,ustaz-hassan-razak,,http://pru.sinarharian.com.my/calon/5669/hassan-abdul-razak
