ID,NAME,AGE,MATCH_NAME,RAW_AGE,MATCH_URL
07800/1,MANOGARAN,59,manogaran,1959,http://pru.sinarharian.com.my/calon/3649/manogaran-al-marimuthu
07800/3,DATO' SIVARRAAJH CHANDRAN,42,dato'-sivarraajh-chandran,1976,http://pru.sinarharian.com.my/calon/5351/sivarraajh-chandran
07800/4,USTAZ TAHIR,,ustaz-tahir,,http://pru.sinarharian.com.my/calon/6598/mohd-tahir-kassim
07800/5,SURESH KUMAR,42,suresh-kumar,1976,http://pru.sinarharian.com.my/calon/6601/suresh-kumar-al-balasubramaniam
07900/1,DATO BADARUDIN ABD RAHAMAN,54,dato-badarudin-abd-rahaman,1964,http://pru.sinarharian.com.my/calon/258/abdul-rahman-mohamad
07900/2,ABDUL RAHMAN BIN MOHAMAD,54,abdul-rahman-bin-mohamad,1964,http://pru.sinarharian.com.my/calon/258/abdul-rahman-mohamad
08000/1,TENGKU ZULPURI SHAH,54,tengku-zulpuri-shah,1964,http://pru.sinarharian.com.my/calon/3849/tengku-zulpuri-shah-raja-puji
08000/2,CHEW MEI FUN,54,chew-mei-fun,1964,http://pru.sinarharian.com.my/calon/3849/tengku-zulpuri-shah-raja-puji
08000/3,DR MOHAMED NILAM,,dr-mohamed-nilam,,http://pru.sinarharian.com.my/calon/2108/mohamed-nilam-abdul-manap
08100/1,DATO' AHMAD NAZLAN,60,dato'-ahmad-nazlan,1958,http://pru.sinarharian.com.my/calon/259/ahmad-nazlan-idris
08100/2,USTAZ YOHANIS AHMAD,,ustaz-yohanis-ahmad,,http://pru.sinarharian.com.my/calon/2763/yohanis-ahmad
08100/3,WAN MOHD SHAHRIR,,wan-mohd-shahrir,,http://pru.sinarharian.com.my/calon/6611/wan-mohd-shaharir-wan-abd-jalil
08200/1,DATO' DR JOHAN BIN MAT SAH,,dato'-dr-johan-bin-mat-sah,,http://pru.sinarharian.com.my/calon/5231/johan-mat-sah
08200/2,USTAZ NASRUDIN HASSAN TANTAWI,48,ustaz-nasrudin-hassan-tantawi,1970,http://pru.sinarharian.com.my/calon/2174/nasrudin-hassan
08200/3,DATO' SAIFUDDIN ABDULLAH,57,dato'-saifuddin-abdullah,1961,http://pru.sinarharian.com.my/calon/266/saifuddin-abdullah
08300/1,CIKGU SULAIMAN MD DERUS,,cikgu-sulaiman-md-derus,,http://pru.sinarharian.com.my/calon/4936/sulaiman-mat-derus
08300/2,FUZIAH SALLEH,59,fuziah-salleh,1959,http://pru.sinarharian.com.my/calon/3021/fuziah-salleh
08300/3,DATO' WONG KEAN HWEE,57,dato'-wong-kean-hwee,1961,http://pru.sinarharian.com.my/calon/5936/wong-kean-hwee
08400/1,MOHD ASHRAF MUSTAQIM,,mohd-ashraf-mustaqim,,http://pru.sinarharian.com.my/calon/6134/mohd-ashraf-mustaqim-badrul-munir
08400/2,MOHD SHAHAR BIN ABDULLAH,38,mohd-shahar-bin-abdullah,1980,http://pru.sinarharian.com.my/calon/6095/mohd-shahar-abdullah
08400/3,MOHAMAD AZHAR BIN MOHD NOOR,,mohamad-azhar-bin-mohd-noor,,http://pru.sinarharian.com.my/calon/4940/mohd-noor-mohd-shahar
08500/1,MUHD ZAHID MD ARIP,52,muhd-zahid-md-arip,1966,http://pru.sinarharian.com.my/calon/6618/muhammad-zahid-md-arip
08500/2,DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,65,dato'-sri-mohd-najib-bin-tun-abd-razak,1953,http://pru.sinarharian.com.my/calon/263/mohd-najib-abdul-razak
08500/3,ABD KADIR BIN SAINUDIN,,abd-kadir-bin-sainudin,,http://pru.sinarharian.com.my/calon/3462/abd-kadir-sainudin
08600/1,CIKGU HASENAN HARON,64,cikgu-hasenan-haron,1954,http://pru.sinarharian.com.my/calon/264/ismail-abd-muttalib
08600/2,DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,64,dato'-sri-dr-hj-ismail-bin-hj-abd-muttalib,1954,http://pru.sinarharian.com.my/calon/264/ismail-abd-muttalib
08600/3,AHMAD FARID BIN AHMAD NORDIN,,ahmad-farid-bin-ahmad-nordin,,http://pru.sinarharian.com.my/calon/6583/ahmad-farid-ahman-nordin
08700/1,MOHAMAD RAFIDEE,,mohamad-rafidee,,http://pru.sinarharian.com.my/calon/6619/mohamad-rafidee-hassim
08700/2,USTAZ HAJI KAMAL BIN ASHAARI,48,ustaz-haji-kamal-bin-ashaari,1970,http://pru.sinarharian.com.my/calon/2773/kamal-ashaari
08700/3,DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,53,dato'-sri-haji-ismail-bin-haji-mohamed-said,1965,http://pru.sinarharian.com.my/calon/265/ismail-mohamed-said
08800/1,KHAIDIR AHMAD,56,khaidir-ahmad,1962,http://pru.sinarharian.com.my/calon/6588/khaidir-ahmad
08800/3,DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,56,dato'-sri-haji-mohd-sharkar-bin-haji-shamsudin,1962,http://pru.sinarharian.com.my/calon/1119/mohd-sharkar-shamsudin
08800/4,HAJI MD JUSOH BIN DARUS,62,haji-md-jusoh-bin-darus,1956,http://pru.sinarharian.com.my/calon/4969/md-jusoh-darus
08800/5,HJ ANUAR TAHIR,,hj-anuar-tahir,,http://pru.sinarharian.com.my/calon/4904/mohd-anuar-tahir
