UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY_ISSUED
P.004_P.004/POSTAL VOTE_UNDI POS_1,KEDAH,POSTAL VOTE,P.004,LANGKAWI,P.004/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,915,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,397,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,265,PAS,ZUBIR BIN AHMAD,MALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,743,99,73,TRUE
P.004_P.004/EARLY VOTE_004/01/00_1,KEDAH,EARLY VOTE,P.004,LANGKAWI,P.004/EARLY VOTE,EARLY VOTE,004/01/00,UNDI AWAL,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1,208,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,98,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,82,PAS,ZUBIR BIN AHMAD,MALE,,27,,,,,,,,,,,,,,,,,,,,,,,,,,207,1,0,TRUE
P.004_P.004/EARLY VOTE_004/02/00_1,KEDAH,EARLY VOTE,P.004,LANGKAWI,P.004/EARLY VOTE,EARLY VOTE,004/02/00,UNDI AWAL,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1,359,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,239,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,86,PAS,ZUBIR BIN AHMAD,MALE,,23,,,,,,,,,,,,,,,,,,,,,,,,,,348,11,0,TRUE
P.004_P.004/EARLY VOTE_004/02/00_1,KEDAH,EARLY VOTE,P.004,LANGKAWI,P.004/EARLY VOTE,EARLY VOTE,004/02/00,UNDI AWAL,"DEWAN TUN RAHAH, TENTERA LAUT DIRAJA MALAYSIA",1,391,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,91,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,205,PAS,ZUBIR BIN AHMAD,MALE,,91,,,,,,,,,,,,,,,,,,,,,,,,,,387,4,0,TRUE
P.004_N.01_004/01/01_1,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/01,KUALA TERIANG,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",1,314,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,149,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,85,PAS,ZUBIR BIN AHMAD,MALE,,76,,,,,,,,,,,,,,,,,,,,,,,,,,310,4,0,TRUE
P.004_N.01_004/01/01_2,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/01,KUALA TERIANG,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",2,469,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,118,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,209,PAS,ZUBIR BIN AHMAD,MALE,,134,,,,,,,,,,,,,,,,,,,,,,,,,,461,8,0,TRUE
P.004_N.01_004/01/01_3,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/01,KUALA TERIANG,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",3,426,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,113,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,195,PAS,ZUBIR BIN AHMAD,MALE,,115,,,,,,,,,,,,,,,,,,,,,,,,,,423,3,0,TRUE
P.004_N.01_004/01/02_1,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/02,EWA,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",1,277,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,89,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,144,PAS,ZUBIR BIN AHMAD,MALE,,36,,,,,,,,,,,,,,,,,,,,,,,,,,269,8,0,TRUE
P.004_N.01_004/01/02_2,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/02,EWA,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",2,511,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,125,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,298,PAS,ZUBIR BIN AHMAD,MALE,,84,,,,,,,,,,,,,,,,,,,,,,,,,,507,4,0,TRUE
P.004_N.01_004/01/02_3,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/02,EWA,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",3,475,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,72,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,321,PAS,ZUBIR BIN AHMAD,MALE,,79,,,,,,,,,,,,,,,,,,,,,,,,,,472,3,0,TRUE
P.004_N.01_004/01/03_1,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/03,PADANG LALANG,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",1,280,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,111,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,99,PAS,ZUBIR BIN AHMAD,MALE,,61,,,,,,,,,,,,,,,,,,,,,,,,,,271,9,0,TRUE
P.004_N.01_004/01/03_2,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/03,PADANG LALANG,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",2,618,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,182,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,327,PAS,ZUBIR BIN AHMAD,MALE,,93,,,,,,,,,,,,,,,,,,,,,,,,,,602,16,0,TRUE
P.004_N.01_004/01/03_3,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/03,PADANG LALANG,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",3,578,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,120,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,331,PAS,ZUBIR BIN AHMAD,MALE,,117,,,,,,,,,,,,,,,,,,,,,,,,,,568,10,0,TRUE
P.004_N.01_004/01/03_4,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/03,PADANG LALANG,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",4,529,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,92,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,341,PAS,ZUBIR BIN AHMAD,MALE,,94,,,,,,,,,,,,,,,,,,,,,,,,,,527,2,0,TRUE
P.004_N.01_004/01/03_5,KEDAH,NORMAL VOTE,P.004,LANGKAWI,N.01,AYER HANGAT,004/01/03,PADANG LALANG,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",5,499,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,,76,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,,320,PAS,ZUBIR BIN AHMAD,MALE,,101,,,,,,,,,,,,,,,,,,,,,,,,,,497,2,0,TRUE
