UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY_ISSUED
P.134_P.134/POSTAL VOTE_UNDI POS_1,MELAKA,POSTAL VOTE,P.134,MASJID TANAH,P.134/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,1011,UMNO,MAS ERMIEYATI,FEMALE,,555,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,144,PAS,USTAZ NASIR OTHMAN,MALE,,76,,,,,,,,,,,,,,,,,,,,,,,,,,775,111,125,TRUE
P.134_P.134/EARLY VOTE_134/01/00_1,MELAKA,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/01/00,UNDI AWAL,BILIK TAKLIMAT BALAI POLIS KUALA SUNGAI BARU,1,16,UMNO,MAS ERMIEYATI,FEMALE,,16,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,0,PAS,USTAZ NASIR OTHMAN,MALE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,TRUE
P.134_P.134/EARLY VOTE_134/03/00_1,MELAKA,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/03/00,UNDI AWAL,BILIK TAKLIMAT BALAI POLIS LUBOK CHINA,1,12,UMNO,MAS ERMIEYATI,FEMALE,,10,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,1,PAS,USTAZ NASIR OTHMAN,MALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,TRUE
P.134_P.134/EARLY VOTE_134/04/00_1,MELAKA,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/04/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS MASJID TANAH,1,40,UMNO,MAS ERMIEYATI,FEMALE,,30,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,4,PAS,USTAZ NASIR OTHMAN,MALE,,5,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,0,TRUE
P.134_P.134/EARLY VOTE_134/04/00_1,MELAKA,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/04/00,UNDI AWAL,BILIK GERAKAN 96 DPP,1,220,UMNO,MAS ERMIEYATI,FEMALE,,139,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,40,PAS,USTAZ NASIR OTHMAN,MALE,,41,,,,,,,,,,,,,,,,,,,,,,,,,,220,0,0,TRUE
P.134_P.134/EARLY VOTE_134/05/00_1,MELAKA,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/05/00,UNDI AWAL,BILIK TAKLIMAT BALAI POLIS SIMPANG EMPAT,1,15,UMNO,MAS ERMIEYATI,FEMALE,,15,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,0,PAS,USTAZ NASIR OTHMAN,MALE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,TRUE
P.134_N.01_134/01/01_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,1,296,UMNO,MAS ERMIEYATI,FEMALE,,210,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,68,PAS,USTAZ NASIR OTHMAN,MALE,,7,,,,,,,,,,,,,,,,,,,,,,,,,,285,11,0,TRUE
P.134_N.01_134/01/01_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,2,445,UMNO,MAS ERMIEYATI,FEMALE,,298,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,113,PAS,USTAZ NASIR OTHMAN,MALE,,30,,,,,,,,,,,,,,,,,,,,,,,,,,441,4,0,TRUE
P.134_N.01_134/01/01_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,3,433,UMNO,MAS ERMIEYATI,FEMALE,,224,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,163,PAS,USTAZ NASIR OTHMAN,MALE,,43,,,,,,,,,,,,,,,,,,,,,,,,,,430,3,0,TRUE
P.134_N.01_134/01/01_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,4,434,UMNO,MAS ERMIEYATI,FEMALE,,223,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,168,PAS,USTAZ NASIR OTHMAN,MALE,,39,,,,,,,,,,,,,,,,,,,,,,,,,,430,4,0,TRUE
P.134_N.01_134/01/02_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR,SEKOLAH KEBANGSAAN AYER JERNEH,1,293,UMNO,MAS ERMIEYATI,FEMALE,,205,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,55,PAS,USTAZ NASIR OTHMAN,MALE,,20,,,,,,,,,,,,,,,,,,,,,,,,,,280,13,0,TRUE
P.134_N.01_134/01/02_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR,SEKOLAH KEBANGSAAN AYER JERNEH,2,293,UMNO,MAS ERMIEYATI,FEMALE,,190,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,77,PAS,USTAZ NASIR OTHMAN,MALE,,22,,,,,,,,,,,,,,,,,,,,,,,,,,289,4,0,TRUE
P.134_N.01_134/01/02_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR,SEKOLAH KEBANGSAAN AYER JERNEH,3,291,UMNO,MAS ERMIEYATI,FEMALE,,169,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,95,PAS,USTAZ NASIR OTHMAN,MALE,,16,,,,,,,,,,,,,,,,,,,,,,,,,,280,11,0,TRUE
P.134_N.01_134/01/03_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,1,294,UMNO,MAS ERMIEYATI,FEMALE,,214,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,60,PAS,USTAZ NASIR OTHMAN,MALE,,12,,,,,,,,,,,,,,,,,,,,,,,,,,286,8,0,TRUE
P.134_N.01_134/01/03_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,2,361,UMNO,MAS ERMIEYATI,FEMALE,,206,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,,117,PAS,USTAZ NASIR OTHMAN,MALE,,35,,,,,,,,,,,,,,,,,,,,,,,,,,358,3,0,TRUE
