UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY_ISSUED
P.126_P.126/POSTAL VOTE_UNDI POS_1,NEGERI SEMBILAN,POSTAL VOTE,P.126,JELEBU,P.126/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,1199,UMNO,JALALUDDIN BIN ALIAS,MALE,,722,PAN,IR MUSTAFAR KADIR,MALE,,183,PAS,NORMAN IPIN,MALE,,105,,,,,,,,,,,,,,,,,,,,,,,,,,1010,5,184,TRUE
P.126_P.126/EARLY VOTE_126/01/00_1,NEGERI SEMBILAN,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/01/00,UNDI AWAL,IPD JELEBU KHEMAH 2A,1,29,UMNO,JALALUDDIN BIN ALIAS,MALE,,24,PAN,IR MUSTAFAR KADIR,MALE,,0,PAS,NORMAN IPIN,MALE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,3,TRUE
P.126_P.126/EARLY VOTE_126/02/00_1,NEGERI SEMBILAN,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/02/00,UNDI AWAL,IPD JELEBU KHEMAH B,1,17,UMNO,JALALUDDIN BIN ALIAS,MALE,,14,PAN,IR MUSTAFAR KADIR,MALE,,2,PAS,NORMAN IPIN,MALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,TRUE
P.126_P.126/EARLY VOTE_126/03/00_1,NEGERI SEMBILAN,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/03/00,UNDI AWAL,DEWAN PERDANA PULAPOL AIR HITAM,1,375,UMNO,JALALUDDIN BIN ALIAS,MALE,,341,PAN,IR MUSTAFAR KADIR,MALE,,16,PAS,NORMAN IPIN,MALE,,17,,,,,,,,,,,,,,,,,,,,,,,,,,374,1,0,TRUE
P.126_P.126/EARLY VOTE_126/03/00_2,NEGERI SEMBILAN,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/03/00,UNDI AWAL,DEWAN PERDANA PULAPOL AIR HITAM,2,361,UMNO,JALALUDDIN BIN ALIAS,MALE,,321,PAN,IR MUSTAFAR KADIR,MALE,,13,PAS,NORMAN IPIN,MALE,,26,,,,,,,,,,,,,,,,,,,,,,,,,,360,1,0,TRUE
P.126_P.126/EARLY VOTE_126/03/00_3,NEGERI SEMBILAN,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/03/00,UNDI AWAL,DEWAN PERDANA PULAPOL AIR HITAM,3,410,UMNO,JALALUDDIN BIN ALIAS,MALE,,388,PAN,IR MUSTAFAR KADIR,MALE,,11,PAS,NORMAN IPIN,MALE,,8,,,,,,,,,,,,,,,,,,,,,,,,,,407,3,0,TRUE
P.126_P.126/EARLY VOTE_126/04/00_1,NEGERI SEMBILAN,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/04/00,UNDI AWAL,RUMAH KELAB IPD JELEBU,1,194,UMNO,JALALUDDIN BIN ALIAS,MALE,,132,PAN,IR MUSTAFAR KADIR,MALE,,32,PAS,NORMAN IPIN,MALE,,25,,,,,,,,,,,,,,,,,,,,,,,,,,189,5,0,TRUE
P.126_N.01_126/01/01_1,NEGERI SEMBILAN,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/01,KAMPONG SUNGAI BULOH,SEKOLAH KEBANGSAAN SUNGAI BULOH,1,302,UMNO,JALALUDDIN BIN ALIAS,MALE,,181,PAN,IR MUSTAFAR KADIR,MALE,,96,PAS,NORMAN IPIN,MALE,,15,,,,,,,,,,,,,,,,,,,,,,,,,,292,10,0,TRUE
P.126_N.01_126/01/01_2,NEGERI SEMBILAN,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/01,KAMPONG SUNGAI BULOH,SEKOLAH KEBANGSAAN SUNGAI BULOH,2,334,UMNO,JALALUDDIN BIN ALIAS,MALE,,145,PAN,IR MUSTAFAR KADIR,MALE,,142,PAS,NORMAN IPIN,MALE,,46,,,,,,,,,,,,,,,,,,,,,,,,,,333,1,0,TRUE
P.126_N.01_126/01/02_1,NEGERI SEMBILAN,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/02,DURIAN TIPUS,SEKOLAH KEBANGSAAN DURIAN TIPUS,1,272,UMNO,JALALUDDIN BIN ALIAS,MALE,,116,PAN,IR MUSTAFAR KADIR,MALE,,147,PAS,NORMAN IPIN,MALE,,6,,,,,,,,,,,,,,,,,,,,,,,,,,269,3,0,TRUE
