ID,BALLOT_NAME,JOB,PID,JANTINA,DUN_ID,TYPE (PAR/DUN),IND_SYMBOL_ID,STATUS (WIN/LOSE/DEPOSIT),LAST_UPDATED,BALLOT_ID,TOTAL_VOTES,MAJORITY,WINNER_BALLOT_ID
1404,ZUBIR BIN AHMAD,TIADA,2,L,00400,parlimen,,KLH,2018-04-28T11:44:23.963Z,1,5512,8893,604
1327,DR MAHATHIR BIN MOHAMAD,PESARA KERAJAAN,37,L,00400,parlimen,,MNG,2018-04-28T11:44:23.963Z,2,18954,8893,604
1486,DATO' IR. NAWAWI BIN AHMAD,TIADA,1,L,00400,parlimen,,KLH,2018-04-28T11:44:23.963Z,3,10061,8893,604
1968,ABD. GHANI BIN AHMAD,PEGUAM SYARIE,2,L,00500,parlimen,,KLH,2018-04-28T11:56:07.790Z,1,12829,5866,723
1912,OTHMAN BIN AZIZ,-,1,L,00500,parlimen,,KLH,2018-04-28T11:56:07.790Z,2,12413,5866,723
2001,MUKHRIZ MAHATHIR,AHLI PERNIAGAAN,37,L,00500,parlimen,,MNG,2018-04-28T11:56:07.790Z,3,18695,5866,723
1853,DATO' SRI MOHD JOHARI BIN BAHARUM,TIMBALAN MENTERI PERTAHANAN MALAYSIA,1,L,00600,parlimen,,KLH,2018-04-28T11:49:01.803Z,1,16975,13009,770
1487,DATO' AMIRUDDIN HAMZAH,AHLI PERNIAGAAN,37,L,00600,parlimen,,MNG,2018-04-28T11:49:01.803Z,2,29984,13009,770
1542,NORHAFIZA BINTI FADZIL,TIADA,2,P,00600,parlimen,,KLH,2018-04-28T11:49:01.803Z,3,13375,13009,770
692,USTAZ AZAM BIN AZIZ,SENDIRI,2,L,00700,parlimen,,KLH,2018-04-28T11:52:01.640Z,1,15285,1099,854
1704,KHAIRIZAL KHAZALI,TIADA,37,L,00700,parlimen,,KLH,2018-04-28T11:52:01.640Z,2,7254,1099,854
1782,DATO' SERI MAHDZIR KHALID,MENTERI PENDIDIKAN MALAYSIA,1,L,00700,parlimen,,MNG,2018-04-28T11:52:01.640Z,3,16384,1099,854
1389,DATO' HJ MAHFUZ OMAR,,37,L,00800,parlimen,,MNG,2018-04-28T12:22:47.420Z,1,28959,5558,869
1335,DATO' SAID ALI BIN SYED RASTAN,TIADA,1,L,00800,parlimen,,KLH,2018-04-28T12:22:47.420Z,2,18390,5558,869
614,RADHI MAT DIN,TIADA,2,L,00800,parlimen,,KLH,2018-04-28T12:22:47.420Z,3,23401,5558,869
994,AMINUR SHAFIQ,BERNIAGA,2,L,00900,parlimen,,KLH,2018-04-28T11:51:02.063Z,1,17275,15200,881
1485,YOO WEI HOW,PENIAGA,1,L,00900,parlimen,,KLH,2018-04-28T11:51:02.063Z,2,14181,15200,881
1746,CHAN MING KAI,,37,L,00900,parlimen,,MNG,2018-04-28T11:51:02.063Z,3,32475,15200,881
586,MUHAMAD RIDUAN BIN OTHMAN,TIADA,2,L,01000,parlimen,,KLH,2018-04-28T11:36:24.090Z,1,23143,13481,1111
765,ABDULLAH HASNAN BIN KAMARUDDIN,AHLI PERNIAGAAN,1,L,01000,parlimen,,KLH,2018-04-28T11:36:24.090Z,2,19400,13481,1111
1314,DR AZMAN ISMAIL,DOKTOR PERUBATAN,37,L,01000,parlimen,,MNG,2018-04-28T11:36:24.090Z,3,36624,13481,1111
1747,OTHMAN BIN ABDUL,TIADA,1,L,01100,parlimen,,KLH,2018-04-28T11:36:13.020Z,1,20728,5808,952
1638,HJ. AWANG SOLAHUDIN,TIADA,2,L,01100,parlimen,,MNG,2018-04-28T11:36:13.020Z,2,26536,5808,952
1699,WAN SAIFUL WAN JAN,PENGARAH SYARIKAT,37,L,01100,parlimen,,KLH,2018-04-28T11:36:13.020Z,3,14901,5808,952
1578,PENGHULU MALIK,PESARA KERAJAAN,20,L,01100,parlimen,25,HD,2018-04-28T11:36:13.020Z,4,81,5808,952
1316,USTAZ SABRI BIN AZIT,TIADA,2,L,01200,parlimen,,MNG,2018-04-28T12:17:19.910Z,1,22312,539,1012
1253,DATO' SERI JAMIL KHIR BIN BAHAROM,MENTERI DI JABATAN PERDANA MENTERI,1,L,01200,parlimen,,KLH,2018-04-28T12:17:19.910Z,2,21773,539,1012
1791,AKHRAMSYAH BIN SANUSI JUNID,PENGARAH SYARIKAT,37,L,01200,parlimen,,KLH,2018-04-28T12:17:19.910Z,3,21651,539,1012
1701,USTAZ TARMIZI SULAIMAN,KERJA SENDIRI,2,L,01300,parlimen,,MNG,2018-04-28T12:18:07.450Z,1,20088,5218,729
1761,DR MANSOR BIN ABD RAHMAN,TIADA,1,L,01300,parlimen,,KLH,2018-04-28T12:18:07.450Z,2,14870,5218,729
1641,AZLI CHE UDA,,37,L,01300,parlimen,,KLH,2018-04-28T12:18:07.450Z,3,6970,5218,729
1476,NURIN AINA,KERJA SENDIRI,37,P,01400,parlimen,,MNG,2018-04-28T11:48:10.433Z,1,30902,10072,1108
1511,USTAZ AHMAD FAUZI,TIADA,2,L,01400,parlimen,,KLH,2018-04-28T11:48:10.433Z,2,19618,10072,1108
1562,DATO' TAJUL URUS HJ. MAT ZAIN,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KEDAH,1,L,01400,parlimen,,KLH,2018-04-28T11:48:10.433Z,3,20830,10072,1108
1776,DATO' JOHARI ABDUL,AHLI PERNIAGAAN,37,L,01500,parlimen,,MNG,2018-04-28T11:58:15.013Z,1,45532,21569,889
1830,USTAZ SHARIR LONG,PENDAKWAH BEBAS,2,L,01500,parlimen,,KLH,2018-04-28T11:58:15.013Z,2,22760,21569,889
1942,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,TIADA,1,P,01500,parlimen,,KLH,2018-04-28T11:58:15.013Z,3,23963,21569,889
1716,P. SRITHARAN,PENYELIA PEMASARAN,9,L,01500,parlimen,,HD,2018-04-28T11:58:15.013Z,4,279,21569,889
963,USTAZ HASSAN BIN SAAD,PESARA,2,L,01600,parlimen,,KLH,2018-04-28T12:22:25.863Z,1,37483,1074,1388
1497,MOHD TAUFIK BIN HJ YAACOB,TIADA,37,L,01600,parlimen,,KLH,2018-04-28T12:22:25.863Z,2,14472,1074,1388
992,DATUK AZEEZ RAHIM,AHLI PERNIAGAAN,1,L,01600,parlimen,,MNG,2018-04-28T12:22:25.863Z,3,38557,1074,1388
1104,KARUPAIYA MUTUSAMI,USAHAWAN,37,L,01700,parlimen,,MNG,2018-04-28T12:11:10.613Z,1,31724,8813,827
1303,MUHAMAD SOBRI BIN OSMAN,SENDIRI,2,L,01700,parlimen,,KLH,2018-04-28T12:11:10.613Z,2,22911,8813,827
656,DATO' DR. LEONG YONG KONG,TIADA,1,L,01700,parlimen,,KLH,2018-04-28T12:11:10.613Z,3,15449,8813,827
1930,DATO' ABD AZIZ HJ. SHEIKH FADZIR,AHLI PERNIAGAAN,1,L,01800,parlimen,,KLH,2018-04-28T12:09:26.363Z,1,18299,4860,894
1411,DATO' SAIFUDDIN NASUTION ISMAIL,TIADA,37,L,01800,parlimen,,MNG,2018-04-28T12:09:26.363Z,2,23159,4860,894
1881,USTAZ HASSAN RAZAK,PESARA TENTERA,2,L,01800,parlimen,,KLH,2018-04-28T12:09:26.363Z,3,12885,4860,894
