P.134_P.134/POSTAL VOTE_UNDI POS_,,POSTAL VOTE,P.134,MASJID TANAH,P.134/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,,1011
P.134_P.134/EARLY VOTE_134/01/00_1.0,,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/01/00,UNDI AWAL ,BILIK TAKLIMAT BALAI POLIS KUALA SUNGAI BARU,1.0,16
P.134_P.134/EARLY VOTE_134/03/00_1.0,,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/03/00,UNDI AWAL ,BILIK TAKLIMAT BALAI POLIS LUBOK CHINA,1.0,12
P.134_P.134/EARLY VOTE_134/04/00_1.0,,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/04/00,UNDI AWAL ,BILIK MAKLUMAT BALAI POLIS MASJID TANAH,1.0,40
P.134_P.134/EARLY VOTE_134/04/00_1.0,,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/04/00,UNDI AWAL ,BILIK GERAKAN 96 DPP,1.0,220
P.134_P.134/EARLY VOTE_134/05/00_1.0,,EARLY VOTE,P.134,MASJID TANAH,P.134/EARLY VOTE,EARLY VOTE,134/05/00,UNDI AWAL ,BILIK TAKLIMAT BALAI POLIS SIMPANG EMPAT,1.0,15
P.134_N.01_134/01/01_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN ,SEKOLAH KEBANGSAAN KUALA LINGGI,1.0,296
P.134_N.01_134/01/01_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN ,SEKOLAH KEBANGSAAN KUALA LINGGI,2.0,445
P.134_N.01_134/01/01_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN ,SEKOLAH KEBANGSAAN KUALA LINGGI,3.0,433
P.134_N.01_134/01/01_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN ,SEKOLAH KEBANGSAAN KUALA LINGGI,4.0,434
P.134_N.01_134/01/02_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR ,SEKOLAH KEBANGSAAN AYER JERNEH,1.0,293
P.134_N.01_134/01/02_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR ,SEKOLAH KEBANGSAAN AYER JERNEH,2.0,293
P.134_N.01_134/01/02_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR ,SEKOLAH KEBANGSAAN AYER JERNEH,3.0,291
P.134_N.01_134/01/03_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH ,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,1.0,294
P.134_N.01_134/01/03_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH ,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,2.0,361
P.134_N.01_134/01/03_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH ,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,3.0,358
P.134_N.01_134/01/04_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG ,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,1.0,293
P.134_N.01_134/01/04_2.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG ,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,2.0,430
P.134_N.01_134/01/04_3.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG ,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,3.0,402
P.134_N.01_134/01/04_4.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG ,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,4.0,373
P.134_N.01_134/01/05_1.0,,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/05,KUALA SUNGAI BARU ,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,1.0,293
