Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AZAM BIN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRIZAL KHAZALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI MAHDZIR KHALID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,984,263,114,392,769,97,118,UNDI POS,UNDI POS
2,007/07/00,"CAWANGAN LATIHAN, IBU PEJABAT POLIS DAERAH PADANG TERAP",1,200,18,24,157,199,1,0,UNDI AWAL,UNDI AWAL
3,007/08/00,"CAWANGAN LATIHAN, IBU PEJABAT POLIS DAERAH PADANG TERAP",1,24,1,2,20,23,1,0,UNDI AWAL,UNDI AWAL
4,2007/07/01,"SEKOLAH  KEBANGSAAN PADANG SANAI, KUALA NERANG",1,308,75,41,171,287,21,0,PADANG SANAI,UNDI BIASA
4,2007/07/01,"SEKOLAH  KEBANGSAAN PADANG SANAI, KUALA NERANG",2,353,101,60,188,349,4,0,PADANG SANAI,UNDI BIASA
4,2007/07/01,"SEKOLAH  KEBANGSAAN PADANG SANAI, KUALA NERANG",3,313,92,73,143,308,5,0,PADANG SANAI,UNDI BIASA
5,2007/07/02,"SEKOLAH KEBANGSAAN KUBANG PALAS, KUALA NERANG",1,316,91,30,175,296,20,0,KUBANG PALAS,UNDI BIASA
5,2007/07/02,"SEKOLAH KEBANGSAAN KUBANG PALAS, KUALA NERANG",2,564,204,105,249,558,6,0,KUBANG PALAS,UNDI BIASA
6,2007/07/03,"SEKOLAH MENENGAH KEBANGSAAN PADANG TERAP, KUALA NERANG",1,292,86,42,155,283,9,0,GULA PADANG TERAP,UNDI BIASA
6,2007/07/03,"SEKOLAH MENENGAH KEBANGSAAN PADANG TERAP, KUALA NERANG",2,417,169,104,142,415,2,0,GULA PADANG TERAP,UNDI BIASA
