Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAID ALI BIN SYED RASTAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RADHI MAT DIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,2078,490,629,557,1676,117,285,UNDI POS,UNDI POS
2,008/09/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1,7,4,2,1,7,0,0,UNDI AWAL,UNDI AWAL
3,008/10/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1,22,5,13,2,20,2,0,UNDI AWAL,UNDI AWAL
3,008/10/00,"KOLEJ TENTERA UDARA DIRAJA MALAYSIA, KEPALA BATAS",1,509,154,154,196,504,4,1,UNDI AWAL,UNDI AWAL
3,008/10/00,"KOLEJ TENTERA UDARA DIRAJA MALAYSIA, KEPALA BATAS",2,525,149,155,216,520,5,0,UNDI AWAL,UNDI AWAL
3,008/10/00,"KOLEJ TENTERA UDARA DIRAJA MALAYSIA, KEPALA BATAS",3,428,165,135,124,424,4,0,UNDI AWAL,UNDI AWAL
3,008/10/00,"DEWAN MAKAN, KEM BUKIT PINANG",1,424,110,145,165,420,4,0,UNDI AWAL,UNDI AWAL
4,008/11/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",1,416,78,287,48,413,3,0,UNDI AWAL,UNDI AWAL
4,008/11/00,"DEWAN UTAMA, IBU PEJABAT POLIS KONTINJEN NEGERI KEDAH",2,413,77,274,51,402,11,0,UNDI AWAL,UNDI AWAL
5,2008/09/01,"TAMAN BIMBINGAN KANAK-KANAK KG. KEDUNDONG, POKOK SENA",1,477,112,158,187,457,20,0,KEDUNDONG,UNDI BIASA
6,2008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",1,296,45,137,108,290,6,0,DERANG,UNDI BIASA
6,2008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",2,412,111,132,163,406,6,0,DERANG,UNDI BIASA
6,2008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",3,368,102,104,160,366,2,0,DERANG,UNDI BIASA
6,2008/09/02,"SEKOLAH KEBANGSAAN BUKIT HIJAU, POKOK SENA",4,385,114,89,178,381,4,0,DERANG,UNDI BIASA
7,2008/09/03,"SEKOLAH KEBANGSAAN BUKIT TAMPOI, KUALA NERANG",1,301,53,117,126,296,5,0,KAMPUNG KEJAL,UNDI BIASA
7,2008/09/03,"SEKOLAH KEBANGSAAN BUKIT TAMPOI, KUALA NERANG",2,446,123,125,193,441,5,0,KAMPUNG KEJAL,UNDI BIASA
8,2008/09/04,"SEKOLAH KEBANGSAAN BUKIT PAK KIAU, POKOK SENA",1,323,75,85,153,313,10,0,GAJAH MATI,UNDI BIASA
9,2008/09/05,"SEKOLAH MENENGAH SAINS POKOK SENA, POKOK SENA",1,280,47,96,126,269,11,0,BUKIT LAREK,UNDI BIASA
9,2008/09/05,"SEKOLAH MENENGAH SAINS POKOK SENA, POKOK SENA",2,610,141,170,288,599,11,0,BUKIT LAREK,UNDI BIASA
9,2008/09/05,"SEKOLAH MENENGAH SAINS POKOK SENA, POKOK SENA",3,513,135,106,269,510,3,0,BUKIT LAREK,UNDI BIASA
9,2008/09/05,"SEKOLAH MENENGAH SAINS POKOK SENA, POKOK SENA",4,520,172,92,251,515,5,0,BUKIT LAREK,UNDI BIASA
10,2008/09/06,"SEKOLAH KEBANGSAAN POKOK SENA, POKOK SENA",1,290,209,61,17,287,3,0,PEKAN BAHRU POKOK SENA,UNDI BIASA
10,2008/09/06,"SEKOLAH KEBANGSAAN POKOK SENA, POKOK SENA",2,579,386,93,99,578,1,0,PEKAN BAHRU POKOK SENA,UNDI BIASA
10,2008/09/06,"SEKOLAH KEBANGSAAN POKOK SENA, POKOK SENA",3,506,319,68,118,505,1,0,PEKAN BAHRU POKOK SENA,UNDI BIASA
11,2008/09/07,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA, POKOK SENA",1,292,114,121,47,282,10,0,PEKAN LAMA POKOK SENA,UNDI BIASA
11,2008/09/07,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA, POKOK SENA",2,489,222,135,131,488,1,0,PEKAN LAMA POKOK SENA,UNDI BIASA
11,2008/09/07,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA, POKOK SENA",3,446,189,115,141,445,1,0,PEKAN LAMA POKOK SENA,UNDI BIASA
12,2008/09/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG JABI, POKOK SENA",1,289,113,125,40,278,11,0,KAMPUNG KOLON,UNDI BIASA
12,2008/09/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG JABI, POKOK SENA",2,454,223,134,91,448,6,0,KAMPUNG KOLON,UNDI BIASA
12,2008/09/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG JABI, POKOK SENA",3,375,191,97,86,374,1,0,KAMPUNG KOLON,UNDI BIASA
12,2008/09/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG JABI, POKOK SENA",4,401,200,74,124,398,3,0,KAMPUNG KOLON,UNDI BIASA
13,2008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",1,273,56,117,89,262,11,0,JABI,UNDI BIASA
13,2008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",2,473,140,183,143,466,7,0,JABI,UNDI BIASA
13,2008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",3,410,130,138,140,408,2,0,JABI,UNDI BIASA
13,2008/09/09,"SEKOLAH KEBANGSAAN JABI, POKOK SENA",4,400,173,91,132,396,4,0,JABI,UNDI BIASA
14,2008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",1,292,50,158,74,282,10,0,TELAGA MAS,UNDI BIASA
14,2008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",2,618,162,249,190,601,17,0,TELAGA MAS,UNDI BIASA
14,2008/09/10,"SEKOLAH KEBANGSAAN TELAGA MAS, POKOK SENA",3,560,206,143,206,555,5,0,TELAGA MAS,UNDI BIASA
15,2008/09/11,"SEKOLAH MENENGAH KEBANGSAAN JABI, POKOK SENA",1,298,56,69,163,288,10,0,TANJONG MUSANG,UNDI BIASA
15,2008/09/11,"SEKOLAH MENENGAH KEBANGSAAN JABI, POKOK SENA",2,418,126,92,199,417,0,1,TANJONG MUSANG,UNDI BIASA
15,2008/09/11,"SEKOLAH MENENGAH KEBANGSAAN JABI, POKOK SENA",3,362,131,49,180,360,2,0,TANJONG MUSANG,UNDI BIASA
16,2008/09/12,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, KEBUN 500",1,292,98,140,52,290,2,0,KEBUN 500,UNDI BIASA
