Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AMINUR SHAFIQ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YOO WEI HOW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHAN MING KAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1586,555,358,326,1239,82,265,UNDI POS,UNDI POS
2,009/13/00,"DEWAN PANGSAPURI POLIS, JALAN KOLAM AIR, ALOR SETAR",1,580,113,387,62,562,18,0,UNDI AWAL,UNDI AWAL
3,2009/12/01,"SEKOLAH KEBANGSAAN SERI AMAR DIRAJA, ALOR MERAH",1,274,89,99,83,271,3,0,TAMAN MALAYSIA,UNDI BIASA
3,2009/12/01,"SEKOLAH KEBANGSAAN SERI AMAR DIRAJA, ALOR MERAH",2,516,189,126,200,515,1,0,TAMAN MALAYSIA,UNDI BIASA
3,2009/12/01,"SEKOLAH KEBANGSAAN SERI AMAR DIRAJA, ALOR MERAH",3,494,174,100,199,473,21,0,TAMAN MALAYSIA,UNDI BIASA
4,2009/12/02,JABATAN KEBUDAYAAN DAN KESENIAN NEGARA KEDAH,1,257,13,33,210,256,1,0,TAMAN GOLF,UNDI BIASA
4,2009/12/02,JABATAN KEBUDAYAAN DAN KESENIAN NEGARA KEDAH,2,498,21,56,421,498,0,0,TAMAN GOLF,UNDI BIASA
4,2009/12/02,JABATAN KEBUDAYAAN DAN KESENIAN NEGARA KEDAH,3,455,63,39,352,454,0,1,TAMAN GOLF,UNDI BIASA
5,2009/12/03,"SEKOLAH KEBANGSAAN TAMAN UDA, LEBUHRAYA SULTANAH BAHIYAH",1,288,68,101,114,283,5,0,TAMAN UDA,UNDI BIASA
5,2009/12/03,"SEKOLAH KEBANGSAAN TAMAN UDA, LEBUHRAYA SULTANAH BAHIYAH",2,562,185,116,261,562,0,0,TAMAN UDA,UNDI BIASA
5,2009/12/03,"SEKOLAH KEBANGSAAN TAMAN UDA, LEBUHRAYA SULTANAH BAHIYAH",3,525,177,74,274,525,0,0,TAMAN UDA,UNDI BIASA
6,2009/12/04,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH BAHIYAH, LEBUHRAYA SULTANAH BAHIYAH",1,237,54,71,109,234,3,0,JALAN SULTANAH,UNDI BIASA
6,2009/12/04,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH BAHIYAH, LEBUHRAYA SULTANAH BAHIYAH",2,432,134,46,252,432,0,0,JALAN SULTANAH,UNDI BIASA
7,2009/12/05,"SEKOLAH KEBANGSAAN HJ MOHD SHARIFF, JALAN STADIUM",1,255,32,74,141,247,8,0,ALOR SEMADOM,UNDI BIASA
7,2009/12/05,"SEKOLAH KEBANGSAAN HJ MOHD SHARIFF, JALAN STADIUM",2,559,88,113,354,555,4,0,ALOR SEMADOM,UNDI BIASA
8,2009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",1,279,100,87,75,262,17,0,SEBERANG PUMPONG,UNDI BIASA
8,2009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",2,475,192,111,167,470,5,0,SEBERANG PUMPONG,UNDI BIASA
8,2009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",3,433,181,84,165,430,3,0,SEBERANG PUMPONG,UNDI BIASA
8,2009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",4,384,148,62,170,380,4,0,SEBERANG PUMPONG,UNDI BIASA
8,2009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",5,430,173,65,192,430,0,0,SEBERANG PUMPONG,UNDI BIASA
9,2009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",1,277,117,94,57,268,0,9,SUKA MENANTI,UNDI BIASA
9,2009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",2,413,176,107,123,406,7,0,SUKA MENANTI,UNDI BIASA
9,2009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",3,364,187,81,95,363,1,0,SUKA MENANTI,UNDI BIASA
9,2009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",4,355,149,71,133,353,2,0,SUKA MENANTI,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",1,281,44,139,81,264,17,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",2,597,97,264,207,568,29,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",3,593,139,191,255,585,8,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",4,547,118,119,301,538,9,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",5,552,149,117,280,546,6,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",6,516,148,119,248,515,1,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",7,495,147,107,239,493,2,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",8,512,159,92,260,511,1,0,TAMAN WIRA,UNDI BIASA
10,2009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",9,546,182,119,243,544,2,0,TAMAN WIRA,UNDI BIASA
11,2009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",1,256,31,61,159,251,5,0,GUNONG SALI,UNDI BIASA
11,2009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",2,462,105,89,256,450,12,0,GUNONG SALI,UNDI BIASA
11,2009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",3,453,140,89,222,451,2,0,GUNONG SALI,UNDI BIASA
11,2009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",4,414,112,84,216,412,1,1,GUNONG SALI,UNDI BIASA
11,2009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",5,411,142,57,211,410,1,0,GUNONG SALI,UNDI BIASA
12,2009/12/10,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",1,256,35,63,150,248,8,0,KAMPUNG BERJAYA,UNDI BIASA
12,2009/12/10,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",2,521,115,92,312,519,2,0,KAMPUNG BERJAYA,UNDI BIASA
12,2009/12/10,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",3,476,126,66,282,474,2,0,KAMPUNG BERJAYA,UNDI BIASA
13,2009/12/11,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",4,278,20,63,192,275,3,0,TELOK YAN,UNDI BIASA
13,2009/12/11,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",5,322,36,59,226,321,1,0,TELOK YAN,UNDI BIASA
13,2009/12/11,"SEKOLAH JENIS KEBANGSAAN (CINA) LONG CHUAN, MERGONG",6,289,41,54,194,289,0,0,TELOK YAN,UNDI BIASA
14,2009/12/12,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",1,274,78,93,95,266,8,0,KAMPUNG SEBERANG TERUS,UNDI BIASA
14,2009/12/12,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",2,415,134,108,167,409,6,0,KAMPUNG SEBERANG TERUS,UNDI BIASA
14,2009/12/12,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",3,364,174,81,109,364,0,0,KAMPUNG SEBERANG TERUS,UNDI BIASA
15,2009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",4,278,65,79,121,265,13,0,TAMAN RAKYAT MERGONG,UNDI BIASA
15,2009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",5,531,122,86,309,517,14,0,TAMAN RAKYAT MERGONG,UNDI BIASA
15,2009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",6,504,132,112,256,500,3,1,TAMAN RAKYAT MERGONG,UNDI BIASA
15,2009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",7,445,161,64,219,444,1,0,TAMAN RAKYAT MERGONG,UNDI BIASA
15,2009/12/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL RAHMAN, MERGONG",8,476,210,58,205,473,3,0,TAMAN RAKYAT MERGONG,UNDI BIASA
16,2009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",1,278,50,110,102,262,16,0,KAMPUNG BATIN,UNDI BIASA
16,2009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",2,627,177,203,238,618,9,0,KAMPUNG BATIN,UNDI BIASA
16,2009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",3,601,132,166,296,594,7,0,KAMPUNG BATIN,UNDI BIASA
16,2009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",4,538,137,105,292,534,4,0,KAMPUNG BATIN,UNDI BIASA
16,2009/12/14,"SEKOLAH KEBANGSAAN MERGONG, MERGONG",5,577,192,99,281,572,5,0,KAMPUNG BATIN,UNDI BIASA
17,2009/12/15,"SEKOLAH MENENGAH KEBANGSAAN ALOR MERAH, ALOR SETAR",1,254,61,84,105,250,4,0,ALOR MERAH,UNDI BIASA
17,2009/12/15,"SEKOLAH MENENGAH KEBANGSAAN ALOR MERAH, ALOR SETAR",2,471,172,90,202,464,7,0,ALOR MERAH,UNDI BIASA
17,2009/12/15,"SEKOLAH MENENGAH KEBANGSAAN ALOR MERAH, ALOR SETAR",3,421,192,47,180,419,2,0,ALOR MERAH,UNDI BIASA
18,009/13/01,"SEKOLAH KEBANGSAAN WAN SULAIMAN SIDIQ, JALAN TAMBANG BADAK",1,270,9,41,217,267,3,0,KANCHUT,UNDI BIASA
18,009/13/01,"SEKOLAH KEBANGSAAN WAN SULAIMAN SIDIQ, JALAN TAMBANG BADAK",2,327,24,32,271,327,0,0,KANCHUT,UNDI BIASA
