Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI JAMIL KHIR BIN BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AKHRAMSYAH BIN SANUSI JUNID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1461,398,536,278,1212,86,163,UNDI POS,UNDI POS
2,012/21/00,"DEWAN DATO ZAMRI, IBU PEJABAT POLIS DAERAH YAN",1,135,17,103,11,131,4,0,UNDI AWAL,UNDI AWAL
3,012/22/00,"BILIK GERAKAN KEM HOBART, UNIT LAPANG SASAR",1,54,20,15,19,54,0,0,UNDI AWAL,UNDI AWAL
3,012/22/00,"BILIK MAKLUMAT BALAI, BALAI POLIS GURUN",1,59,5,49,3,57,2,0,UNDI AWAL,UNDI AWAL
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",1,290,149,112,21,282,8,0,MATANG BULOH,UNDI BIASA
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",2,540,290,175,68,533,7,0,MATANG BULOH,UNDI BIASA
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",3,495,285,141,65,491,4,0,MATANG BULOH,UNDI BIASA
4,012/20/01,"SEKOLAH KEBANGSAAN PERMATANG BULOH, KOTA SARANG SEMUT",4,468,255,135,76,466,2,0,MATANG BULOH,UNDI BIASA
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",1,323,175,108,34,317,6,0,SUNGAI DEDAP,UNDI BIASA
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",2,506,298,127,75,500,6,0,SUNGAI DEDAP,UNDI BIASA
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",3,466,301,104,55,460,6,0,SUNGAI DEDAP,UNDI BIASA
