Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JOHARI ABDUL USTAZ SHARIR LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SHAHANIM BINTI MOHAMAD YUSOFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) P. SRITHARAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1795,409,428,570,6,1413,8,374,UNDI POS,UNDI POS
2,015/27/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1,34,4,1,28,0,33,1,0,UNDI AWAL,UNDI AWAL
3,015/28/00,"SEKOLAH LATIHAN ASAS KEPOLISAN, KONTINJEN KEDAH, KUALA MUDA",1,110,12,13,83,0,108,2,0,UNDI AWAL,UNDI AWAL
4,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",1,286,30,111,134,0,275,11,0,BUKIT KECHIK,UNDI BIASA
4,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",2,576,63,215,289,1,568,8,0,BUKIT KECHIK,UNDI BIASA
4,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",3,534,73,235,219,0,527,7,0,BUKIT KECHIK,UNDI BIASA
4,015/27/01,"SEKOLAH KEBANGSAAN BUKIT KECHIL, KOTA KUALA MUDA",4,501,62,236,199,0,497,4,0,BUKIT KECHIK,UNDI BIASA
5,015/27/02,"SEKOLAH KEBANGSAAN BUKIT MERIAM, KOTA KUALA MUDA",1,350,29,135,132,1,297,15,38,BUKIT MERIAM,UNDI BIASA
5,015/27/02,"SEKOLAH KEBANGSAAN BUKIT MERIAM, KOTA KUALA MUDA",2,346,45,180,117,0,342,3,1,BUKIT MERIAM,UNDI BIASA
5,015/27/02,"SEKOLAH KEBANGSAAN BUKIT MERIAM, KOTA KUALA MUDA",3,306,55,161,84,1,301,5,0,BUKIT MERIAM,UNDI BIASA
6,015/27/03,MAKTAB MAHMUD KUALA MUDA,1,296,43,138,105,0,286,10,0,SINTOK BUGIS,UNDI BIASA
6,015/27/03,MAKTAB MAHMUD KUALA MUDA,2,539,70,313,148,0,531,7,1,SINTOK BUGIS,UNDI BIASA
7,015/27/04,"SEKOLAH KEBANGSAAN SERI KUALA, KOTA KUALA MUDA",1,311,22,111,175,0,308,3,0,PADANG SALIM,UNDI BIASA
7,015/27/04,"SEKOLAH KEBANGSAAN SERI KUALA, KOTA KUALA MUDA",2,420,57,176,183,0,416,4,0,PADANG SALIM,UNDI BIASA
7,015/27/04,"SEKOLAH KEBANGSAAN SERI KUALA, KOTA KUALA MUDA",3,383,57,174,148,0,379,4,0,PADANG SALIM,UNDI BIASA
8,015/27/05,DEWAN KEDA KAMPUNG TEPI SUNGAI,1,301,31,90,160,0,281,20,0,KUALA MUDA,UNDI BIASA
8,015/27/05,DEWAN KEDA KAMPUNG TEPI SUNGAI,2,333,34,136,157,1,328,5,0,KUALA MUDA,UNDI BIASA
8,015/27/05,DEWAN KEDA KAMPUNG TEPI SUNGAI,3,311,48,133,129,0,310,1,0,KUALA MUDA,UNDI BIASA
9,015/27/06,"SEKOLAH KEBANGSAAN HAJI SULAIMAN, KOTA KUALA MUDA",1,302,25,128,142,0,295,7,0,HAJI KUDONG,UNDI BIASA
9,015/27/06,"SEKOLAH KEBANGSAAN HAJI SULAIMAN, KOTA KUALA MUDA",2,569,79,291,195,0,565,4,0,HAJI KUDONG,UNDI BIASA
10,015/27/07,"SEKOLAH KEBANGSAAN KOTA KUALA MUDA, KOTA KUALA MUDA",1,296,93,74,124,1,292,4,0,KOTA KUALA MUDA,UNDI BIASA
10,015/27/07,"SEKOLAH KEBANGSAAN KOTA KUALA MUDA, KOTA KUALA MUDA",2,376,102,141,132,0,375,1,0,KOTA KUALA MUDA,UNDI BIASA
10,015/27/07,"SEKOLAH KEBANGSAAN KOTA KUALA MUDA, KOTA KUALA MUDA",3,346,96,133,116,0,345,1,0,KOTA KUALA MUDA,UNDI BIASA
11,015/27/08,"SEKOLAH MENENGAH KEBANGSAAN KOTA KUALA MUDA, KOTA KUALA MUDA",1,292,36,116,132,1,285,7,0,SUNGAI MAS,UNDI BIASA
11,015/27/08,"SEKOLAH MENENGAH KEBANGSAAN KOTA KUALA MUDA, KOTA KUALA MUDA",2,469,78,218,170,0,466,3,0,SUNGAI MAS,UNDI BIASA
11,015/27/08,"SEKOLAH MENENGAH KEBANGSAAN KOTA KUALA MUDA, KOTA KUALA MUDA",3,441,79,226,135,0,440,1,0,SUNGAI MAS,UNDI BIASA
12,015/27/09,"SEKOLAH KEBANGSAAN RANTAU PANJANG, KOTA KUALA MUDA",1,299,28,106,157,2,293,6,0,RANTAU PANJANG,UNDI BIASA
12,015/27/09,"SEKOLAH KEBANGSAAN RANTAU PANJANG, KOTA KUALA MUDA",2,536,67,217,248,0,532,4,0,RANTAU PANJANG,UNDI BIASA
12,015/27/09,"SEKOLAH KEBANGSAAN RANTAU PANJANG, KOTA KUALA MUDA",3,471,84,235,150,1,470,1,0,RANTAU PANJANG,UNDI BIASA
13,015/27/10,"SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN, TIKAM BATU",1,280,130,45,98,1,274,6,0,PEKAN TIKAM BATU,UNDI BIASA
13,015/27/10,"SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN, TIKAM BATU",2,490,189,163,134,2,488,2,0,PEKAN TIKAM BATU,UNDI BIASA
13,015/27/10,"SEKOLAH JENIS KEBANGSAAN (CINA) PENG MIN, TIKAM BATU",3,454,159,184,111,0,454,0,0,PEKAN TIKAM BATU,UNDI BIASA
14,015/27/11,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",1,312,24,182,94,2,302,10,0,KAMPUNG SIMPOR,UNDI BIASA
14,015/27/11,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",2,434,63,246,121,0,430,4,0,KAMPUNG SIMPOR,UNDI BIASA
14,015/27/11,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",3,430,52,316,59,0,427,3,0,KAMPUNG SIMPOR,UNDI BIASA
15,015/27/12,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",4,309,26,126,147,0,299,10,0,BATU LINTANG,UNDI BIASA
15,015/27/12,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",5,438,72,193,169,0,434,4,0,BATU LINTANG,UNDI BIASA
15,015/27/12,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",6,405,66,214,122,0,402,3,0,BATU LINTANG,UNDI BIASA
15,015/27/12,"SEKOLAH KEBANGSAAN SIMPOR, TIKAM BATU",7,395,71,203,120,0,394,1,0,BATU LINTANG,UNDI BIASA
