Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TENGKU ZULPURI SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHEW MEI FUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MOHAMED NILAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,947,117,394,212,723,47,177,UNDI POS,UNDI POS
2,080/06/00,BILIK MAKLUMAT BALAI POLIS CHEROH,1,19,0,16,3,19,0,0,UNDI AWAL,UNDI AWAL
3,080/07/00,DEWAN MELOR IBU PEJABAT POLIS DAERAH RAUB,1,390,18,327,39,384,6,0,UNDI AWAL,UNDI AWAL
4,080/08/00,BILIK MAKLUMAT BALAI POLIS DONG,1,26,4,20,2,26,0,0,UNDI AWAL,UNDI AWAL
5,080/06/01,SK ULU ATOK,1,267,28,169,60,257,10,0,HULU ATOK,UNDI BIASA
5,080/06/01,SK ULU ATOK,2,279,39,162,76,277,2,0,HULU ATOK,UNDI BIASA
6,080/06/02,SK KUALA ATOK,1,293,36,179,73,288,5,0,ATOK,UNDI BIASA
6,080/06/02,SK KUALA ATOK,2,490,88,202,200,490,0,0,ATOK,UNDI BIASA
7,080/06/03,SK SEGA,1,278,35,180,57,272,6,0,SEGA,UNDI BIASA
7,080/06/03,SK SEGA,2,279,71,112,93,276,3,0,SEGA,UNDI BIASA
7,080/06/03,SK SEGA,3,279,57,120,101,278,1,0,SEGA,UNDI BIASA
8,080/06/04,SK CHENUA,1,285,31,168,67,266,19,0,CHENUA,UNDI BIASA
8,080/06/04,SK CHENUA,2,405,65,247,93,405,0,0,CHENUA,UNDI BIASA
9,080/06/05,SK KUNDANG PATAH,1,274,31,158,80,269,5,0,KUNDANG PATAH,UNDI BIASA
9,080/06/05,SK KUNDANG PATAH,2,471,60,250,159,469,2,0,KUNDANG PATAH,UNDI BIASA
10,080/06/06,SJK(C) CHEROH,1,254,121,107,10,238,16,0,CHEROH,UNDI BIASA
10,080/06/06,SJK(C) CHEROH,2,516,280,185,40,505,11,0,CHEROH,UNDI BIASA
