Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR JOHAN BIN MAT SAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ NASRUDIN HASSAN TANTAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1710,709,400,225,1334,129,247,UNDI POS,UNDI POS
2,082/12/00,AUDITORIUM AL-HAIMI MARKAS WILAYAH LAUT 1 PANGKALAN TENTERA TLDM TANJUNG GELANG,1,303,120,123,60,303,0,0,UNDI AWAL,UNDI AWAL
2,082/12/00,AUDITORIUM AL-HAIMI MARKAS WILAYAH LAUT 1 PANGKALAN TENTERA TLDM TANJUNG GELANG,2,300,87,145,67,299,1,0,UNDI AWAL,UNDI AWAL
2,082/12/00,AUDITORIUM AL-HAIMI MARKAS WILAYAH LAUT 1 PANGKALAN TENTERA TLDM TANJUNG GELANG,3,319,142,114,60,316,3,0,UNDI AWAL,UNDI AWAL
2,082/12/00,AUDITORIUM AL-HAIMI MARKAS WILAYAH LAUT 1 PANGKALAN TENTERA TLDM TANJUNG GELANG,4,255,89,126,37,252,3,0,UNDI AWAL,UNDI AWAL
3,082/13/00,DEWAN SERBAGUNA PGA KEM GALING,1,384,268,78,32,378,6,0,UNDI AWAL,UNDI AWAL
3,082/13/00,DEWAN SERBAGUNA PGA KEM GALING,2,408,301,65,40,406,2,0,UNDI AWAL,UNDI AWAL
4,082/12/01,SK CHERATING,1,311,165,121,15,301,10,0,CHERATING,UNDI BIASA
4,082/12/01,SK CHERATING,2,470,231,188,36,455,15,0,CHERATING,UNDI BIASA
4,082/12/01,SK CHERATING,3,435,168,218,46,432,3,0,CHERATING,UNDI BIASA
4,082/12/01,SK CHERATING,4,411,134,218,57,409,2,0,CHERATING,UNDI BIASA
4,082/12/01,SK CHERATING,5,415,126,232,54,412,3,0,CHERATING,UNDI BIASA
5,082/12/02,SK SUNGAI ULAR,1,309,141,131,19,291,18,0,SUNGAI ULAR,UNDI BIASA
5,082/12/02,SK SUNGAI ULAR,2,515,183,282,43,508,7,0,SUNGAI ULAR,UNDI BIASA
5,082/12/02,SK SUNGAI ULAR,3,498,185,273,36,494,4,0,SUNGAI ULAR,UNDI BIASA
5,082/12/02,SK SUNGAI ULAR,4,497,157,287,50,494,3,0,SUNGAI ULAR,UNDI BIASA
6,082/12/03,SK BALOK BARU,1,309,119,141,44,304,5,0,BALOK MAKMUR,UNDI BIASA
6,082/12/03,SK BALOK BARU,2,578,171,299,104,574,4,0,BALOK MAKMUR,UNDI BIASA
6,082/12/03,SK BALOK BARU,3,502,137,262,100,499,3,0,BALOK MAKMUR,UNDI BIASA
6,082/12/03,SK BALOK BARU,4,558,118,332,106,556,2,0,BALOK MAKMUR,UNDI BIASA
7,082/12/04,SK BALOK MAKMUR,1,304,134,110,55,299,4,1,BALOK BARU,UNDI BIASA
7,082/12/04,SK BALOK MAKMUR,2,487,132,248,103,483,4,0,BALOK BARU,UNDI BIASA
7,082/12/04,SK BALOK MAKMUR,3,457,145,227,83,455,1,1,BALOK BARU,UNDI BIASA
7,082/12/04,SK BALOK MAKMUR,4,478,99,273,98,470,7,1,BALOK BARU,UNDI BIASA
8,082/12/05,SK BALOK,1,288,171,89,26,286,2,0,BALOK,UNDI BIASA
8,082/12/05,SK BALOK,2,584,232,275,74,581,3,0,BALOK,UNDI BIASA
8,082/12/05,SK BALOK,3,551,168,299,81,548,3,0,BALOK,UNDI BIASA
8,082/12/05,SK BALOK,4,542,179,287,76,542,0,0,BALOK,UNDI BIASA
8,082/12/05,SK BALOK,5,508,130,287,88,505,2,1,BALOK,UNDI BIASA
8,082/12/05,SK BALOK,6,511,128,285,94,507,4,0,BALOK,UNDI BIASA
8,082/12/05,SK BALOK,7,541,116,302,121,539,2,0,BALOK,UNDI BIASA
9,082/12/06,SK SUNGAI KARANG,1,284,143,87,49,279,5,0,SUNGAI KARANG,UNDI BIASA
9,082/12/06,SK SUNGAI KARANG,2,584,257,224,97,578,6,0,SUNGAI KARANG,UNDI BIASA
9,082/12/06,SK SUNGAI KARANG,3,549,165,278,99,542,7,0,SUNGAI KARANG,UNDI BIASA
9,082/12/06,SK SUNGAI KARANG,4,525,149,277,95,521,4,0,SUNGAI KARANG,UNDI BIASA
9,082/12/06,SK SUNGAI KARANG,5,530,145,252,132,529,1,0,SUNGAI KARANG,UNDI BIASA
10,082/12/07,SK JABOR,1,432,176,190,63,429,3,0,ALOR BATU,UNDI BIASA
11,082/12/08,SMK BESERAH,1,294,123,95,75,293,1,0,BATU HITAM,UNDI BIASA
11,082/12/08,SMK BESERAH,2,486,184,221,78,483,3,0,BATU HITAM,UNDI BIASA
11,082/12/08,SMK BESERAH,3,459,102,242,111,455,4,0,BATU HITAM,UNDI BIASA
11,082/12/08,SMK BESERAH,4,456,114,209,129,452,4,0,BATU HITAM,UNDI BIASA
12,082/12/09,SAR KAFA MASJID JAMEK BESERAH KUANTAN,1,267,138,86,36,260,6,1,KAMPUNG BESERAH,UNDI BIASA
12,082/12/09,SAR KAFA MASJID JAMEK BESERAH KUANTAN,2,591,245,216,120,581,10,0,KAMPUNG BESERAH,UNDI BIASA
12,082/12/09,SAR KAFA MASJID JAMEK BESERAH KUANTAN,3,567,173,256,133,562,4,1,KAMPUNG BESERAH,UNDI BIASA
12,082/12/09,SAR KAFA MASJID JAMEK BESERAH KUANTAN,4,530,173,247,106,526,4,0,KAMPUNG BESERAH,UNDI BIASA
12,082/12/09,SAR KAFA MASJID JAMEK BESERAH KUANTAN,5,542,137,261,140,538,4,0,KAMPUNG BESERAH,UNDI BIASA
12,082/12/09,SAR KAFA MASJID JAMEK BESERAH KUANTAN,6,539,140,235,161,536,3,0,KAMPUNG BESERAH,UNDI BIASA
13,082/12/10,SK BESERAH,1,279,113,74,88,275,4,0,SERI PELINDONG,UNDI BIASA
13,082/12/10,SK BESERAH,2,502,160,181,156,497,5,0,SERI PELINDONG,UNDI BIASA
13,082/12/10,SK BESERAH,3,491,120,191,179,490,1,0,SERI PELINDONG,UNDI BIASA
13,082/12/10,SK BESERAH,4,468,144,186,138,468,0,0,SERI PELINDONG,UNDI BIASA
13,082/12/10,SK BESERAH,5,452,95,175,181,451,1,0,SERI PELINDONG,UNDI BIASA
13,082/12/10,SK BESERAH,6,474,94,193,184,471,3,0,SERI PELINDONG,UNDI BIASA
14,082/12/11,KOLEJ VOKASIONAL KUANTAN,1,227,52,9,159,220,7,0,ALOR AKAR,UNDI BIASA
