Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU HASENAN HARON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD FARID BIN AHMAD NORDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,851,162,427,44,633,66,152,UNDI POS,UNDI POS
2,086/24/00,BILIK NARKOTIK IBU PEJABAT POLIS DAERAH MARAN,1,198,20,169,7,196,2,0,UNDI AWAL,UNDI AWAL
3,086/25/00,DEWAN RUANG LEGAR UTAMA TINGKAT 1 BALAI POLIS SUNGAI JERIK,1,12,1,11,0,12,0,0,UNDI AWAL,UNDI AWAL
4,086/26/00,BILIK MAKLUMAT BALAI POLIS CHENOR,1,26,7,19,0,26,0,0,UNDI AWAL,UNDI AWAL
5,086/24/01,SJK(C) PEI MIN SERI JAYA,1,254,7,62,179,248,6,0,KAMPUNG SERI JAYA,UNDI BIASA
5,086/24/01,SJK(C) PEI MIN SERI JAYA,2,330,9,75,242,326,4,0,KAMPUNG SERI JAYA,UNDI BIASA
5,086/24/01,SJK(C) PEI MIN SERI JAYA,3,324,13,71,239,323,1,0,KAMPUNG SERI JAYA,UNDI BIASA
5,086/24/01,SJK(C) PEI MIN SERI JAYA,4,328,33,96,196,325,2,1,KAMPUNG SERI JAYA,UNDI BIASA
6,086/24/02,SK LKTP KAMPUNG NEW ZEALAND,1,290,89,184,15,288,2,0,KAMPUNG NEW ZEALAND,UNDI BIASA
6,086/24/02,SK LKTP KAMPUNG NEW ZEALAND,2,274,130,124,16,270,4,0,KAMPUNG NEW ZEALAND,UNDI BIASA
6,086/24/02,SK LKTP KAMPUNG NEW ZEALAND,3,266,121,105,38,264,2,0,KAMPUNG NEW ZEALAND,UNDI BIASA
7,086/24/03,SK ULU LUIT,1,304,120,163,13,296,8,0,KAMPUNG LUIT,UNDI BIASA
7,086/24/03,SK ULU LUIT,2,442,216,197,25,438,4,0,KAMPUNG LUIT,UNDI BIASA
7,086/24/03,SK ULU LUIT,3,423,267,126,27,420,3,0,KAMPUNG LUIT,UNDI BIASA
8,086/24/04,SK SERENGKAM,1,339,128,170,36,334,5,0,SERENGKAM,UNDI BIASA
9,086/24/05,SK KUALA WAU,1,172,32,117,21,170,2,0,KUALA WAU,UNDI BIASA
10,086/24/06,DEWAN MINI KAMPUNG LUBUK PAKU,1,366,99,223,35,357,9,0,LUBUK PAKU,UNDI BIASA
11,086/24/07,SK SENGGORA,1,303,128,158,16,302,1,0,KAMPUNG SENGGORA,UNDI BIASA
12,086/24/08,SK SRI KERAMAT,1,296,95,168,29,292,4,0,SRI KERAMAT,UNDI BIASA
12,086/24/08,SK SRI KERAMAT,2,504,216,196,89,501,3,0,SRI KERAMAT,UNDI BIASA
12,086/24/08,SK SRI KERAMAT,3,492,223,184,85,492,0,0,SRI KERAMAT,UNDI BIASA
13,086/24/09,SK MARAN,1,247,67,136,35,238,9,0,BANDAR MARAN,UNDI BIASA
13,086/24/09,SK MARAN,2,533,183,267,79,529,4,0,BANDAR MARAN,UNDI BIASA
13,086/24/09,SK MARAN,3,469,168,227,71,466,3,0,BANDAR MARAN,UNDI BIASA
