Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD RAFIDEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HAJI KAMAL BIN ASHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,811,47,201,327,575,60,176,UNDI POS,UNDI POS
2,087/27/00,BILIK MAKLUMAT BALAI POLIS KUALA KRAU,1,10,0,1,9,10,0,0,UNDI AWAL,UNDI AWAL
3,087/28/00,BILIK MAKLUMAT BALAI POLIS KERDAU,1,12,0,0,12,12,0,0,UNDI AWAL,UNDI AWAL
4,087/29/00,BILIK MAKLUMAT BALAI POLIS JENGKA,1,20,0,0,18,18,2,0,UNDI AWAL,UNDI AWAL
5,087/27/01,DEWAN ORANG RAMAI KAMPUNG PIAN,1,375,46,6,289,341,34,0,KAMPUNG PIAN,UNDI BIASA
6,087/27/02,TABIKA KEMAS KAMPUNG GONG HALT,1,300,24,108,156,288,12,0,SUNGAI MAI,UNDI BIASA
6,087/27/02,TABIKA KEMAS KAMPUNG GONG HALT,2,467,39,221,204,464,3,0,SUNGAI MAI,UNDI BIASA
7,087/27/03,SK KUALA MAI BHARU,1,382,25,147,210,382,0,0,KUALA MAI,UNDI BIASA
8,087/27/04,SK PAYA LUAS,1,303,46,46,205,297,6,0,PAYA LUAS,UNDI BIASA
8,087/27/04,SK PAYA LUAS,2,475,71,85,314,470,5,0,PAYA LUAS,UNDI BIASA
9,087/27/05,SJK(C) KUALA KRAU,1,274,96,35,138,269,5,0,KUALA KRAU,UNDI BIASA
9,087/27/05,SJK(C) KUALA KRAU,2,372,151,55,160,366,6,0,KUALA KRAU,UNDI BIASA
9,087/27/05,SJK(C) KUALA KRAU,3,326,143,45,127,315,11,0,KUALA KRAU,UNDI BIASA
9,087/27/05,SJK(C) KUALA KRAU,4,329,150,68,105,323,6,0,KUALA KRAU,UNDI BIASA
9,087/27/05,SJK(C) KUALA KRAU,5,331,120,89,117,326,5,0,KUALA KRAU,UNDI BIASA
10,087/27/06,SK LKTP JENDERAK UTARA,1,296,20,89,179,288,8,0,FELDA JENDERAK UTARA,UNDI BIASA
10,087/27/06,SK LKTP JENDERAK UTARA,2,467,33,169,259,461,6,0,FELDA JENDERAK UTARA,UNDI BIASA
10,087/27/06,SK LKTP JENDERAK UTARA,3,436,53,203,177,433,3,0,FELDA JENDERAK UTARA,UNDI BIASA
10,087/27/06,SK LKTP JENDERAK UTARA,4,439,52,206,173,431,8,0,FELDA JENDERAK UTARA,UNDI BIASA
