Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIDIR AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD FAKHRUDIN B ABU HANIPAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI MD JUSOH BIN DARUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ ANUAR TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1657,8,4,739,165,328,1244,129,284,UNDI POS,UNDI POS
2,088/30/00,BILIK MESYUARAT BALAI POLIS MENTAKAB,1,94,1,1,69,14,7,92,2,0,UNDI AWAL,UNDI AWAL
3,088/31/00,RUMAH BAKAT 7 RRD (MEK),1,488,2,0,266,92,109,469,19,0,UNDI AWAL,UNDI AWAL
3,088/31/00,RUMAH BAKAT 7 RRD (MEK),2,442,4,1,259,58,102,424,18,0,UNDI AWAL,UNDI AWAL
4,088/32/00,DEWAN MAKAN MARKAS STESEN STAFF KEM BATU 3,1,410,8,1,183,135,78,405,5,0,UNDI AWAL,UNDI AWAL
4,088/32/00,DEWAN MAKAN MARKAS STESEN STAFF KEM BATU 3,2,407,0,1,209,123,66,399,8,0,UNDI AWAL,UNDI AWAL
4,088/32/00,BILIK MESYUARAT BALAI POLIS TEMERLOH,1,375,0,0,268,64,40,372,3,0,UNDI AWAL,UNDI AWAL
5,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,1,290,0,1,56,3,228,288,2,0,TAMAN RIMBA,UNDI BIASA
5,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,2,466,1,0,60,10,388,459,7,0,TAMAN RIMBA,UNDI BIASA
5,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,3,441,0,0,60,10,369,439,2,0,TAMAN RIMBA,UNDI BIASA
5,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,4,416,1,0,36,9,370,416,0,0,TAMAN RIMBA,UNDI BIASA
5,088/30/01,KAWASAN LAPANG JALAN BENDERA PUTERI TAMAN BUKIT BENDERA MENTAKAB,5,434,1,0,41,17,372,431,3,0,TAMAN RIMBA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,1,296,0,0,102,22,156,280,16,0,BUKIT BENDERA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,2,514,2,0,156,56,298,512,2,0,BUKIT BENDERA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,3,473,2,0,101,41,325,469,4,0,BUKIT BENDERA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,4,471,1,0,103,37,326,467,4,0,BUKIT BENDERA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,5,439,1,0,86,35,313,435,4,0,BUKIT BENDERA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,6,471,0,0,81,55,334,470,1,0,BUKIT BENDERA,UNDI BIASA
6,088/30/02,SMK HWA LIAN,7,483,2,1,99,58,322,482,1,0,BUKIT BENDERA,UNDI BIASA
7,088/30/03,SJK(T) MENTAKAB,1,220,0,0,47,4,163,214,6,0,BANDAR MENTAKAB,UNDI BIASA
7,088/30/03,SJK(T) MENTAKAB,2,291,0,0,48,6,237,291,0,0,BANDAR MENTAKAB,UNDI BIASA
7,088/30/03,SJK(T) MENTAKAB,3,267,1,0,42,23,199,265,2,0,BANDAR MENTAKAB,UNDI BIASA
8,088/30/04,DEWAN SERI MENTAKAB,1,393,0,0,95,26,268,389,4,0,SUNGAI SEMANTAN,UNDI BIASA
9,088/30/05,SK ABU BAKAR,1,288,0,0,118,23,139,280,8,0,TANJUNG KERAYONG,UNDI BIASA
9,088/30/05,SK ABU BAKAR,2,462,2,0,171,71,215,459,2,1,TANJUNG KERAYONG,UNDI BIASA
9,088/30/05,SK ABU BAKAR,3,441,0,0,161,78,200,439,2,0,TANJUNG KERAYONG,UNDI BIASA
10,088/30/06,SJK(C) MENTAKAB 1,1,262,1,2,56,4,188,251,11,0,KAMPUNG BAHARU,UNDI BIASA
10,088/30/06,SJK(C) MENTAKAB 1,2,440,1,1,64,0,364,430,10,0,KAMPUNG BAHARU,UNDI BIASA
10,088/30/06,SJK(C) MENTAKAB 1,3,438,0,0,56,2,378,436,2,0,KAMPUNG BAHARU,UNDI BIASA
10,088/30/06,SJK(C) MENTAKAB 1,4,414,0,0,27,2,383,412,2,0,KAMPUNG BAHARU,UNDI BIASA
10,088/30/06,SJK(C) MENTAKAB 1,5,399,0,0,21,0,375,396,3,0,KAMPUNG BAHARU,UNDI BIASA
11,088/30/07,SK  BANDAR MENTAKAB,1,381,0,1,140,23,214,378,3,0,KAMPUNG SUNGAI ARA,UNDI BIASA
12,088/30/08,SJK(C) MENTAKAB 2,1,256,0,1,45,2,203,251,5,0,MENTAKAB TENGAH,UNDI BIASA
12,088/30/08,SJK(C) MENTAKAB 2,2,544,0,0,72,7,460,539,5,0,MENTAKAB TENGAH,UNDI BIASA
