Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMARULZAMAN KAMDIAS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFFA BIN DAHARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ SALIM SHARIF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1245,181,146,595,922,104,219,UNDI POS,UNDI POS
2,127/05/00,DEWAN SERBAGUNA IPD JEMPOL BILIK A,1.0,247,20,22,203,245,2,0,UNDI AWAL ,UNDI AWAL
3,127/07/00,DEWAN SERBAGUNA IPD JEMPOL BILIK B,1.0,18,4,1,13,18,0,0,UNDI AWAL ,UNDI AWAL
4,127/08/00,DEWAN SERBAGUNA IPD JEMPOL BILIK C,1.0,105,12,13,79,104,1,0,UNDI AWAL ,UNDI AWAL
5,127/05/01,SEKOLAH KEBANGSAAN SERTING ULU,1.0,284,55,42,182,279,5,0,SERTING ULU ,UNDI BIASA
5,127/05/01,SEKOLAH KEBANGSAAN SERTING ULU,2.0,384,108,92,182,382,2,0,SERTING ULU ,UNDI BIASA
6,127/05/02,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,1.0,288,47,41,194,282,6,0,KAMPONG SERTING TENGAH ,UNDI BIASA
6,127/05/02,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,2.0,317,100,61,156,317,0,0,KAMPONG SERTING TENGAH ,UNDI BIASA
6,127/05/02,SEKOLAH MENENGAH AGAMA DATO' HAJI MUSTAFA,3.0,298,100,64,132,296,2,0,KAMPONG SERTING TENGAH ,UNDI BIASA
7,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,1.0,266,45,41,169,255,11,0,KAMPUNG SERTING ILIR ,UNDI BIASA
7,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,2.0,506,150,89,263,502,4,0,KAMPUNG SERTING ILIR ,UNDI BIASA
7,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,3.0,478,187,116,171,474,4,0,KAMPUNG SERTING ILIR ,UNDI BIASA
7,127/05/03,SEKOLAH KEBANGSAAN SERTING ILIR,4.0,469,196,114,158,468,1,0,KAMPUNG SERTING ILIR ,UNDI BIASA
