Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAFIEI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN MALEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) EDDIN SYAZLEE SHITH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1045,97,472,222,791,108,146,UNDI POS,UNDI POS
2,129/16/00,DEWAN SERBAGUNA IPD KUALA PILAH BILIK A,1.0,23,1,17,5,23,0,0,UNDI AWAL ,UNDI AWAL
3,129/18/00,DEWAN SERBAGUNA IPD KUALA PILAH BILIK B,1.0,278,11,233,33,277,1,0,UNDI AWAL ,UNDI AWAL
4,129/19/00,DEWAN SERBAGUNA IPD KUALA PILAH BILIK C,1.0,18,0,16,1,17,1,0,UNDI AWAL ,UNDI AWAL
5,129/15/01,SEKOLAH KEBANGSAAN TENGKEK,1.0,290,16,192,77,285,5,0,KAMPONG TENGKEK ,UNDI BIASA
5,129/15/01,SEKOLAH KEBANGSAAN TENGKEK,2.0,218,11,159,46,216,2,0,KAMPONG TENGKEK ,UNDI BIASA
6,129/15/02,SEKOLAH KEBANGSAAN TAPAK,1.0,342,32,176,125,333,9,0,KAMPONG TAPAK ,UNDI BIASA
7,129/15/03,BALAI RAYA KAMPUNG SUNGAI JELUTONG,1.0,187,16,92,79,187,0,0,KAMPONG SUNGAI JELUTONG ,UNDI BIASA
8,129/15/04,SEKOLAH KEBANGSAAN PADANG LEBAR,1.0,281,24,170,81,275,6,0,KAMPONG PADANG LEBAR ,UNDI BIASA
8,129/15/04,SEKOLAH KEBANGSAAN PADANG LEBAR,2.0,307,52,135,119,306,1,0,KAMPONG PADANG LEBAR ,UNDI BIASA
9,129/15/05,BALAI RAYA KAMPUNG TERENTANG,1.0,401,36,246,112,394,7,0,KAMPONG TERENTANG ,UNDI BIASA
10,129/15/06,SEKOLAH KEBANGSAAN JUASSEH TENGAH,1.0,294,14,190,80,284,10,0,JUASSEH TENGAH ,UNDI BIASA
10,129/15/06,SEKOLAH KEBANGSAAN JUASSEH TENGAH,2.0,441,58,208,170,436,5,0,JUASSEH TENGAH ,UNDI BIASA
11,129/15/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BKT GELUGOR,1.0,292,14,101,170,285,7,0,BUKIT GELUGOR ,UNDI BIASA
11,129/15/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BKT GELUGOR,2.0,535,28,162,332,522,13,0,BUKIT GELUGOR ,UNDI BIASA
11,129/15/07,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU BKT GELUGOR,3.0,518,44,141,327,512,6,0,BUKIT GELUGOR ,UNDI BIASA
12,129/15/08,BALAI RAYA KAMPUNG TERUSAN,1.0,390,40,191,148,379,11,0,KAMPONG TERUSAN ,UNDI BIASA
13,129/15/09,SEKOLAH KEBANGSAAN PUSAT JUASSEH,1.0,280,25,122,130,277,3,0,PEKAN JUASSEH ,UNDI BIASA
13,129/15/09,SEKOLAH KEBANGSAAN PUSAT JUASSEH,2.0,444,44,136,260,440,4,0,PEKAN JUASSEH ,UNDI BIASA
13,129/15/09,SEKOLAH KEBANGSAAN PUSAT JUASSEH,3.0,422,63,117,240,420,2,0,PEKAN JUASSEH ,UNDI BIASA
14,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,1.0,273,20,184,59,263,10,0,PELANGAI ,UNDI BIASA
14,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,2.0,445,53,243,145,441,4,0,PELANGAI ,UNDI BIASA
14,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,3.0,393,44,153,191,388,5,0,PELANGAI ,UNDI BIASA
14,129/15/10,SEKOLAH KEBANGSAAN PELANGAI,4.0,398,64,165,165,394,4,0,PELANGAI ,UNDI BIASA
15,129/15/11,SEKOLAH KEBANGSAAN TUNKU MUNAWIR,1.0,270,14,152,98,264,6,0,KAMPONG GENTAM ,UNDI BIASA
15,129/15/11,SEKOLAH KEBANGSAAN TUNKU MUNAWIR,2.0,372,29,173,156,358,13,1,KAMPONG GENTAM ,UNDI BIASA
15,129/15/11,SEKOLAH KEBANGSAAN TUNKU MUNAWIR,3.0,352,42,98,209,349,3,0,KAMPONG GENTAM ,UNDI BIASA
16,129/16/01,BALAI RAYA KAMPUNG LANGKAP,1.0,251,3,205,40,248,3,0,KAMPONG LANGKAP ,UNDI BIASA
17,129/16/02,SEKOLAH KEBANGSAAN ULU BENDOL,1.0,298,33,152,102,287,11,0,KAMPONG ULU BENDOL ,UNDI BIASA
17,129/16/02,SEKOLAH KEBANGSAAN ULU BENDOL,2.0,223,29,101,92,222,1,0,KAMPONG ULU BENDOL ,UNDI BIASA
18,129/16/03,SEKOLAH KEBANGSAAN YAMTUAN HITAM,1.0,286,21,155,85,261,25,0,TERACHI ,UNDI BIASA
18,129/16/03,SEKOLAH KEBANGSAAN YAMTUAN HITAM,2.0,439,43,186,207,436,3,0,TERACHI ,UNDI BIASA
18,129/16/03,SEKOLAH KEBANGSAAN YAMTUAN HITAM,3.0,412,52,165,195,412,0,0,TERACHI ,UNDI BIASA
