Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NAZREE ARIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD REDZUAN YUSOF (PAK WAN ),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG NAI CHEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1123,115,204,500,819,137,167,UNDI POS,UNDI POS
2,135/06/00,BILIK TAKLIMAT BALAI POLIS TRAFIK ALOR GAJAH,1,87,7,6,73,86,1,0,UNDI AWAL ,UNDI AWAL
3,135/07/00,RUANG REHAT BALAI POLIS GADEK,1,38,4,4,30,38,0,0,UNDI AWAL ,UNDI AWAL
4,135/08/00,DEWAN SERBAGUNA IBU PEJABAT POLIS DAERAH ALOR GAJAH,1,344,34,38,270,342,2,0,UNDI AWAL ,UNDI AWAL
5,135/09/00,BILIK PENERANGAN BALAI POLIS DURIAN TUNGGAL,1,19,4,2,13,19,0,0,UNDI AWAL ,UNDI AWAL
6,135/10/00,BILIK MESYUARAT BALAI POLIS SELANDAR,1,30,6,4,19,29,1,0,UNDI AWAL ,UNDI AWAL
7,135/06/01,SEKOLAH KEBANGSAAN ALOR GAJAH 1,1,251,16,128,101,245,6,0,PEKAN ALOR GAJAH ,UNDI BIASA
7,135/06/01,SEKOLAH KEBANGSAAN ALOR GAJAH 1,2,610,53,309,237,599,11,0,PEKAN ALOR GAJAH ,UNDI BIASA
7,135/06/01,SEKOLAH KEBANGSAAN ALOR GAJAH 1,3,599,54,376,160,590,9,0,PEKAN ALOR GAJAH ,UNDI BIASA
7,135/06/01,SEKOLAH KEBANGSAAN ALOR GAJAH 1,4,568,62,331,173,566,2,0,PEKAN ALOR GAJAH ,UNDI BIASA
7,135/06/01,SEKOLAH KEBANGSAAN ALOR GAJAH 1,5,549,70,330,145,545,4,0,PEKAN ALOR GAJAH ,UNDI BIASA
8,135/06/02,SEKOLAH KEBANGSAAN DATO' NANING,1,260,28,86,123,237,23,0,KELEMAK ,UNDI BIASA
8,135/06/02,SEKOLAH KEBANGSAAN DATO' NANING,2,462,54,190,215,459,0,3,KELEMAK ,UNDI BIASA
8,135/06/02,SEKOLAH KEBANGSAAN DATO' NANING,3,447,58,232,152,442,5,0,KELEMAK ,UNDI BIASA
8,135/06/02,SEKOLAH KEBANGSAAN DATO' NANING,4,422,64,224,134,422,0,0,KELEMAK ,UNDI BIASA
8,135/06/02,SEKOLAH KEBANGSAAN DATO' NANING,5,410,76,230,103,409,1,0,KELEMAK ,UNDI BIASA
9,135/06/03,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,1,294,26,86,173,285,9,0,JELATANG ,UNDI BIASA
9,135/06/03,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,2,505,73,221,207,501,4,0,JELATANG ,UNDI BIASA
9,135/06/03,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,3,477,50,246,178,474,3,0,JELATANG ,UNDI BIASA
9,135/06/03,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,4,454,55,259,138,452,2,0,JELATANG ,UNDI BIASA
9,135/06/03,KOLEJ VOKASIONAL DATUK SERI MOHD ZIN,5,461,59,274,128,461,0,0,JELATANG ,UNDI BIASA
10,135/06/04,SEKOLAH MENENGAH KEBANGSAAN DATO' DOL SAID,1,290,26,122,136,284,6,0,KAMPUNG TEBAT ,UNDI BIASA
10,135/06/04,SEKOLAH MENENGAH KEBANGSAAN DATO' DOL SAID,2,424,49,256,118,423,1,0,KAMPUNG TEBAT ,UNDI BIASA
10,135/06/04,SEKOLAH MENENGAH KEBANGSAAN DATO' DOL SAID,3,395,46,263,86,395,0,0,KAMPUNG TEBAT ,UNDI BIASA
11,135/06/05,SEKOLAH KEBANGSAAN SUNGAI PETAI,1,288,28,81,170,279,9,0,SUNGAI PETAI ,UNDI BIASA
11,135/06/05,SEKOLAH KEBANGSAAN SUNGAI PETAI,2,583,82,194,300,576,7,0,SUNGAI PETAI ,UNDI BIASA
11,135/06/05,SEKOLAH KEBANGSAAN SUNGAI PETAI,3,530,77,243,208,528,2,0,SUNGAI PETAI ,UNDI BIASA
11,135/06/05,SEKOLAH KEBANGSAAN SUNGAI PETAI,4,534,80,260,192,532,2,0,SUNGAI PETAI ,UNDI BIASA
12,135/06/06,SEKOLAH JENIS KEBANGSAAN (CINA) KIOW MIN,1,285,8,162,98,268,17,0,PEKAN REMBIA ,UNDI BIASA
12,135/06/06,SEKOLAH JENIS KEBANGSAAN (CINA) KIOW MIN,2,639,33,410,189,632,6,1,PEKAN REMBIA ,UNDI BIASA
12,135/06/06,SEKOLAH JENIS KEBANGSAAN (CINA) KIOW MIN,3,621,44,445,129,618,3,0,PEKAN REMBIA ,UNDI BIASA
12,135/06/06,SEKOLAH JENIS KEBANGSAAN (CINA) KIOW MIN,4,595,46,442,103,591,4,0,PEKAN REMBIA ,UNDI BIASA
13,135/06/07,SEKOLAH KEBANGSAAN RUMBIA,1,296,23,128,140,291,5,0,JERAM ,UNDI BIASA
13,135/06/07,SEKOLAH KEBANGSAAN RUMBIA,2,514,69,279,161,509,5,0,JERAM ,UNDI BIASA
14,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,1,203,8,120,69,197,6,0,BUKIT SEBANG ,UNDI BIASA
14,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,2,368,14,264,86,364,4,0,BUKIT SEBANG ,UNDI BIASA
14,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,3,366,19,260,84,363,3,0,BUKIT SEBANG ,UNDI BIASA
14,135/07/01,SEKOLAH MENENGAH KEBANGSAAN PULAU SEBANG,4,365,37,250,71,358,7,0,BUKIT SEBANG ,UNDI BIASA
15,135/07/02,SEKOLAH MENENGAH KEBANGSAAN SULTAN MANSOR SHAH,1,268,6,200,56,262,6,0,PEKAN PULAU SEBANG ,UNDI BIASA
15,135/07/02,SEKOLAH MENENGAH KEBANGSAAN SULTAN MANSOR SHAH,2,364,8,298,55,361,3,0,PEKAN PULAU SEBANG ,UNDI BIASA
16,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,1,257,20,112,119,251,6,0,KUALA INA ,UNDI BIASA
16,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,2,544,55,250,213,518,26,0,KUALA INA ,UNDI BIASA
16,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,3,537,38,303,187,528,9,0,KUALA INA ,UNDI BIASA
16,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,4,499,51,343,103,497,2,0,KUALA INA ,UNDI BIASA
16,135/07/03,SEKOLAH JENIS KEBANGSAAN (TAMIL) PULAU SEBANG,5,517,52,323,134,509,8,0,KUALA INA ,UNDI BIASA
17,135/07/04,SEKOLAH KEBANGSAAN PULAU SEBANG,1,300,27,83,187,297,3,0,ARONGAN ,UNDI BIASA
17,135/07/04,SEKOLAH KEBANGSAAN PULAU SEBANG,2,288,26,121,135,282,6,0,ARONGAN ,UNDI BIASA
18,135/07/05,SEK. REN. AGAMA (JAIM) PADANG SEBANG,1,521,70,164,280,514,7,0,TANJUNG RIMAU ,UNDI BIASA
19,135/07/06,SEKOLAH KEBANGSAAN PADANG SEBANG,1,271,32,64,170,266,5,0,PADANG SEBANG ,UNDI BIASA
19,135/07/06,SEKOLAH KEBANGSAAN PADANG SEBANG,2,574,78,234,250,562,12,0,PADANG SEBANG ,UNDI BIASA
19,135/07/06,SEKOLAH KEBANGSAAN PADANG SEBANG,3,493,57,291,142,490,3,0,PADANG SEBANG ,UNDI BIASA
20,135/07/07,SEK. REN. AGAMA (JAIM) PAYA DATOK,1,302,50,58,182,290,12,0,PAYA DATUK ,UNDI BIASA
20,135/07/07,SEK. REN. AGAMA (JAIM) PAYA DATOK,2,377,72,142,159,373,4,0,PAYA DATUK ,UNDI BIASA
21,135/07/08,SEKOLAH KEBANGSAAN PEGOH,1,292,35,65,182,282,10,0,PEGOH ,UNDI BIASA
