Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SHAMSUL ISKANDAR HAJI MOHD AKIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN SRI HJ MOHD ALI BIN MOHD RUSTAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR KHALID KASSIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1840,302,939,158,1399,192,249,UNDI POS,UNDI POS
2,137/15/00,BILIK MESYUARAT PONDOK POLIS PERINGGIT,1.0,1,0,1,0,1,0,0,UNDI AWAL ,UNDI AWAL
3,137/16/00,DEWAN SERBAGUNA IBU PEJABAT POLIS KONTINJEN MELAKA,1.0,414,39,348,16,403,11,0,UNDI AWAL ,UNDI AWAL
3,137/16/00,DEWAN SERBAGUNA IBU PEJABAT POLIS KONTINJEN MELAKA,2.0,415,46,346,22,414,1,0,UNDI AWAL ,UNDI AWAL
4,137/17/00,DEWAN SRI BERUANG KEM ASKAR WATANIAH,1.0,254,49,171,31,251,3,0,UNDI AWAL ,UNDI AWAL
4,137/17/00,BILIK MAKLUMAT BALAI POLIS BUKIT BARU,1.0,29,5,24,0,29,0,0,UNDI AWAL ,UNDI AWAL
5,137/18/00,BILIK GERAKAN BALAI POLIS TIANG DUA,1.0,16,0,15,1,16,0,0,UNDI AWAL ,UNDI AWAL
6,137/15/01,KOMPLEKS JAPERUN DUN BACHANG,1.0,334,195,121,14,330,4,0,BACHANG BARU ,UNDI BIASA
6,137/15/01,KOMPLEKS JAPERUN DUN BACHANG,2.0,448,325,101,18,444,4,0,BACHANG BARU ,UNDI BIASA
6,137/15/01,KOMPLEKS JAPERUN DUN BACHANG,3.0,422,318,92,12,422,0,0,BACHANG BARU ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,1.0,281,94,150,9,253,28,0,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,2.0,568,229,288,24,541,25,2,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,3.0,585,247,282,44,573,11,1,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,4.0,567,254,260,50,564,3,0,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,5.0,528,224,267,36,527,1,0,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,6.0,525,214,272,37,523,2,0,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,7.0,522,223,247,50,520,2,0,PASIR PUTEH ,UNDI BIASA
7,137/15/02,SEKOLAH JENIS KEBANGSAAN (CINA) YU HWA,8.0,523,235,234,54,523,0,0,PASIR PUTEH ,UNDI BIASA
8,137/15/03,SEKOLAH MENENGAH KEBANGSAAN (AGAMA ) SULTAN MUHAMMAD,1.0,293,128,144,13,285,8,0,PENGKALAN BATU ,UNDI BIASA
8,137/15/03,SEKOLAH MENENGAH KEBANGSAAN (AGAMA ) SULTAN MUHAMMAD,2.0,629,332,256,36,624,5,0,PENGKALAN BATU ,UNDI BIASA
8,137/15/03,SEKOLAH MENENGAH KEBANGSAAN (AGAMA ) SULTAN MUHAMMAD,3.0,589,287,261,33,581,8,0,PENGKALAN BATU ,UNDI BIASA
9,137/15/04,BALAI RAYA TAMAN RUMPUN BAHAGIA,1.0,309,187,102,16,305,4,0,RUMPUN BAHAGIA ,UNDI BIASA
9,137/15/04,BALAI RAYA TAMAN RUMPUN BAHAGIA,2.0,581,390,140,49,579,2,0,RUMPUN BAHAGIA ,UNDI BIASA
10,137/15/05,SEKOLAH KEBANGSAAN PERINGGIT,1.0,268,91,165,6,262,6,0,PERINGGIT ,UNDI BIASA
10,137/15/05,SEKOLAH KEBANGSAAN PERINGGIT,2.0,590,235,311,35,581,9,0,PERINGGIT ,UNDI BIASA
10,137/15/05,SEKOLAH KEBANGSAAN PERINGGIT,3.0,556,238,281,32,551,5,0,PERINGGIT ,UNDI BIASA
10,137/15/05,SEKOLAH KEBANGSAAN PERINGGIT,4.0,523,253,222,44,519,4,0,PERINGGIT ,UNDI BIASA
10,137/15/05,SEKOLAH KEBANGSAAN PERINGGIT,5.0,523,249,223,50,522,1,0,PERINGGIT ,UNDI BIASA
11,137/15/06,SEK. REN AGAMA (JAIM) TAMAN PERINGGIT JAYA,1.0,287,157,114,11,282,5,0,PERINGGIT JAYA ,UNDI BIASA
11,137/15/06,SEK. REN AGAMA (JAIM) TAMAN PERINGGIT JAYA,2.0,538,321,180,33,534,4,0,PERINGGIT JAYA ,UNDI BIASA
11,137/15/06,SEK. REN AGAMA (JAIM) TAMAN PERINGGIT JAYA,3.0,529,342,142,43,527,2,0,PERINGGIT JAYA ,UNDI BIASA
