P.078_P.078/POSTAL VOTE_UNDI POS_1,,POSTAL VOTE,P.078,CAMERON HIGHLANDS,P.078/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,362
P.078_P.078/EARLY VOTE_078/01/00_1,,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,EARLY VOTE,078/01/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1,207
P.078_P.078/EARLY VOTE_078/02/00_1,,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,EARLY VOTE,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1,12
P.078_N.01_078/01/01_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/01,POS TERISU,SK TERISU,1,278
P.078_N.01_078/01/02_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,POS TELANUK,SK TELANOK,1,536
P.078_N.01_078/01/03_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/03,POS LEMOI,SK LEMOI,1,180
P.078_N.01_078/01/04_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/04,POS MENSUN,SK MENSON,1,493
P.078_N.01_078/01/05_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,1,272
P.078_N.01_078/01/05_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,2,489
P.078_N.01_078/01/05_3,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,3,468
P.078_N.01_078/01/05_4,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,4,471
P.078_N.01_078/01/06_1,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,1,265
P.078_N.01_078/01/06_2,,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,2,542
