UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,OTHER PARTY (1) - PSM,OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2) - BERJASA,OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,IND 1 (AIRPLANE),INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,IND 2 (ELEPHANT),INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,IND 3 (BOOK),INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY_ISSUED
P.078_P.078/POSTAL VOTE_UNDI POS_1,PAHANG,POSTAL VOTE,P.078,CAMERON HIGHLANDS,P.078/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,362,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,116,PKR,MANOGARAN,MALE,,28,PAS,CIKGU WAN MAHADIR,MALE,,30,PSM,SURESH KUMAR,MALE,,3,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,177,27,158,TRUE
P.078_P.078/EARLY VOTE_078/01/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,EARLY VOTE,078/01/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1,207,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,184,PKR,MANOGARAN,MALE,,4,PAS,CIKGU WAN MAHADIR,MALE,,13,PSM,SURESH KUMAR,MALE,,1,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,202,5,0,TRUE
P.078_P.078/EARLY VOTE_078/02/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,EARLY VOTE,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1,12,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,6,PKR,MANOGARAN,MALE,,1,PAS,CIKGU WAN MAHADIR,MALE,,5,PSM,SURESH KUMAR,MALE,,0,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,12,0,0,TRUE
P.078_N.01_078/01/01_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/01,POS TERISU,SK TERISU,1,278,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,218,PKR,MANOGARAN,MALE,,20,PAS,CIKGU WAN MAHADIR,MALE,,5,PSM,SURESH KUMAR,MALE,,4,BERJASA,USTAZ TAHIR,MALE,,4,,,,,,,,,,,,,,,,,,,,,251,27,0,TRUE
P.078_N.01_078/01/02_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,POS TELANUK,SK TELANOK,1,536,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,466,PKR,MANOGARAN,MALE,,13,PAS,CIKGU WAN MAHADIR,MALE,,9,PSM,SURESH KUMAR,MALE,,10,BERJASA,USTAZ TAHIR,MALE,,2,,,,,,,,,,,,,,,,,,,,,500,36,0,TRUE
P.078_N.01_078/01/03_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/03,POS LEMOI,SK LEMOI,1,180,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,158,PKR,MANOGARAN,MALE,,8,PAS,CIKGU WAN MAHADIR,MALE,,7,PSM,SURESH KUMAR,MALE,,1,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,174,6,0,TRUE
P.078_N.01_078/01/04_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/04,POS MENSUN,SK MENSON,1,493,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,432,PKR,MANOGARAN,MALE,,12,PAS,CIKGU WAN MAHADIR,MALE,,4,PSM,SURESH KUMAR,MALE,,1,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,450,43,0,TRUE
P.078_N.01_078/01/05_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,1,272,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,62,PKR,MANOGARAN,MALE,,194,PAS,CIKGU WAN MAHADIR,MALE,,5,PSM,SURESH KUMAR,MALE,,3,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,264,8,0,TRUE
P.078_N.01_078/01/05_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,2,489,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,82,PKR,MANOGARAN,MALE,,370,PAS,CIKGU WAN MAHADIR,MALE,,3,PSM,SURESH KUMAR,MALE,,6,BERJASA,USTAZ TAHIR,MALE,,4,,,,,,,,,,,,,,,,,,,,,465,13,11,TRUE
P.078_N.01_078/01/05_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,3,468,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,111,PKR,MANOGARAN,MALE,,343,PAS,CIKGU WAN MAHADIR,MALE,,2,PSM,SURESH KUMAR,MALE,,5,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,462,6,0,TRUE
P.078_N.01_078/01/05_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,4,471,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,99,PKR,MANOGARAN,MALE,,331,PAS,CIKGU WAN MAHADIR,MALE,,9,PSM,SURESH KUMAR,MALE,,14,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,454,17,0,TRUE
P.078_N.01_078/01/06_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,1,265,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,77,PKR,MANOGARAN,MALE,,165,PAS,CIKGU WAN MAHADIR,MALE,,8,PSM,SURESH KUMAR,MALE,,5,BERJASA,USTAZ TAHIR,MALE,,1,,,,,,,,,,,,,,,,,,,,,256,9,0,TRUE
P.078_N.01_078/01/06_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,2,542,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,111,PKR,MANOGARAN,MALE,,404,PAS,CIKGU WAN MAHADIR,MALE,,2,PSM,SURESH KUMAR,MALE,,17,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,534,8,0,TRUE
P.078_N.01_078/01/06_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,3,538,BN,DATO' SIVARRAAJH CHANDRAN,MALE,,78,PKR,MANOGARAN,MALE,,430,PAS,CIKGU WAN MAHADIR,MALE,,7,PSM,SURESH KUMAR,MALE,,20,BERJASA,USTAZ TAHIR,MALE,,0,,,,,,,,,,,,,,,,,,,,,535,3,0,TRUE
