ID,BALLOT_NAME,JOB,PID,JANTINA,DUN_ID,TYPE (PAR/DUN),IND_SYMBOL_ID,STATUS (WIN/LOSE/DEPOSIT),LAST_UPDATED,BALLOT_ID,TOTAL_VOTES,MAJORITY,WINNER_BALLOT_ID
1581,MANOGARAN,,37,L,07800,parlimen,,KLH,2018-04-28T12:22:15.797Z,1,9710,597,790
1494,CIKGU WAN MAHADIR,,2,L,07800,parlimen,,KLH,2018-04-28T12:22:15.797Z,2,3587,597,790
1536,DATO' SIVARRAAJH CHANDRAN,,1,L,07800,parlimen,,MNG,2018-04-28T12:22:15.797Z,3,10307,597,790
1838,USTAZ TAHIR,,4,L,07800,parlimen,,HD,2018-04-28T12:22:15.797Z,4,81,597,790
1816,SURESH KUMAR,,79,L,07800,parlimen,,HD,2018-04-28T12:22:15.797Z,5,680,597,790
1694,DATO BADARUDIN ABD RAHAMAN,,37,L,07900,parlimen,,KLH,2018-04-28T13:03:20.777Z,1,7426,6569,462
1721,ABDUL RAHMAN BIN MOHAMAD,,1,L,07900,parlimen,,MNG,2018-04-28T13:03:20.777Z,2,13995,6569,462
1867,CIKGU HJ SOBIRIN BIN HJ DULI,,2,L,07900,parlimen,,KLH,2018-04-28T13:03:20.777Z,3,6671,6569,462
1687,TENGKU ZULPURI SHAH,,37,L,08000,parlimen,,MNG,2018-04-28T12:40:39.970Z,1,20659,3159,766
1989,CHEW MEI FUN,,1,P,08000,parlimen,,KLH,2018-04-28T12:40:39.970Z,2,17500,3159,766
1885,DR MOHAMED NILAM,,2,L,08000,parlimen,,KLH,2018-04-28T12:40:39.970Z,3,7866,3159,766
991,DATO' AHMAD NAZLAN,,1,L,08100,parlimen,,MNG,2018-04-28T12:15:34.497Z,1,22640,5908,941
948,USTAZ YOHANIS AHMAD,,2,L,08100,parlimen,,KLH,2018-04-28T12:15:34.497Z,2,16732,5908,941
1399,WAN MOHD SHAHRIR,,37,L,08100,parlimen,,KLH,2018-04-28T12:15:34.497Z,3,10877,5908,941
1300,DATO' DR JOHAN BIN MAT SAH,DOKTOR,1,L,08200,parlimen,,KLH,2018-04-28T12:20:37.297Z,1,17628,10950,622
1138,USTAZ NASRUDIN HASSAN TANTAWI,TIADA,2,L,08200,parlimen,,KLH,2018-04-28T12:20:37.297Z,2,17515,10950,622
1235,DATO' SAIFUDDIN ABDULLAH,TIADA,37,L,08200,parlimen,,MNG,2018-04-28T12:20:37.297Z,3,28578,10950,622
1937,CIKGU SULAIMAN MD DERUS,PENIAGA,2,L,08300,parlimen,,KLH,2018-04-28T13:38:35.100Z,1,14696,8111,798
1891,FUZIAH SALLEH,,37,P,08300,parlimen,,MNG,2018-04-28T13:38:35.100Z,2,22807,8111,798
1847,DATO' WONG KEAN HWEE,PENIAGA,1,L,08300,parlimen,,KLH,2018-04-28T13:38:35.100Z,3,13667,8111,798
2090,MOHD ASHRAF MUSTAQIM,,37,L,08400,parlimen,,KLH,2018-04-28T12:25:25.257Z,1,11776,5742,671
1683,MOHD SHAHAR BIN ABDULLAH,USAHAWAN,1,L,08400,parlimen,,MNG,2018-04-28T12:25:25.257Z,2,19033,5742,671
1811,MOHAMAD AZHAR BIN MOHD NOOR,,2,L,08400,parlimen,,KLH,2018-04-28T12:25:25.257Z,3,13291,5742,671
1863,MUHD ZAHID MD ARIP,AHLI POLITIK,37,L,08500,parlimen,,HD,2018-04-28T12:15:33.693Z,1,7662,24859,1393
640,DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,YAB PERDANA MENTERI MALAYSIA,1,L,08500,parlimen,,MNG,2018-04-28T12:15:33.693Z,2,43854,24859,1393
1473,ABD KADIR BIN SAINUDIN,,20,L,08500,parlimen,21,HD,2018-04-28T12:15:33.693Z,3,103,24859,1393
1394,KAPT (B) AHIATUDIN BIN DAUD,,2,L,08500,parlimen,,KLH,2018-04-28T12:15:33.693Z,4,18995,24859,1393
1742,CIKGU HASENAN HARON,,2,L,08600,parlimen,,KLH,2018-04-28T13:32:51.703Z,1,12301,3763,482
1773,DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,,1,L,08600,parlimen,,MNG,2018-04-28T13:32:51.703Z,2,16064,3763,482
954,AHMAD FARID BIN AHMAD NORDIN,TIADA,37,L,08600,parlimen,,KLH,2018-04-28T13:32:51.703Z,3,4360,3763,482
1896,MOHAMAD RAFIDEE,,37,L,08700,parlimen,,KLH,2018-04-28T12:54:06.290Z,1,5071,2876,613
1870,USTAZ HAJI KAMAL BIN ASHAARI,,2,L,08700,parlimen,,KLH,2018-04-28T12:54:06.290Z,2,15182,2876,613
1602,DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,,1,L,08700,parlimen,,MNG,2018-04-28T12:54:06.290Z,3,18058,2876,613
1571,KHAIDIR AHMAD,,20,L,08800,parlimen,17,HD,2018-04-28T13:28:31.777Z,1,178,1904,865
1882,MUHD FAKHRUDIN B ABU HANIPAH,,20,L,08800,parlimen,4,HD,2018-04-28T13:28:31.777Z,2,46,1904,865
1590,DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,,1,L,08800,parlimen,,KLH,2018-04-28T13:28:31.777Z,3,22094,1904,865
1713,HAJI MD JUSOH BIN DARUS,,2,L,08800,parlimen,,KLH,2018-04-28T13:28:31.777Z,4,14734,1904,865
1526,HJ ANUAR TAHIR,,37,L,08800,parlimen,,MNG,2018-04-28T13:28:31.777Z,5,23998,1904,865
711,DATO' SRI LIOW TIONG LAI,TIADA,1,L,08900,parlimen,,KLH,2018-04-28T12:26:41.180Z,1,23684,2032,783
1792,BALASUBRAMANIAM A/L NACHIAPPAN,TIADA,2,L,08900,parlimen,,HD,2018-04-28T12:26:41.180Z,2,5706,2032,783
1480,WONG TACK,-,37,L,08900,parlimen,,MNG,2018-04-28T12:26:41.180Z,3,25716,2032,783
757,ZAKARIA ABDUL HAMID,AHLI PERNIAGAAN,37,L,09000,parlimen,,KLH,2018-04-28T12:26:47.530Z,1,18449,2311,767
795,MUSANIFF BIN AB. RAHMAN,PESARA,2,L,09000,parlimen,,KLH,2018-04-28T12:26:47.530Z,2,8096,2311,767
1489,ISMAIL SABRI YAAKOB,MENTERI KEMAJUAN LUAR BANDAR DAN WILAYAH MALAYSIA,1,L,09000,parlimen,,MNG,2018-04-28T12:26:47.530Z,3,20760,2311,767
1815,USTAZ SHAHRUL,TIADA,2,L,09100,parlimen,,KLH,2018-04-28T12:38:07.223Z,1,15233,11395,917
1049,SITARUNISAH BINTI AB KADIR,BERNIAGA,37,P,09100,parlimen,,KLH,2018-04-28T12:38:07.223Z,2,7876,11395,917
1589,DATO' SRI HASAN BIN ARIFIN,AHLI PERNIAGAAN,1,L,09100,parlimen,,MNG,2018-04-28T12:38:07.223Z,3,26628,11395,917
