MATCH_URL,NAME,AGE,RAW_AGE,PARTY,RAW_PARTY
http://pru.sinarharian.com.my/calon/3462/abd-kadir-sainudin,DATO PADUKA ABD KADIR,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/7772/mohd-suhaimi-bin-abdullah,MOHD SUHAIMI BIN ABDULLAH,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/5877/mahathir-mohamad,MAHATHIR BIN MOHAMAD,97,1925,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/7777/armishah-siraj,DATO' ARMISHAH SIRAJ (DAS),,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7782/zabidi-yahya,ZABIDI YAHYA,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/335/abd-ghani-ahmad,DR. ABD GHANI AHMAD,,,PAS,PAS
http://pru.sinarharian.com.my/calon/943/mukhriz-mahathir,DATO' SERI UTAMA MUKHRIZ MAHATHIR,58,1964,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/7753/mohamed-fadzil-mohd-ali,DR. MOHAMED FADZIL MOHD ALI,,,PKR,PKR
http://pru.sinarharian.com.my/calon/210/othman-aziz,OTHMAN BIN AZIZ,63,1959,UMNO,UMNO
http://pru.sinarharian.com.my/calon/958/ku-abd-rahman-ku-ismail,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,70,1952,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/7811/aizuddin-ariffin,AIZUDDIN ARIFFIN,,,PKR,PKR
http://pru.sinarharian.com.my/calon/2648/amiruddin-hamzah,AMIRUDDIN HAMZAH (TOK MET),60,1962,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/7830/hasmuni-bin-hassan,HASMUNI BIN HASSAN (TOK MUNI),,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7971/razali-bin-lebai-salleh,RAZALI BIN LEBAI SALLEH,65,1957,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/212/mahdzir-khalid,MAHDZIR BIN KHALID,62,1960,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7967/muaz-abdullah,MUAZ ABDULLAH,25,1997,PAN,AMANAH
http://pru.sinarharian.com.my/calon/7967/muaz-abdullah,USTAZ NURUL AMIN,25,1997,PAN,AMANAH
http://pru.sinarharian.com.my/calon/7941/noraini-md-salleh,NORAINI BINTI MD SALLEH,,,WARISAN,WARISAN
http://pru.sinarharian.com.my/calon/5436/ahmad-yahaya,DATO' AHMAD YAHAYA,,,PAS,PAS
http://pru.sinarharian.com.my/calon/7945/noran-zamani-jamaludin,NORAN ZAMINI BIN JAMALUDDIN,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/2139/mahfuz-omar,DATO' WIRA HJ MAHFUZ OMAR,65,1957,PAN,AMANAH
http://pru.sinarharian.com.my/calon/7887/mohamad-nuhairi-rahmat,NUHAIRI RAHMAT,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/2161/afnan-hamimi-taib-azamudden,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,,,PAS,PAS
http://pru.sinarharian.com.my/calon/4293/fadzil-hanafi,FADZIL BIN HANAFI,,,WARISAN,WARISAN
http://pru.sinarharian.com.my/calon/3355/ooi-tze-min,SIMON OOI TZE MIN,,,PKR,PKR
http://pru.sinarharian.com.my/calon/7889/nordin-yunus,DATO' DR NORDIN YUNUS,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/7892/sofan-feroza-md-yusup,SOFAN FEROZA,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/7895/tan-chee-hiong,TAN CHEE HIONG,43,1979,MCA,MCA
http://pru.sinarharian.com.my/calon/2999/azman-ismail,DR AZMAN ISMAIL,60,60,PKR,PKR
http://pru.sinarharian.com.my/calon/7990/pak-tuan-al-idrus,PAK TUAN AL IDRUS,,,WARISAN,WARISAN
http://pru.sinarharian.com.my/calon/7996/ulya-husamudin,ULYA HUSAMUDIN,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/7996/ulya-husamudin,DR. AHMAD FAKHRUDDIN,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/4715/mashitah-ibrahim,DATO DR MASHITAH BINTI IBRAHIM,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7715/awang-hashim,DATUK HAJI AWANG SOLAHUDIN,,,PAS,PAS
http://pru.sinarharian.com.my/calon/7715/awang-hashim,DATO ZUL,,,PAS,PAS
http://pru.sinarharian.com.my/calon/7728/abdul-rashid-yop,RASHID YOB,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/654/suraya-yaacob,SURAYA BINTI YAACOB,53,1969,UMNO,UMNO
http://pru.sinarharian.com.my/calon/8004/zulhazmi-bin-shariff,ZULHAZMI BIN SHARIFF,,13,DAP,DAP
http://pru.sinarharian.com.my/calon/216/jamil-khir-baharom,DATO SERI DR. JAMIL KHIR BAHAROM,61,1961,UMNO,UMNO
http://pru.sinarharian.com.my/calon/5011/sabri-azit,USTAZ SABRI BIN AZIT,56,1966,PAS,PAS
http://pru.sinarharian.com.my/calon/8018/nizam-mahshar,DATUK NIZAM MAHSHAR,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/8035/latifah-md-yatim,MAIZA,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/8035/latifah-md-yatim,DATO' LATIFAH,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/2656/ahmad-tarmizi-sulaiman,AHMAD TARMIZI SULAIMAN,46,1976,PAS,PAS
http://pru.sinarharian.com.my/calon/2940/khairul-anuar-ahmad-zainudin,KHAIRUL ANUAR,,,WARISAN,WARISAN
http://pru.sinarharian.com.my/calon/7878/mohamed-mosin-abdul-razak,DATO' SHAIFUL HAZIZY,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/6364/mohd-nazri-abu-hassan,NURIN AINA,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/6364/mohd-nazri-abu-hassan,MOHD NAZRI,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/7878/mohamed-mosin-abdul-razak,DATUK MOSIN RAZAK,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/8044/taufiq-johari,DR. TAUFIQ BIN DATO' JOHARI,,,PKR,PKR
http://pru.sinarharian.com.my/calon/3194/tan-joon-long,TAN JOON LONG @ TAN CHOW KANG,,08,PRM,PRM
http://pru.sinarharian.com.my/calon/6564/marzuki-yahya,HJ. MARZUKI YAHYA,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/3194/tan-joon-long,DR. ROBERT LING,,08,PRM,PRM
http://pru.sinarharian.com.my/calon/8051/shahanim-binti-mohamad-yusoff,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/2660/johari-abdullah,CIKGU JOHARI ABDULLAH,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/8068/basir-ab-rahman,LT KOL (B) BASIR,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/220/abdul-azeez-abdul-rahim,DATUK AZEEZ RAHIM,56,1966,UMNO,UMNO
http://pru.sinarharian.com.my/calon/5694/hassan-saad,USTAZ HASSAN,,,PAS,PAS
http://pru.sinarharian.com.my/calon/8082/hamzah-abd-rahman,DATO' CIKGU AZMAN,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/5351/sivarraajh-chandran,DATO SIVARAJ CHANDRAN,46,1976,MIC,MIC
http://pru.sinarharian.com.my/calon/8082/hamzah-abd-rahman,HAMZAH ABD RAHMAN,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/5699/mohamad-sofee-razak,DR. SOFEE RAZAK,,,PKR,PKR
http://pru.sinarharian.com.my/calon/8140/ananda-ak,ANANDA AK,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/8122/mohd-bakhri-bin-hj-hashim,MOHD BAKHRI BIN HAJI HASHIM,,,WARISAN,WARISAN
