SOURCE_URL,NAME,AGE,RAW_AGE,PARTY,RAW_PARTY
http://pru.sinarharian.com.my/calon/7986/khairul-azuan-kamaruddin,KHAIRUL AZUAN,,,WARISAN,WARISAN
http://pru.sinarharian.com.my/calon/2680/mumtaz-md-nawi,DATO' KAK TAZ,50,1972,PAS,PAS
http://pru.sinarharian.com.my/calon/7993/che-muhammad-aseri-che-ali,ASRI ALI,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/5829/wan-mohd-johari-wan-omar,HAJI WAN JO,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/2458/che-abdullah-mat-nawi,DATO' CHE LAH (DCL),62,14/6/1960,UMNO,UMNO
http://pru.sinarharian.com.my/calon/8039/mohd-redzuan-razali,ABE WAE - REDZUAN,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/5827/nik-faizah-nik-othman,KAK JAH,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/8038/wan-ahmad-nasri-wan-ismail,WAN AHMAD NASRI,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/2150/ahmad-marzuk-shaary,DATUK MARZUK,47,1975,PAS,PAS
https://pru.sinarharian.com.my/calon/8037/mohd-hafiezul-niezam-mohd-hasdin,DR. HAFIZ,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/2146/takiyuddin-hassan,DATUK SERI TAKIYUDDIN,61,25/11/1961,PAS,PAS
http://pru.sinarharian.com.my/calon/5129/dr-hafidzah-mustakim,DR HAFIDZAH,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/671/rosmadi-ismail,HJ. ROSMADI ISMAIL,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7922/andy-tan-awang,ANDY TAN @ AWANG,,,PRM,PRM
http://pru.sinarharian.com.my/calon/128/che-musa-che-omar,PROF. DATO DR CHE MUSA CHE OMAR,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/4306/izat-bukhary-ismail-bukhary,IZAT BUKHARY,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/2183/husam-musa,DATUK HUSAM,63,1959,PKR,PKR
http://pru.sinarharian.com.my/calon/4905/ahmad-fadhli-shaari,USTAZ FADHLI SHAARI,42,1980,PAS,PAS
http://pru.sinarharian.com.my/calon/7933/ab-ghani-harun,DATO GHANI,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7934/nasrul-ali-hasan-abdul-latif,NASRUL ALI HASAN,31,24/7/1991,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/2088/ibrahim-ali,DATO' DR. IBRAHIM ALI,71,1951,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/2089/siti-zailah-mohd-yusoff,KAK LAH,59,12/10/1963,PAS,PAS
http://pru.sinarharian.com.my/calon/370/mohd-zain-ismail,DATUK ZAIN,,,PRM,PRM
http://pru.sinarharian.com.my/calon/8055/zulkarnain-yusoff,PROF UST ZUL,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/5215/wan-shahjihan-wan-din,DR SHAH,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/5340/wan-ahmad-kamil-wan-abdullah,DR.WAN AHMAD KAMIL,64,10/2/1958,PAN,AMANAH
http://pru.sinarharian.com.my/calon/7981/mohamad-rizal-razali,RIZAL,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/5339/nurul-amal-mohd-fauzi,KAK LONG,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/5364/tuan-ibrahim-tuan-man,USTAZ DATO' TUAN IBRAHIM,62,1960,PAS,PAS
http://pru.sinarharian.com.my/calon/7962/mohd-syahir-che-sulaiman,SYAHIR SULAIMAN,,,PAS,PAS
http://pru.sinarharian.com.my/calon/7963/nor-azmiza-mamat,NOR AZMIZA MAMAT,,,PKR,PKR
http://pru.sinarharian.com.my/calon/374/mohd-zulkifli-zakaria,HAJI ZU,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/7964/kamarul-azam-osman,CIKGU ZAM,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/986/mohd-zain-yasim,DATUK HAJI ZAIN,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/8002/rahimi-l-muhamud,HAJI RAHIMI,,,PKR,PKR
http://pru.sinarharian.com.my/calon/8000/marzuani-ardila-ariffin,MARZUANI ARDILA ARIFFIN (GEE),,15,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7999/khlir-mohd-nor,MEJ JEN DATO HJ KHLIR (B),,,PAS,PAS
http://pru.sinarharian.com.my/calon/8001/haneef-ibrahim,HANEEF IBRAHIM (ABE HANEEF),,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/993/bakri-mohd-bakri-mustapha,CIKGU BAKRI,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7950/mohamad-suparadi-md-noor,DATO' D,,,PKR,PKR
http://pru.sinarharian.com.my/calon/8486/nasir-abdullah,LAWYER NASIR ABDULLAH,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/1006/nik-sapeia-nik-yusof,DATUK NIK SAPEIA,,,BEBAS,BEBAS
http://pru.sinarharian.com.my/calon/229/ikmal-hisham-abdul-aziz,DATO' SRI IKMAL HISHAM,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/6267/wan-marzudi-wan-omar,KAPTEN WAN MARZUDI,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/997/zawawi-othman,DATUK CIKGU AWI,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/2090/muhammad-husain,USTAZ MUHAMMAD HUSAIN,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/2490/nik-muhammad-zawawi-salleh,USTAZ NIK ZAWAWI,55,17/3/1967,PAS,PAS
http://pru.sinarharian.com.my/calon/231/ahmad-jazlan-yaakub,DATUK JAZLAN,58,30/8/1964,UMNO,UMNO
http://pru.sinarharian.com.my/calon/8012/muhamad-seman,MEJAR (B) MAT,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/8013/wan-ahmad-fayhsal-wan-ahmad-kamal,WAN AHMAD FAYHSAL,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/8014/rosli-allani-s-abdull-kadir,DR ROSLI,,,PKR,PKR
http://pru.sinarharian.com.my/calon/2255/dr-muhammad-daud,PROFESSOR DR IR HJ MAT,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/8084/zahari-kechik,POK ZAHARI,,,PPBM,PPBM/BERSATU
