ID,BALLOT_NAME,JOB,PID,JANTINA,DUN_ID,TYPE (PAR/DUN),IND_SYMBOL_ID,STATUS (WIN/LOSE/DEPOSIT),LAST_UPDATED,BALLOT_ID,TOTAL_VOTES,MAJORITY,??
145,KHAIRUL AZUAN,AHLI PERNIAGAAN,54,L,01900,parlimen,,HD,2022-11-05T12:22:51.247Z,1,245,34793,1233
6,DATO' KAK TAZ,TIADA,2,P,01900,parlimen,,MNG,2022-11-05T12:22:51.247Z,2,65426,34793,1233
37,ASRI ALI,PENIAGA,34,L,01900,parlimen,,HD,2022-11-05T12:22:51.247Z,3,593,34793,1233
251,HAJI WAN JO,TIADA,31,L,01900,parlimen,,HD,2022-11-05T12:22:51.247Z,4,7762,34793,1233
405,DATO' CHE LAH (DCL),AHLI POLITIK,1,L,01900,parlimen,,KLH,2022-11-05T12:22:51.247Z,5,30633,34793,1233
903,ABE WAE - REDZUAN,BERNIAGA,20,L,02000,parlimen,29,HD,2022-11-05T11:46:55.400Z,1,451,38270,630
815,KAK JAH,USAHAWAN,31,P,02000,parlimen,,HD,2022-11-05T11:46:55.400Z,2,7356,38270,630
939,WAN AHMAD NASRI,TIADA,25,L,02000,parlimen,,HD,2022-11-05T11:46:55.400Z,3,358,38270,630
623,DATUK MARZUK,TIMBALAN MENTERI (SEMENTARA),2,L,02000,parlimen,,MNG,2022-11-05T11:46:55.400Z,4,53933,38270,630
747,DR. HAFIZ,TIADA,1,L,02000,parlimen,,KLH,2022-11-05T11:46:55.400Z,5,15663,38270,630
818,DATUK SERI TAKIYUDDIN,MENTERI (SEMENTARA),2,L,02100,parlimen,,MNG,2022-11-05T11:35:02.667Z,1,41869,22613,721
923,DR HAFIDZAH,BEKERJA SENDIRI,31,P,02100,parlimen,,KLH,2022-11-05T11:35:02.667Z,2,19256,22613,721
758,HJ. ROSMADI ISMAIL,BERNIAGA,1,L,02100,parlimen,,KLH,2022-11-05T11:35:02.667Z,3,16168,22613,721
959,ANDY TAN @ AWANG,AHLI PERNIAGAAN,7,L,02100,parlimen,,HD,2022-11-05T11:35:02.667Z,4,107,22613,721
888,PROF. DATO DR CHE MUSA CHE OMAR,PENASIHAT AKADEMIK,34,L,02100,parlimen,,HD,2022-11-05T11:35:02.667Z,5,528,22613,721
989,IZAT BUKHARY,TIADA,20,L,02100,parlimen,27,HD,2022-11-05T11:35:02.667Z,6,91,22613,721
431,DATUK HUSAM,TIADA,31,L,02200,parlimen,,HD,2022-11-05T12:00:03.533Z,1,6439,30717,819
187,USTAZ FADHLI SHAARI,TIADA,2,L,02200,parlimen,,MNG,2022-11-05T12:00:03.533Z,2,44444,30717,819
92,DATO GHANI,PESARA,1,L,02200,parlimen,,KLH,2022-11-05T12:00:03.533Z,3,13727,30717,819
360,NASRUL ALI HASAN,PERUNDING,34,L,02200,parlimen,,HD,2022-11-05T12:00:03.533Z,4,543,30717,819
39,DATO' DR. IBRAHIM ALI,PESARA,34,L,02300,parlimen,,HD,2022-11-05T10:50:54.187Z,1,1216,20636,668
599,KAK LAH,TIMBALAN MENTERI (SEMENTARA),2,P,02300,parlimen,,MNG,2022-11-05T10:50:54.187Z,2,37759,20636,668
421,DATUK ZAIN,TIADA,7,L,02300,parlimen,,HD,2022-11-05T10:50:54.187Z,3,173,20636,668
197,PROF UST ZUL,PESARA,1,L,02300,parlimen,,KLH,2022-11-05T10:50:54.187Z,4,17123,20636,668
513,DR SHAH,TIADA,31,L,02300,parlimen,,HD,2022-11-05T10:50:54.187Z,5,4256,20636,668
255,DR.WAN AHMAD KAMIL,PESARA,31,L,02400,parlimen,,KLH,2022-11-05T10:54:54.250Z,1,10236,40847,775
138,RIZAL,TIADA,25,L,02400,parlimen,,HD,2022-11-05T10:54:54.250Z,2,687,40847,775
82,KAK LONG,BERNIAGA,1,P,02400,parlimen,,KLH,2022-11-05T10:54:54.250Z,3,14807,40847,775
682,USTAZ DATO' TUAN IBRAHIM,MENTERI (SEMENTARA),2,L,02400,parlimen,,MNG,2022-11-05T10:54:54.250Z,4,55654,40847,775
813,SYAHIR SULAIMAN,TIADA,2,L,02500,parlimen,,MNG,2022-11-05T10:49:58.710Z,1,57496,30163,1012
870,NOR AZMIZA MAMAT,PENGUSAHA TADIKA,31,P,02500,parlimen,,HD,2022-11-05T10:49:58.710Z,2,4385,30163,1012
186,HAJI ZU,TIADA,20,L,02500,parlimen,29,HD,2022-11-05T10:49:58.710Z,3,423,30163,1012
340,CIKGU ZAM,PENIAGA,34,L,02500,parlimen,,HD,2022-11-05T10:49:58.710Z,4,276,30163,1012
115,DATUK HAJI ZAIN,BERNIAGA,1,L,02500,parlimen,,KLH,2022-11-05T10:49:58.710Z,5,27333,30163,1012
664,HAJI RAHIMI,PESARA,31,L,02600,parlimen,,HD,2022-11-05T11:33:20.147Z,1,4662,23107,900
749,MARZUANI ARDILA ARIFFIN (GEE),TIADA,1,P,02600,parlimen,,KLH,2022-11-05T11:33:20.147Z,2,17435,23107,900
608,MEJ JEN DATO HJ KHLIR (B),TIADA,2,L,02600,parlimen,,MNG,2022-11-05T11:33:20.147Z,3,40542,23107,900
528,HANEEF IBRAHIM (ABE HANEEF),PENGURUS CAWANGAN MYANGKASA AMANAH BERHAD KOTA BHARU,34,L,02600,parlimen,,HD,2022-11-05T11:33:20.147Z,4,223,23107,900
911,CIKGU BAKRI,AHLI DEWAN UNDANGAN NEGERI GUAL IPOH,1,L,02700,parlimen,,KLH,2022-11-05T10:44:49.253Z,1,9781,44498,624
809,DATO' D,TIADA,31,L,02700,parlimen,,HD,2022-11-05T10:44:49.253Z,2,5357,44498,624
873,LAWYER NASIR ABDULLAH,PEGUAM,34,L,02700,parlimen,,HD,2022-11-05T10:44:49.253Z,3,168,44498,624
649,DATUK NIK SAPEIA,TIADA,20,L,02700,parlimen,17,HD,2022-11-05T10:44:49.253Z,4,101,44498,624
740,DATO' SRI IKMAL HISHAM,TIMBALAN MENTERI ( SEMENTARA),2,L,02700,parlimen,,MNG,2022-11-05T10:44:49.253Z,5,54279,44498,624
463,KAPTEN WAN MARZUDI,TIADA,25,L,02800,parlimen,,HD,2022-11-05T11:38:08.827Z,1,350,29264,1013
557,DATUK CIKGU AWI,TIADA,1,L,02800,parlimen,,KLH,2022-11-05T11:38:08.827Z,2,23844,29264,1013
362,USTAZ MUHAMMAD HUSAIN,TIADA,31,L,02800,parlimen,,HD,2022-11-05T11:38:08.827Z,3,3873,29264,1013
49,USTAZ NIK ZAWAWI,BERNIAGA,2,L,02800,parlimen,,MNG,2022-11-05T11:38:08.827Z,4,53108,29264,1013
506,DATUK JAZLAN,AHLI PERNIAGAAN,1,L,02900,parlimen,,KLH,2022-11-05T10:55:37.297Z,1,25449,10154,733
617,MEJAR (B) MAT,PESARA KERAJAAN,34,L,02900,parlimen,,HD,2022-11-05T10:55:37.297Z,2,128,10154,733
261,WAN AHMAD FAYHSAL,TIADA,2,L,02900,parlimen,,MNG,2022-11-05T10:55:37.297Z,3,35603,10154,733
392,DR ROSLI,DOKTOR,31,L,02900,parlimen,,HD,2022-11-05T10:55:37.297Z,4,3934,10154,733
777,PROFESSOR DR IR HJ MAT,PERUNDING KEJURUTERAAN,34,L,03000,parlimen,,HD,2022-11-05T11:33:25.470Z,1,133,12464,635
158,POK ZAHARI,TIADA,2,L,03000,parlimen,,MNG,2022-11-05T11:33:25.470Z,2,27072,12464,635
834,NORWAHIDA PATUAN,BEKERJA SENDIRI,1,P,03000,parlimen,,KLH,2022-11-05T11:33:25.470Z,3,14608,12464,635
696,MD RADZI,TIADA,31,L,03000,parlimen,,HD,2022-11-05T11:33:25.470Z,4,1140,12464,635
193,USTAZ LATIFF,TIADA,2,L,03100,parlimen,,MNG,2022-11-05T10:42:05.153Z,1,42740,25188,796
393,ZUKI,BERNIAGA,1,L,03100,parlimen,,KLH,2022-11-05T10:42:05.153Z,2,17552,25188,796
490,NORASHIKIN,TIADA,25,P,03100,parlimen,,HD,2022-11-05T10:42:05.153Z,3,241,25188,796
317,SYAM GHAZ,PENIAGA,31,L,03100,parlimen,,HD,2022-11-05T10:42:05.153Z,4,4148,25188,796
580,TENGKU RAZALEIGH HAMZAH,TIADA,1,L,03200,parlimen,,KLH,2022-11-05T10:55:43.710Z,1,21663,163,743
703,MOHD AZIZI ABU NAIM,AHLI PERNIAGAAN,2,L,03200,parlimen,,MNG,2022-11-05T10:55:43.710Z,2,21826,163,743
645,DATO' DR. ADABI,TIADA,25,L,03200,parlimen,,HD,2022-11-05T10:55:43.710Z,3,371,163,743
766,ABE YO,TIADA,31,L,03200,parlimen,,HD,2022-11-05T10:55:43.710Z,4,4517,163,743
