MATCH_URL,NAME,AGE,SINARHARIAN_AGE,BERNAMA_AGE,GENDER
https://prn.bernama.com/penamaan/index-en.php?n=05,ROSMADI ARIF,,,51,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,LOKE SIEW FOOK,,,46,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,JALALUDDIN ALIAS,,,59,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,AMIRUDIN HASSAN,,,64,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHD.RAZI MOHD.ALI,,,50,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHD NORDIN HASIM,,,43,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,SAIFUL BAHRI JAAMAN @ SHARMAN,,,56,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,DANNI RAIS,,,35,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,BAKRI SAWIR,,,64,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHD FAIRUZ MOHD ISA,,,47,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MUHAMAD ZAMRI OMAR,,,56,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,NOOR AZUAN PARMIN,,,52,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MUSTAPHA NAGOOR,,,55,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHD ZAIDY ABDUL KADIR,,,41,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,SURASH SREENIVASAN,,,49,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,KUMAR S. PARAMASIVAM,,,53,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,TEO KOK SEONG,,,43,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,ZUL AZKI MAT SULOP,,,57,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHD FADLI CHE ME,,,50,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHD ASNA AMIN,,,44,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,GAN CHEE BIOW,,,56,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,OMAR MOHD ISA,,,57,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,YESSU SAMUEL,,,47,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,ARUL KUMAR JAMBUNATHAN,,,37,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,NG SOON LEAN,,,58,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,CHEW SEH YONG,,,61,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,NG CHIN TSAI,,,45,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,AHMAD QUSYAIRI ABDULL RAHIM,,,34,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,CHUA ENG PU,,,54,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,AHMAD RAIHAN MUHAMAD HILAL,,,33,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,AMINUDDIN HARUN,,,56,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,BUJANG ABU,,,71,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHAMMED HAFIZ BAHARUDIN,,,47,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,TENGKU ZAMRAH TENGKU SULAIMAN,,,64,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MUHAMMAD GHAZALI ZAINAL ABIDIN,,,37,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHAMAD RAFIE AB MALEK,,,59,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,EDDIN SYAZLEE SHITH,,,49,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,BIBI SHARLIZA MOHD KHALID,,,52,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MUHAMMAD SUFIAN MARADZI,,,40,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,JAMALI SALAM,,,70,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,ISMAIL LASIM,,,64,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,AMRINA MOHD KHALID,,,52,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,RAFIEI MUSTAPHA,,,69,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,NOORZUNITA BEGUM MOHD IBRAHIM,,,42,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,SAIFUL YAZAN SULAIMAN,,,56,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,KAMARUDIN MD TAHIR,,,75,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MOHAMAD HANIFAH ABU BAKER,,,42,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,ISMAIL AHMAD,,,67,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,SUBRAMANIAM PURUSHOTHAMA,,,62,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,AHMAD ZAMALI MOHAMAD,,,49,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,NICOLE TAN LEE KOON,,,52,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,SIAU MEOW KONG,,,51,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,LEE BOON SHIAN,,,38,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,YAP YEW WENG,,,59,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,KUMARAVEL RAMIAH,,,50,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,SATHES KUMAR NILAMEHAM,,,43,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,GUNASEKAREN PALASAMY,,,64,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,LEE BAN FATT,,,48,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,MUHAMMAD SYAKIR FITRI SADRI,,,25,MALE
https://prn.bernama.com/penamaan/index-en.php?n=05,NORWANI AHMAT,,,47,FEMALE
https://prn.bernama.com/penamaan/index-en.php?n=05,KAMAROL RIDZUAN MOHD ZAIN,,,56,MALE
