P.006_P.006/POSTAL VOTE_UNDI POS_1,,POSTAL VOTE,P.006,KUBANG PASU,P.006/POSTAL VOTE,UNDI POS,UNDI POS,UNDI POS,UNDI POS,1,3330
P.006_P.006/EARLY VOTE_006/05/00_1,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/05/00,UNDI AWAL ,"BILIK LATIHAN, KOMPENI D BATALION 1 PASUKAN GERAKAN AM BUKIT KAYU HITAM",1,259
P.006_P.006/EARLY VOTE_006/05/00_1,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/05/00,UNDI AWAL ,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",1,52
P.006_P.006/EARLY VOTE_006/05/00_2,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/05/00,UNDI AWAL ,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",2,58
P.006_P.006/EARLY VOTE_006/05/00_3,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/05/00,UNDI AWAL ,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",3,179
P.006_P.006/EARLY VOTE_006/05/00_1,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/05/00,UNDI AWAL ,"BILIK KULIAH 2 , PALAPES UUM",1,40
P.006_P.006/EARLY VOTE_006/06/00_1,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/06/00,UNDI AWAL ,"DEWAN SERBAGUNA, IPD KUBANG PASU",1,313
P.006_P.006/EARLY VOTE_006/06/00_1,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/06/00,UNDI AWAL ,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,1,172
P.006_P.006/EARLY VOTE_006/06/00_2,,EARLY VOTE,P.006,KUBANG PASU,P.006/EARLY VOTE,EARLY VOTE,006/06/00,UNDI AWAL ,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,2,429
P.006_N.05_006/05/01_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/01,BUKIT KAYU HITAM ,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",1,334
