Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Candidate,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,1048,4,518,85,193,78,878,36,134,UNDI POS,UNDI POS,UNDI POS
2,004/01/00,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1,234,0,123,9,92,8,232,2,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 004/01/00
3,004/02/00,DEWAN SERBAGUNA IPD LANGKAWI,1,307,0,71,5,221,8,305,2,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 004/02/00
3,004/02/00,"DEWAN TUN RAHAH, TENTERA LAUT DIRAJA MALAYSIA",1,290,0,196,12,63,19,290,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 004/02/00
3,004/02/00,BILIK MESYUARAT MARKAS OPERASI PASUKAN POLIS MARIN WILAYAH 1,1,36,1,27,1,6,1,36,0,0,UNDI AWAL ,UNDI AWAL,UNDI AWAL 004/02/00
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",1,369,1,157,29,150,24,361,8,0,KUALA TERIANG ,UNDI BIASA,KUALA TERIANG 004/01/01
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",2,430,3,253,30,111,29,426,4,0,KUALA TERIANG ,UNDI BIASA,KUALA TERIANG 004/01/01
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",3,387,0,267,17,91,12,387,0,0,KUALA TERIANG ,UNDI BIASA,KUALA TERIANG 004/01/01
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",4,407,1,292,10,81,22,406,1,0,KUALA TERIANG ,UNDI BIASA,KUALA TERIANG 004/01/01
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",1,336,3,133,19,127,44,326,10,0,EWA ,UNDI BIASA,EWA 004/01/02
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",2,501,0,288,37,130,40,495,6,0,EWA ,UNDI BIASA,EWA 004/01/02
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",3,457,0,322,23,74,33,452,5,0,EWA ,UNDI BIASA,EWA 004/01/02
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",4,519,0,410,16,65,24,515,4,0,EWA ,UNDI BIASA,EWA 004/01/02
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",1,303,2,122,26,113,26,289,14,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",2,358,1,154,36,108,50,349,9,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",3,502,2,275,57,134,24,492,10,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",4,468,0,304,41,94,26,465,3,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",5,429,1,266,36,104,19,426,3,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",6,452,0,303,30,94,23,450,2,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",7,497,1,360,31,74,29,495,2,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",8,528,2,394,20,89,21,526,2,0,PADANG LALANG ,UNDI BIASA,PADANG LALANG 004/01/03
7,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",1,359,0,144,33,145,28,350,9,0,KILIM ,UNDI BIASA,KILIM 004/01/04
7,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",2,469,0,283,44,115,23,465,4,0,KILIM ,UNDI BIASA,KILIM 004/01/04
7,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",3,495,2,348,42,68,32,492,3,0,KILIM ,UNDI BIASA,KILIM 004/01/04
8,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",1,348,3,75,39,152,64,333,15,0,"LADANG SUNGAI RAYA
",UNDI BIASA,"LADANG SUNGAI RAYA
004/01/05"
8,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",2,555,2,124,91,229,101,547,8,0,"LADANG SUNGAI RAYA
",UNDI BIASA,"LADANG SUNGAI RAYA
004/01/05"
