Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KHAIRUL AZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' KAK TAZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ASRI ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI WAN JO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CHE LAH (DCL),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,2898,7,1339,8,124,897,2375,252,271,UNDI POS,UNDI POS,UNDI POS
2,019/01/00,"BILIK 1 DEWAN TEMENGGONG, IBU PEJABAT POLIS DAERAH TUMPAT - SALURAN 1",1,102,0,35,0,8,58,101,1,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 019/01/00
3,019/02/00,"BILIK 2 DEWAN TEMENGGONG, IBU PEJABAT POLIS DAERAH TUMPAT - SALURAN 2",1,224,1,69,0,3,148,221,2,1,UNDI AWAL,UNDI AWAL,UNDI AWAL 019/02/00
4,019/03/00,BILIK 1 KANTIN IBU PEJABAT POLIS DAERAH TUMPAT - SALURAN 1,1,13,0,4,0,0,9,13,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 019/03/00
5,019/04/00,BILIK 2 KANTIN IBU PEJABAT POLIS DAERAH TUMPAT - SALURAN 2,1,36,0,15,0,1,20,36,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 019/04/00
6,019/01/01,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),1,152,0,55,0,20,74,149,3,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 019/01/01
6,019/01/01,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),2,226,0,89,0,30,106,225,1,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 019/01/01
6,019/01/01,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),3,372,1,170,3,40,154,368,4,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 019/01/01
6,019/01/01,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),4,351,3,178,1,37,123,342,9,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 019/01/01
6,019/01/01,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),5,337,3,194,3,38,97,335,2,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 019/01/01
