Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ABE WAE - REDZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK JAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD NASRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MARZUK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. HAFIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,2452,18,178,10,1264,652,2122,65,265,UNDI POS,UNDI POS,UNDI POS
2,020/05/00,BILIK MAKLUMAT BALAI POLIS BADANG,1,18,0,2,0,9,7,18,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/05/00
3,020/06/00,DEWAN TAN SRI HAMID BIDIN  KEM PENGKALAN CHEPA,1,390,3,14,4,235,129,385,5,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/06/00
3,020/06/00,DEWAN TAN SRI HAMID BIDIN  KEM PENGKALAN CHEPA,2,380,3,11,1,245,111,371,9,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/06/00
3,020/06/00,DEWAN TAN SRI HAMID BIDIN  KEM PENGKALAN CHEPA,3,427,4,12,2,279,125,422,5,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/06/00
4,020/07/00,"BILIK 1 DEWAN SRI SEBELAS BN 8 PGA, KEM PENGKALAN CHEPA - SALURAN 1",1,461,2,19,1,203,232,457,4,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/07/00
4,020/07/00,"BILIK 2 & 3 DEWAN SRI SEBELAS BN 8 PGA, KEM PENGKALAN CHEPA - SALURAN 2 & 3",2,300,2,17,2,201,76,298,2,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/07/00
4,020/07/00,"BILIK 2 & 3 DEWAN SRI SEBELAS BN 8 PGA, KEM PENGKALAN CHEPA - SALURAN 2 & 3",3,296,1,12,2,181,96,292,4,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 020/07/00
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,1,295,2,20,2,182,86,292,3,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,2,370,2,35,2,228,101,368,2,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,3,488,1,22,3,329,127,482,6,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
5,020/05/01,SEKOLAH KEBANGSAAN CHE LATIFF,4,436,1,35,3,295,101,435,1,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 020/05/01
