Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR.WAN AHMAD KAMIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ DATO' TUAN IBRAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,2503,271,24,517,1253,2065,101,337,UNDI POS,UNDI POS,UNDI POS
2,024/18/00,BILIK TAKLIMAT BALAI POLIS NILAM PURI,1,15,2,0,11,2,15,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 024/18/00
3,024/19/00,BILIK TAKLIMAT BALAI POLIS BINJAI,1,75,5,0,33,37,75,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 024/19/00
4,024/17/01,SEKOLAH KEBANGSAAN PENDEK,1,142,30,2,34,70,136,6,0,WAKAF ZAIN ,UNDI BIASA,WAKAF ZAIN 024/17/01
4,024/17/01,SEKOLAH KEBANGSAAN PENDEK,2,310,63,1,56,190,310,0,0,WAKAF ZAIN ,UNDI BIASA,WAKAF ZAIN 024/17/01
5,024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,1,307,64,2,79,155,300,7,0,KOTA SELATAN ,UNDI BIASA,KOTA SELATAN 024/17/02
5,024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,2,340,72,3,85,177,337,3,0,KOTA SELATAN ,UNDI BIASA,KOTA SELATAN 024/17/02
5,024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,3,456,77,0,88,286,451,5,0,KOTA SELATAN ,UNDI BIASA,KOTA SELATAN 024/17/02
5,024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,4,457,80,4,104,264,452,5,0,KOTA SELATAN ,UNDI BIASA,KOTA SELATAN 024/17/02
5,024/17/02,SEKOLAH KEBANGSAAN SERI KOTA,5,571,119,2,92,357,570,1,0,KOTA SELATAN ,UNDI BIASA,KOTA SELATAN 024/17/02
6,024/17/03,SEKOLAH KEBANGSAAN PENDEK,3,320,57,3,75,178,313,7,0,PENDEK ,UNDI BIASA,PENDEK 024/17/03
6,024/17/03,SEKOLAH KEBANGSAAN PENDEK,4,354,57,4,70,221,352,2,0,PENDEK ,UNDI BIASA,PENDEK 024/17/03
6,024/17/03,SEKOLAH KEBANGSAAN PENDEK,5,459,68,4,63,319,454,5,0,PENDEK ,UNDI BIASA,PENDEK 024/17/03
6,024/17/03,SEKOLAH KEBANGSAAN PENDEK,6,438,80,4,55,295,434,4,0,PENDEK ,UNDI BIASA,PENDEK 024/17/03
6,024/17/03,SEKOLAH KEBANGSAAN PENDEK,7,502,102,2,73,321,498,3,1,PENDEK ,UNDI BIASA,PENDEK 024/17/03
7,024/17/04,SEKOLAH KEBANGSAAN MULONG (2),1,334,38,4,95,191,328,6,0,LARAK ,UNDI BIASA,LARAK 024/17/04
7,024/17/04,SEKOLAH KEBANGSAAN MULONG (2),2,409,39,3,88,277,407,2,0,LARAK ,UNDI BIASA,LARAK 024/17/04
7,024/17/04,SEKOLAH KEBANGSAAN MULONG (2),3,433,58,7,63,304,432,1,0,LARAK ,UNDI BIASA,LARAK 024/17/04
8,024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,1,316,38,5,68,203,314,2,0,MULONG ,UNDI BIASA,MULONG 024/17/05
8,024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,2,419,51,3,79,283,416,3,0,MULONG ,UNDI BIASA,MULONG 024/17/05
8,024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,3,372,37,4,35,294,370,2,0,MULONG ,UNDI BIASA,MULONG 024/17/05
8,024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,4,380,47,11,46,268,372,8,0,MULONG ,UNDI BIASA,MULONG 024/17/05
8,024/17/05,SEKOLAH MENENGAH KEBANGSAAN MULONG,5,436,49,8,66,313,436,0,0,MULONG ,UNDI BIASA,MULONG 024/17/05
9,024/17/06,SEKOLAH MENENGAH KEBANGSAAN SALOR,1,299,41,0,58,196,295,3,1,TELOK KANDIS ,UNDI BIASA,TELOK KANDIS 024/17/06
9,024/17/06,SEKOLAH MENENGAH KEBANGSAAN SALOR,2,361,41,2,52,264,359,2,0,TELOK KANDIS ,UNDI BIASA,TELOK KANDIS 024/17/06
9,024/17/06,SEKOLAH MENENGAH KEBANGSAAN SALOR,3,381,45,0,67,258,370,11,0,TELOK KANDIS ,UNDI BIASA,TELOK KANDIS 024/17/06
10,024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,4,291,55,1,80,153,289,2,0,SALOR ,UNDI BIASA,SALOR 024/17/07
10,024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,5,486,82,2,111,286,481,5,0,SALOR ,UNDI BIASA,SALOR 024/17/07
10,024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,6,432,82,4,78,267,431,1,0,SALOR ,UNDI BIASA,SALOR 024/17/07
10,024/17/07,SEKOLAH MENENGAH KEBANGSAAN SALOR,7,514,81,2,72,357,512,2,0,SALOR ,UNDI BIASA,SALOR 024/17/07
11,024/17/08,SEKOLAH KEBANGSAAN SALOR,1,304,31,5,101,165,302,2,0,"KAMPUNG KUBANG RAWA
",UNDI BIASA,"KAMPUNG KUBANG RAWA
024/17/08"
11,024/17/08,SEKOLAH KEBANGSAAN SALOR,2,352,43,9,102,195,349,3,0,"KAMPUNG KUBANG RAWA
",UNDI BIASA,"KAMPUNG KUBANG RAWA
024/17/08"
11,024/17/08,SEKOLAH KEBANGSAAN SALOR,3,382,57,7,88,228,380,2,0,"KAMPUNG KUBANG RAWA
",UNDI BIASA,"KAMPUNG KUBANG RAWA
024/17/08"
11,024/17/08,SEKOLAH KEBANGSAAN SALOR,4,357,51,0,71,234,356,1,0,"KAMPUNG KUBANG RAWA
",UNDI BIASA,"KAMPUNG KUBANG RAWA
024/17/08"
11,024/17/08,SEKOLAH KEBANGSAAN SALOR,5,395,75,7,89,224,395,0,0,"KAMPUNG KUBANG RAWA
",UNDI BIASA,"KAMPUNG KUBANG RAWA
024/17/08"
11,024/17/08,SEKOLAH KEBANGSAAN SALOR,6,483,77,5,76,324,482,1,0,"KAMPUNG KUBANG RAWA
",UNDI BIASA,"KAMPUNG KUBANG RAWA
024/17/08"
12,024/17/09,SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,1,335,49,3,122,156,330,5,0,"SEBERANG PASIR MAS
",UNDI BIASA,"SEBERANG PASIR MAS
024/17/09"
12,024/17/09,SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,2,353,59,0,101,187,347,6,0,"SEBERANG PASIR MAS
",UNDI BIASA,"SEBERANG PASIR MAS
024/17/09"
12,024/17/09,SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,3,391,62,2,109,211,384,7,0,"SEBERANG PASIR MAS
",UNDI BIASA,"SEBERANG PASIR MAS
024/17/09"
12,024/17/09,SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,4,380,60,1,102,214,377,3,0,"SEBERANG PASIR MAS
",UNDI BIASA,"SEBERANG PASIR MAS
024/17/09"
12,024/17/09,SEKOLAH KEBANGSAAN SEBERANG PASIR MAS,5,452,60,2,104,286,452,0,0,"SEBERANG PASIR MAS
",UNDI BIASA,"SEBERANG PASIR MAS
024/17/09"
13,024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,1,315,34,2,95,179,310,5,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 024/17/10
13,024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,2,390,44,5,83,256,388,2,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 024/17/10
13,024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,3,353,41,2,64,246,353,0,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 024/17/10
13,024/17/10,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,4,426,59,5,95,265,424,2,0,PENGKALAN KUBOR ,UNDI BIASA,PENGKALAN KUBOR 024/17/10
14,024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,1,332,17,5,96,205,323,9,0,DEWAN ,UNDI BIASA,DEWAN 024/17/11
14,024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,2,409,35,0,92,278,405,4,0,DEWAN ,UNDI BIASA,DEWAN 024/17/11
14,024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,3,367,20,3,79,263,365,2,0,DEWAN ,UNDI BIASA,DEWAN 024/17/11
14,024/17/11,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,4,457,31,1,113,312,457,0,0,DEWAN ,UNDI BIASA,DEWAN 024/17/11
15,024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,1,340,41,0,99,198,338,2,0,BETA HILIR ,UNDI BIASA,BETA HILIR 024/17/12
15,024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,2,539,39,2,138,355,534,5,0,BETA HILIR ,UNDI BIASA,BETA HILIR 024/17/12
15,024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,3,465,50,3,106,306,465,0,0,BETA HILIR ,UNDI BIASA,BETA HILIR 024/17/12
15,024/17/12,SEKOLAH KEBANGSAAN DEWAN BETA,4,584,80,3,111,390,584,0,0,BETA HILIR ,UNDI BIASA,BETA HILIR 024/17/12
16,024/17/13,SEKOLAH KEBANGSAAN MULONG,1,229,16,0,41,169,226,3,0,LUBOK JAMBU ,UNDI BIASA,LUBOK JAMBU 024/17/13
16,024/17/13,SEKOLAH KEBANGSAAN MULONG,2,374,14,1,52,303,370,4,0,LUBOK JAMBU ,UNDI BIASA,LUBOK JAMBU 024/17/13
16,024/17/13,SEKOLAH KEBANGSAAN MULONG,3,390,29,3,79,279,390,0,0,LUBOK JAMBU ,UNDI BIASA,LUBOK JAMBU 024/17/13
17,024/17/14,SEKOLAH KEBANGSAAN KOR,1,353,52,0,79,218,349,4,0,KAMPUNG KOR ,UNDI BIASA,KAMPUNG KOR 024/17/14
17,024/17/14,SEKOLAH KEBANGSAAN KOR,2,428,70,1,66,289,426,2,0,KAMPUNG KOR ,UNDI BIASA,KAMPUNG KOR 024/17/14
17,024/17/14,SEKOLAH KEBANGSAAN KOR,3,390,47,4,62,274,387,3,0,KAMPUNG KOR ,UNDI BIASA,KAMPUNG KOR 024/17/14
17,024/17/14,SEKOLAH KEBANGSAAN KOR,4,449,60,0,83,300,443,6,0,KAMPUNG KOR ,UNDI BIASA,KAMPUNG KOR 024/17/14
18,024/17/15,SEKOLAH KEBANGSAAN BETA HULU,1,326,24,0,66,227,317,9,0,BETA HULU ,UNDI BIASA,BETA HULU 024/17/15
18,024/17/15,SEKOLAH KEBANGSAAN BETA HULU,2,433,32,3,66,325,426,7,0,BETA HULU ,UNDI BIASA,BETA HULU 024/17/15
18,024/17/15,SEKOLAH KEBANGSAAN BETA HULU,3,371,22,1,39,303,365,6,0,BETA HULU ,UNDI BIASA,BETA HULU 024/17/15
18,024/17/15,SEKOLAH KEBANGSAAN BETA HULU,4,439,35,3,66,335,439,0,0,BETA HULU ,UNDI BIASA,BETA HULU 024/17/15
19,024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,1,341,11,5,60,258,334,6,1,KEDAI PIAH ,UNDI BIASA,KEDAI PIAH 024/17/16
19,024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,2,425,29,0,64,328,421,4,0,KEDAI PIAH ,UNDI BIASA,KEDAI PIAH 024/17/16
19,024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,3,382,28,3,49,299,379,3,0,KEDAI PIAH ,UNDI BIASA,KEDAI PIAH 024/17/16
19,024/17/16,SEKOLAH KEBANGSAAN KEDAI PIAH,4,454,42,0,49,362,453,1,0,KEDAI PIAH ,UNDI BIASA,KEDAI PIAH 024/17/16
20,024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,1,304,27,2,73,198,300,4,0,PADANG ENGGANG ,UNDI BIASA,PADANG ENGGANG 024/18/01
20,024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,2,341,34,3,70,230,337,4,0,PADANG ENGGANG ,UNDI BIASA,PADANG ENGGANG 024/18/01
20,024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,3,399,38,2,75,280,395,4,0,PADANG ENGGANG ,UNDI BIASA,PADANG ENGGANG 024/18/01
20,024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,4,388,51,0,65,270,386,2,0,PADANG ENGGANG ,UNDI BIASA,PADANG ENGGANG 024/18/01
20,024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,5,378,52,2,55,268,377,1,0,PADANG ENGGANG ,UNDI BIASA,PADANG ENGGANG 024/18/01
20,024/18/01,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,6,463,63,2,67,331,463,0,0,PADANG ENGGANG ,UNDI BIASA,PADANG ENGGANG 024/18/01
21,024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,1,303,28,4,86,161,279,24,0,PASIR HOR ,UNDI BIASA,PASIR HOR 024/18/02
21,024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,2,364,43,4,100,203,350,14,0,PASIR HOR ,UNDI BIASA,PASIR HOR 024/18/02
21,024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,3,552,49,5,120,369,543,9,0,PASIR HOR ,UNDI BIASA,PASIR HOR 024/18/02
21,024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,4,480,48,2,84,345,479,1,0,PASIR HOR ,UNDI BIASA,PASIR HOR 024/18/02
21,024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,5,506,86,5,86,324,501,5,0,PASIR HOR ,UNDI BIASA,PASIR HOR 024/18/02
21,024/18/02,SEKOLAH KEBANGSAAN PASIR HOR,6,602,90,6,99,407,602,0,0,PASIR HOR ,UNDI BIASA,PASIR HOR 024/18/02
22,024/18/03,SEKOLAH KEBANGSAAN TIONG,1,307,29,1,84,191,305,2,0,TIONG ,UNDI BIASA,TIONG 024/18/03
22,024/18/03,SEKOLAH KEBANGSAAN TIONG,2,354,35,5,84,225,349,5,0,TIONG ,UNDI BIASA,TIONG 024/18/03
22,024/18/03,SEKOLAH KEBANGSAAN TIONG,3,516,49,5,102,355,511,5,0,TIONG ,UNDI BIASA,TIONG 024/18/03
22,024/18/03,SEKOLAH KEBANGSAAN TIONG,4,515,58,2,96,355,511,4,0,TIONG ,UNDI BIASA,TIONG 024/18/03
22,024/18/03,SEKOLAH KEBANGSAAN TIONG,5,623,70,6,98,445,619,4,0,TIONG ,UNDI BIASA,TIONG 024/18/03
23,024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,1,338,27,0,97,205,329,8,1,TUNJONG ,UNDI BIASA,TUNJONG 024/18/04
23,024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,2,468,34,1,85,339,459,9,0,TUNJONG ,UNDI BIASA,TUNJONG 024/18/04
23,024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,3,397,27,2,74,291,394,3,0,TUNJONG ,UNDI BIASA,TUNJONG 024/18/04
23,024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,4,415,36,1,94,284,415,0,0,TUNJONG ,UNDI BIASA,TUNJONG 024/18/04
23,024/18/04,DEWAN SRI TUNJONG JPN KELANTAN,5,471,48,3,62,356,469,2,0,TUNJONG ,UNDI BIASA,TUNJONG 024/18/04
24,024/18/05,SEKOLAH KEBANGSAAN SERIBONG,1,324,28,3,112,177,320,4,0,KAMPUNG PARIT ,UNDI BIASA,KAMPUNG PARIT 024/18/05
24,024/18/05,SEKOLAH KEBANGSAAN SERIBONG,2,369,37,4,86,239,366,3,0,KAMPUNG PARIT ,UNDI BIASA,KAMPUNG PARIT 024/18/05
24,024/18/05,SEKOLAH KEBANGSAAN SERIBONG,3,460,42,5,78,324,449,11,0,KAMPUNG PARIT ,UNDI BIASA,KAMPUNG PARIT 024/18/05
24,024/18/05,SEKOLAH KEBANGSAAN SERIBONG,4,440,44,4,86,306,440,0,0,KAMPUNG PARIT ,UNDI BIASA,KAMPUNG PARIT 024/18/05
24,024/18/05,SEKOLAH KEBANGSAAN SERIBONG,5,468,55,4,88,321,468,0,0,KAMPUNG PARIT ,UNDI BIASA,KAMPUNG PARIT 024/18/05
24,024/18/05,SEKOLAH KEBANGSAAN SERIBONG,6,561,72,1,87,399,559,2,0,KAMPUNG PARIT ,UNDI BIASA,KAMPUNG PARIT 024/18/05
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,1,309,49,7,69,181,306,3,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,2,333,65,6,64,197,332,1,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,3,468,59,7,81,318,465,3,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,4,418,53,1,78,284,416,2,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,5,406,67,4,53,281,405,1,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,6,471,100,3,56,310,469,2,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
25,024/18/06,SEKOLAH KEBANGSAAN LONG GAFAR,7,558,105,5,64,379,553,5,0,PASIR TUMBOH ,UNDI BIASA,PASIR TUMBOH 024/18/06
26,024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,1,317,35,0,20,260,315,2,0,KAMPUNG TERUSAN ,UNDI BIASA,KAMPUNG TERUSAN 024/18/07
26,024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,2,484,57,5,39,383,484,0,0,KAMPUNG TERUSAN ,UNDI BIASA,KAMPUNG TERUSAN 024/18/07
26,024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,3,471,41,0,34,394,469,2,0,KAMPUNG TERUSAN ,UNDI BIASA,KAMPUNG TERUSAN 024/18/07
26,024/18/07,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,4,515,37,0,29,441,507,8,0,KAMPUNG TERUSAN ,UNDI BIASA,KAMPUNG TERUSAN 024/18/07
27,024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,1,317,33,2,76,200,311,6,0,GUNTONG ,UNDI BIASA,GUNTONG 024/18/08
27,024/18/08,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,2,493,58,2,75,353,488,5,0,GUNTONG ,UNDI BIASA,GUNTONG 024/18/08
