Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SYAHIR SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NOR AZMIZA MAMAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI ZU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ZAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,2652,1136,107,16,6,936,2201,195,256,UNDI POS,UNDI POS,UNDI POS
2,025/20/00,"BILIK 1 DEWAN KELAB POLIS IBU PEJABAT POLIS DAERAH BACHOK
- SALURAN 1",1,9,4,0,0,0,5,9,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 025/20/00
3,025/21/00,BILIK PERKEP IBU PEJABAT POLIS DAERAH BACHOK,1,216,40,8,2,0,166,216,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 025/21/00
4,025/22/00,"BILIK 2 DEWAN KELAB POLIS IBU PEJABAT POLIS DAERAH BACHOK
- SALURAN 2",1,7,1,0,0,0,6,7,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 025/22/00
5,025/20/01,SEKOLAH KEBANGSAAN PANTAI SENAK,1,347,218,10,3,2,110,343,4,0,SENAK ,UNDI BIASA,SENAK 025/20/01
5,025/20/01,SEKOLAH KEBANGSAAN PANTAI SENAK,2,554,348,32,6,0,160,546,8,0,SENAK ,UNDI BIASA,SENAK 025/20/01
5,025/20/01,SEKOLAH KEBANGSAAN PANTAI SENAK,3,487,360,16,0,0,101,477,10,0,SENAK ,UNDI BIASA,SENAK 025/20/01
5,025/20/01,SEKOLAH KEBANGSAAN PANTAI SENAK,4,505,366,16,0,0,122,504,1,0,SENAK ,UNDI BIASA,SENAK 025/20/01
5,025/20/01,SEKOLAH KEBANGSAAN PANTAI SENAK,5,564,430,12,5,1,114,562,2,0,SENAK ,UNDI BIASA,SENAK 025/20/01
6,025/20/02,SMU (A) MUHAMMADIAH BERIS PANCHOR,1,339,262,19,1,3,49,334,4,1,WAKAF AIK ,UNDI BIASA,WAKAF AIK 025/20/02
6,025/20/02,SMU (A) MUHAMMADIAH BERIS PANCHOR,2,422,337,27,2,2,52,420,2,0,WAKAF AIK ,UNDI BIASA,WAKAF AIK 025/20/02
6,025/20/02,SMU (A) MUHAMMADIAH BERIS PANCHOR,3,392,316,13,4,0,55,388,4,0,WAKAF AIK ,UNDI BIASA,WAKAF AIK 025/20/02
6,025/20/02,SMU (A) MUHAMMADIAH BERIS PANCHOR,4,448,336,35,1,1,64,437,11,0,WAKAF AIK ,UNDI BIASA,WAKAF AIK 025/20/02
7,025/20/03,SEKOLAH KEBANGSAAN TAWANG,1,314,167,9,8,3,124,311,3,0,TAWANG ,UNDI BIASA,TAWANG 025/20/03
7,025/20/03,SEKOLAH KEBANGSAAN TAWANG,2,352,207,29,3,0,112,351,1,0,TAWANG ,UNDI BIASA,TAWANG 025/20/03
7,025/20/03,SEKOLAH KEBANGSAAN TAWANG,3,417,265,21,4,0,126,416,1,0,TAWANG ,UNDI BIASA,TAWANG 025/20/03
7,025/20/03,SEKOLAH KEBANGSAAN TAWANG,4,389,254,18,11,0,102,385,4,0,TAWANG ,UNDI BIASA,TAWANG 025/20/03
7,025/20/03,SEKOLAH KEBANGSAAN TAWANG,5,382,245,26,7,1,102,381,1,0,TAWANG ,UNDI BIASA,TAWANG 025/20/03
7,025/20/03,SEKOLAH KEBANGSAAN TAWANG,6,467,308,26,2,0,129,465,2,0,TAWANG ,UNDI BIASA,TAWANG 025/20/03
8,025/20/04,SEKOLAH KEBANGSAAN BERIS PANCHOR,1,328,191,7,5,3,118,324,4,0,BERIS GAJAH MATI ,UNDI BIASA,BERIS GAJAH MATI 025/20/04
8,025/20/04,SEKOLAH KEBANGSAAN BERIS PANCHOR,2,537,338,16,2,3,171,530,7,0,BERIS GAJAH MATI ,UNDI BIASA,BERIS GAJAH MATI 025/20/04
8,025/20/04,SEKOLAH KEBANGSAAN BERIS PANCHOR,3,452,317,14,2,6,112,451,1,0,BERIS GAJAH MATI ,UNDI BIASA,BERIS GAJAH MATI 025/20/04
8,025/20/04,SEKOLAH KEBANGSAAN BERIS PANCHOR,4,444,314,15,3,0,109,441,3,0,BERIS GAJAH MATI ,UNDI BIASA,BERIS GAJAH MATI 025/20/04
8,025/20/04,SEKOLAH KEBANGSAAN BERIS PANCHOR,5,542,363,27,5,0,146,541,1,0,BERIS GAJAH MATI ,UNDI BIASA,BERIS GAJAH MATI 025/20/04
9,025/20/05,SEKOLAH MENENGAH KEBANGSAAN BERIS PANCHOR,1,358,175,16,1,0,160,352,5,1,ANAK TEMBESU ,UNDI BIASA,ANAK TEMBESU 025/20/05
9,025/20/05,SEKOLAH MENENGAH KEBANGSAAN BERIS PANCHOR,2,457,303,15,0,1,133,452,5,0,ANAK TEMBESU ,UNDI BIASA,ANAK TEMBESU 025/20/05
9,025/20/05,SEKOLAH MENENGAH KEBANGSAAN BERIS PANCHOR,3,465,312,23,0,2,126,463,2,0,ANAK TEMBESU ,UNDI BIASA,ANAK TEMBESU 025/20/05
10,025/20/06,SEKOLAH KEBANGSAAN KOTA JEMBAL,1,373,234,7,0,0,128,369,4,0,KAMPUNG TOK JAWA ,UNDI BIASA,KAMPUNG TOK JAWA 025/20/06
10,025/20/06,SEKOLAH KEBANGSAAN KOTA JEMBAL,2,534,358,23,2,0,146,529,5,0,KAMPUNG TOK JAWA ,UNDI BIASA,KAMPUNG TOK JAWA 025/20/06
10,025/20/06,SEKOLAH KEBANGSAAN KOTA JEMBAL,3,465,334,15,0,2,108,459,6,0,KAMPUNG TOK JAWA ,UNDI BIASA,KAMPUNG TOK JAWA 025/20/06
10,025/20/06,SEKOLAH KEBANGSAAN KOTA JEMBAL,4,449,350,16,0,3,78,447,2,0,KAMPUNG TOK JAWA ,UNDI BIASA,KAMPUNG TOK JAWA 025/20/06
10,025/20/06,SEKOLAH KEBANGSAAN KOTA JEMBAL,5,548,408,27,3,2,106,546,2,0,KAMPUNG TOK JAWA ,UNDI BIASA,KAMPUNG TOK JAWA 025/20/06
11,025/20/07,SEKOLAH KEBANGSAAN KOTA JEMBAL,6,363,272,12,0,0,75,359,4,0,TELOK MESIRA ,UNDI BIASA,TELOK MESIRA 025/20/07
11,025/20/07,SEKOLAH KEBANGSAAN KOTA JEMBAL,7,417,334,23,2,1,56,416,1,0,TELOK MESIRA ,UNDI BIASA,TELOK MESIRA 025/20/07
