id,kno,sid,pid,t,pb,stats/b,stats/a,stats/p,stats/m/0,stats/m/1,stats/m/2,stats/m/3,stats/m/4,stats/m/5,stats/m/6,stats/m/7,stats/m/8,stats/f/0,stats/f/1,stats/f/2,stats/f/3,stats/f/4,stats/f/5,stats/f/6,stats/f/7,stats/f/8
00101,N.01,09,00100,TITI TINGGI,13403,13019,383,1,378,1507,1778,1189,860,743,363,96,30,417,1296,1554,1057,871,758,381,108,17
00102,N.02,09,00100,BESERI,12128,11793,330,5,412,1485,1537,869,759,645,322,75,16,334,1404,1456,845,798,668,343,135,25
00103,N.03,09,00100,CHUPING,14248,14247,0,1,477,1475,1707,1281,906,648,443,92,20,473,1462,1664,1287,865,806,475,142,25
00104,N.04,09,00100,MATA AYER,9662,8182,1478,2,224,1226,1490,751,532,413,223,69,6,238,946,1346,719,569,474,307,101,28
00105,N.05,09,00100,SANTAN,10751,10751,0,0,310,1066,1186,821,735,577,334,118,12,303,987,1246,865,775,754,445,188,29
00206,N.06,09,00200,BINTONG,16366,16365,0,1,573,1919,1805,1246,1039,787,423,122,14,580,1824,1890,1302,1112,970,545,191,24
00207,N.07,09,00200,SENA,15870,15537,332,1,527,1736,1934,1258,981,903,450,122,24,479,1733,1727,1302,1022,964,505,171,32
00208,N.08,09,00200,INDERA KAYANGAN,14465,14463,0,2,368,1436,1609,1149,861,952,498,125,40,416,1378,1619,1136,986,1090,570,193,39
00209,N.09,09,00200,KUALA PERLIS,14717,14690,26,1,485,1602,1782,1267,1034,791,382,90,23,474,1537,1640,1131,1092,839,391,126,31
00210,N.10,09,00200,KAYANG,13441,12782,658,1,398,1517,1737,1019,944,656,332,112,15,382,1418,1541,1039,996,735,424,154,22
00311,N.11,09,00300,PAUH,14797,14424,373,0,478,1645,1796,1162,1035,756,357,129,20,464,1561,1627,1155,1109,814,477,185,27
00312,N.12,09,00300,TAMBUN TULANG,13451,13381,69,1,414,1366,1450,1176,985,707,351,94,18,362,1373,1525,1152,1045,803,419,177,34
