id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
12,KHAIRUDDIN A RAHIM,BERKERJA SENDIRI,37,L,15025,dun,,KLH,2022-02-26T11:51:00.820Z,4,2065,1920,346
187,MOHAMMAD HUZAIR BIN LAJIS,,44,L,15025,dun,,KLH,2022-02-26T11:51:00.820Z,1,5983,1920,346
198,NIZAM BASHIR BIN ABDUL KARIEM BASHIR,,39,L,15025,dun,,HD,2022-02-26T11:51:00.820Z,2,206,1920,346
237,MOHD PUAD ZARKASHI,,1,L,15025,dun,,MNG,2022-02-26T11:51:00.820Z,3,7903,1920,346
39,HJ. ABDUL AZIZ TALIB,,44,L,14615,dun,,MNG,2022-02-26T11:51:31.520Z,4,7559,1037,356
42,RIAD BIN AHMAD,,39,L,14615,dun,,HD,2022-02-26T11:51:31.520Z,5,292,1037,356
45,NOOR FARAH BINTI SHAMSUDIN,,1,P,14615,dun,,KLH,2022-02-26T11:51:31.520Z,2,5861,1037,356
70,NOR HAYATI BACHOK,,50,P,14615,dun,,KLH,2022-02-26T11:51:31.520Z,3,6522,1037,356
76,HANIS ASMUI,,78,L,14615,dun,,HD,2022-02-26T11:51:31.520Z,1,190,1037,356
143,LIM KIM JOO,,20,L,14615,dun,017,HD,2022-02-26T11:51:31.520Z,6,592,1037,356
37,ZALIHAH BINTI JAFFAR,,39,P,15024,dun,,HD,2022-02-26T11:52:20.540Z,5,168,3912,424
217,BAHARUDIN ABDULLAH,,20,L,15024,dun,020,HD,2022-02-26T11:52:20.540Z,2,227,3912,424
226,KHAIRUL FAIZI BIN AHMAD KAMIL,SENDIRI,44,L,15024,dun,,KLH,2022-02-26T11:52:20.540Z,3,5624,3912,424
169,YUSLA ISMAIL,,1,L,15024,dun,,MNG,2022-02-26T11:52:20.540Z,1,9725,3912,424
174,HAMID JAMAH,,50,L,15024,dun,,KLH,2022-02-26T11:52:20.540Z,4,5813,3912,424
153,MOHAMED NOOR BIN SULEIMAN,,91,L,15229,dun,,HD,2022-02-26T11:53:53.590Z,4,555,5166,805
181,MOHAMAD NOR BIN LINGAN,,44,L,15229,dun,,KLH,2022-02-26T11:53:53.590Z,3,7614,5166,805
108,TAQIUDDIN CHEMAN,,50,L,15229,dun,,KLH,2022-02-26T11:53:53.590Z,1,11445,5166,805
101,DATO' SHARIFAH AZIZAH DATO' SYED ZAIN,,1,P,15229,dun,,MNG,2022-02-26T11:53:53.590Z,2,16611,5166,805
190,SURAYA BINTI SULAIMAN,,39,P,14409,dun,,HD,2022-02-26T11:54:33.613Z,1,220,3146,305
147,NAIM JUSRI,,37,L,14409,dun,,KLH,2022-02-26T11:54:33.613Z,3,4509,3146,305
165,SAHRIHAN JANI,,1,L,14409,dun,,MNG,2022-02-26T11:54:33.613Z,2,7960,3146,305
236,MOHD SOLIHAN BIN BADRI,,44,L,14409,dun,,KLH,2022-02-26T11:54:33.613Z,4,4814,3146,305
215,R. SANGARAN,,62,L,15126,dun,,KLH,2022-02-26T11:55:29.993Z,1,3493,6543,425
221,AZLISHAM BIN AZAHAR,,44,L,15126,dun,,KLH,2022-02-26T11:55:29.993Z,2,4486,6543,425
194,DATUK DR SHARUDDIN BIN MD SALLEH,,39,L,15126,dun,,HD,2022-02-26T11:55:29.993Z,4,465,6543,425
120,ONN HAFIZ GHAZI,,1,L,15126,dun,,MNG,2022-02-26T11:55:29.993Z,3,11029,6543,425
139,EE CHIN LI,,50,L,14410,dun,,MNG,2022-02-26T11:56:26.380Z,1,8105,372,326
137,DR. CHONG,,44,L,14410,dun,,KLH,2022-02-26T11:56:26.380Z,4,3092,372,326
142,MUHD AIREL ZABRIDIN,,39,L,14410,dun,,HD,2022-02-26T11:56:26.380Z,3,789,372,326
218,ZAINAL BAHROM BIN A KADIR,,20,L,14410,dun,029,HD,2022-02-26T11:56:26.380Z,5,121,372,326
219,ONG CHEE SIANG,,1,L,14410,dun,,KLH,2022-02-26T11:56:26.380Z,2,7733,372,326
231,VICTOR CHEN HAIN KAI,,91,L,15942,dun,,HD,2022-02-26T11:56:44.900Z,2,1448,1922,1262
74,LIOW CAI TUNG,,50,P,15942,dun,,MNG,2022-02-26T11:56:44.900Z,3,19782,1922,1262
21,DR. KER CHING SHENG,,44,L,15942,dun,,KLH,2022-02-26T11:56:44.900Z,4,8307,1922,1262
25,CHAN SAN SAN,,1,P,15942,dun,,KLH,2022-02-26T11:56:44.900Z,1,17860,1922,1262
131,MOHD FAIZAL ASMAR,,44,L,15738,dun,,KLH,2022-02-26T11:57:53.107Z,2,4904,7505,300
121,NORAZILA SANIP,,50,P,15738,dun,,HD,2022-02-26T11:57:53.107Z,1,693,7505,300
115,RAHMATTULLAH KAMILIN,,39,L,15738,dun,,HD,2022-02-26T11:57:53.107Z,3,521,7505,300
212,FAUZIAH BINTI MISRI,,1,P,15738,dun,,MNG,2022-02-26T11:57:53.107Z,4,12409,7505,300
199,SAMSUDIN BIN ISMAIL,,44,L,16249,dun,,KLH,2022-02-26T11:59:28.820Z,2,12503,4360,1038
195,Sr. HJ DZULKEFLY BIN AHMAD,,50,L,16249,dun,,KLH,2022-02-26T11:59:28.820Z,4,18773,4360,1038
150,DR. HJ. ZAINI BIN HJ. ABU BAKAR,,39,L,16249,dun,,HD,2022-02-26T11:59:28.820Z,3,1308,4360,1038
238,PANDAK BIN AHMAD,,1,L,16249,dun,,MNG,2022-02-26T11:59:28.820Z,1,23133,4360,1038
140,ARA,,79,L,16249,dun,,HD,2022-02-26T11:59:28.820Z,5,997,4360,1038
144,TOK HAMBALI,,20,L,16147,dun,013,HD,2022-02-26T11:59:42.987Z,6,480,3514,392
216,NAPSIAH KHAMIS,,37,P,16147,dun,,KLH,2022-02-26T11:59:42.987Z,4,8405,3514,392
157,RAMLEE BOHANI,,1,L,16147,dun,,MNG,2022-02-26T11:59:42.987Z,1,11919,3514,392
