UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED),,,
P.134_N.01_134/01/UNDI POS_1,MELAKA,POSTAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/UNDI POS,UNDI POS,UNDI POS,1,112,UMNO,ROSLI BIN ABDULLAH,MALE,53,52,PAN,USTAZ JULAS,MALE,52,16,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,20,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,0,,,,,,,,,,,88,14,10,1,1,,,
P.134_N.01_134/01/00_1,MELAKA,EARLY VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/00,UNDI AWAL,BILIK TAKLIMAT BALAI POLIS KUALA SUNGAI BARU,1,15,UMNO,ROSLI BIN ABDULLAH,MALE,53,13,PAN,USTAZ JULAS,MALE,52,0,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,1,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,0,,,,,,,,,,,14,1,0,1,1,,,
P.134_N.01_134/01/01_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,1,222,UMNO,ROSLI BIN ABDULLAH,MALE,53,134,PAN,USTAZ JULAS,MALE,52,37,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,43,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,0,,,,,,,,,,,214,8,0,1,1,,,
P.134_N.01_134/01/01_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,2,259,UMNO,ROSLI BIN ABDULLAH,MALE,53,164,PAN,USTAZ JULAS,MALE,52,44,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,42,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,251,8,0,1,1,,,
P.134_N.01_134/01/01_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,3,367,UMNO,ROSLI BIN ABDULLAH,MALE,53,181,PAN,USTAZ JULAS,MALE,52,51,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,122,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,3,,,,,,,,,,,357,10,0,1,1,,,
P.134_N.01_134/01/01_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/01,TANJUNG DAHAN,SEKOLAH KEBANGSAAN KUALA LINGGI,4,388,UMNO,ROSLI BIN ABDULLAH,MALE,53,208,PAN,USTAZ JULAS,MALE,52,48,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,116,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,8,,,,,,,,,,,380,8,0,1,1,,,
P.134_N.01_134/01/02_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR,SEKOLAH KEBANGSAAN AYER JERNEH,1,243,UMNO,ROSLI BIN ABDULLAH,MALE,53,158,PAN,USTAZ JULAS,MALE,52,40,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,34,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,6,,,,,,,,,,,238,5,0,1,1,,,
P.134_N.01_134/01/02_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR,SEKOLAH KEBANGSAAN AYER JERNEH,2,251,UMNO,ROSLI BIN ABDULLAH,MALE,53,135,PAN,USTAZ JULAS,MALE,52,41,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,67,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,3,,,,,,,,,,,246,5,0,1,1,,,
P.134_N.01_134/01/02_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/02,SUNGAI BARU HILIR,SEKOLAH KEBANGSAAN AYER JERNEH,3,231,UMNO,ROSLI BIN ABDULLAH,MALE,53,146,PAN,USTAZ JULAS,MALE,52,31,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,48,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,226,5,0,1,1,,,
P.134_N.01_134/01/03_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,1,246,UMNO,ROSLI BIN ABDULLAH,MALE,53,145,PAN,USTAZ JULAS,MALE,52,39,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,53,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,239,7,0,1,1,,,
P.134_N.01_134/01/03_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,2,287,UMNO,ROSLI BIN ABDULLAH,MALE,53,150,PAN,USTAZ JULAS,MALE,52,41,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,86,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,278,9,0,1,1,,,
