BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATUK ZULKIFLI TOK KRAWAT,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZ LAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,318,115,167,282,16,20
2,019/01/00,UNDI AWAL,"BILIK A DEWAN TEMENGGONG, IBU PEJABAT POLIS DAERAH TUMPAT",1,90,34,55,89,1,0
3,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),1,144,82,60,142,2,0
3,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),2,212,121,88,209,3,0
3,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),3,357,178,177,355,2,0
3,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),4,316,149,163,312,4,0
3,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),5,295,116,174,290,5,0
3,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),6,366,153,211,364,2,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),1,145,49,95,144,1,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),2,168,67,99,166,2,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),3,237,82,154,236,1,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),4,389,123,263,386,3,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),5,387,124,259,383,4,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),6,388,92,296,388,0,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),7,380,123,256,379,1,0
4,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),8,470,142,327,469,1,0
5,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,1,241,68,172,240,1,0
5,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,2,318,81,236,317,1,0
5,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,3,387,99,286,385,2,0
5,019/01/03,KAMPUNG TEBING,SMU (A) MEHELIAH GETING,4,451,108,339,447,4,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),1,188,41,147,188,0,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),2,274,87,184,271,3,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),3,486,135,346,481,5,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),4,423,113,307,420,3,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),5,417,95,321,416,1,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),6,443,109,332,441,2,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),7,431,93,335,428,3,0
6,019/01/04,KAMPUNG GETING,SEKOLAH KEBANGSAAN GETING (1),8,513,130,381,511,2,0
7,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,1,195,132,61,193,2,0
7,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,2,295,163,129,292,3,0
7,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,3,292,150,140,290,2,0
7,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,4,286,138,144,282,4,0
7,019/01/05,SIMPANGAN,SEKOLAH KEBANGSAAN SIMPANGAN,5,362,183,178,361,1,0
8,019/01/06,TUJOH,MAKTAB RENDAH SAINS MARA TUMPAT,1,267,100,161,261,6,0
