BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) CIKGU NAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ROSDI RAZALI (RR24),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,404,189,166,355,21,28
2,019/02/00,UNDI AWAL,"BILIK B DEWAN TEMENGGONG, IBU PEJABAT POLIS DAERAH TUMPAT",1,222,124,97,221,1,0
3,019/02/01,JUBAKAR PANTAI,SEKOLAH KEBANGSAAN SUNGAI TAPANG,1,275,203,67,270,5,0
3,019/02/01,JUBAKAR PANTAI,SEKOLAH KEBANGSAAN SUNGAI TAPANG,2,313,234,77,311,2,0
3,019/02/01,JUBAKAR PANTAI,SEKOLAH KEBANGSAAN SUNGAI TAPANG,3,375,296,79,375,0,0
3,019/02/01,JUBAKAR PANTAI,SEKOLAH KEBANGSAAN SUNGAI TAPANG,4,314,250,64,314,0,0
3,019/02/01,JUBAKAR PANTAI,SEKOLAH KEBANGSAAN SUNGAI TAPANG,5,337,272,64,336,1,0
3,019/02/01,JUBAKAR PANTAI,SEKOLAH KEBANGSAAN SUNGAI TAPANG,6,397,312,84,396,1,0
4,019/02/02,DALAM RHU,SEKOLAH KEBANGSAAN TUMPAT,1,230,161,62,223,7,0
4,019/02/02,DALAM RHU,SEKOLAH KEBANGSAAN TUMPAT,2,262,194,68,262,0,0
4,019/02/02,DALAM RHU,SEKOLAH KEBANGSAAN TUMPAT,3,359,285,73,358,1,0
4,019/02/02,DALAM RHU,SEKOLAH KEBANGSAAN TUMPAT,4,298,238,59,297,0,1
4,019/02/02,DALAM RHU,SEKOLAH KEBANGSAAN TUMPAT,5,279,222,56,278,1,0
4,019/02/02,DALAM RHU,SEKOLAH KEBANGSAAN TUMPAT,6,365,297,67,364,1,0
5,019/02/03,BANDAR TUMPAT,SEKOLAH KEBANGSAAN TUMPAT (1),1,208,104,99,203,5,0
5,019/02/03,BANDAR TUMPAT,SEKOLAH KEBANGSAAN TUMPAT (1),2,263,145,118,263,0,0
5,019/02/03,BANDAR TUMPAT,SEKOLAH KEBANGSAAN TUMPAT (1),3,353,215,129,344,9,0
5,019/02/03,BANDAR TUMPAT,SEKOLAH KEBANGSAAN TUMPAT (1),4,293,200,93,293,0,0
5,019/02/03,BANDAR TUMPAT,SEKOLAH KEBANGSAAN TUMPAT (1),5,384,268,115,383,1,0
6,019/02/04,TANJONG KUALA,SEKOLAH KEBANGSAAN SRI TUMPAT (2),1,240,143,94,237,3,0
6,019/02/04,TANJONG KUALA,SEKOLAH KEBANGSAAN SRI TUMPAT (2),2,330,201,125,326,4,0
6,019/02/04,TANJONG KUALA,SEKOLAH KEBANGSAAN SRI TUMPAT (2),3,268,184,82,266,2,0
6,019/02/04,TANJONG KUALA,SEKOLAH KEBANGSAAN SRI TUMPAT (2),4,354,233,117,350,4,0
