BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ZAMAKH SARI HJ. HIM,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' USTAZ MAD,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,433,104,247,351,29,53
2,019/03/00,UNDI AWAL,BILIK A KANTIN IBU PEJABAT POLIS DAERAH TUMPAT,1,13,3,10,13,0,0
3,019/03/01,KAMPUNG BENDANG PULAU,SEKOLAH KEBANGSAAN KAMPONG LAUT,1,326,75,248,323,3,0
3,019/03/01,KAMPUNG BENDANG PULAU,SEKOLAH KEBANGSAAN KAMPONG LAUT,2,397,59,335,394,3,0
3,019/03/01,KAMPUNG BENDANG PULAU,SEKOLAH KEBANGSAAN KAMPONG LAUT,3,380,58,322,380,0,0
4,019/03/02,KAMPUNG LAUT,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,1,306,124,180,304,2,0
4,019/03/02,KAMPUNG LAUT,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,2,318,108,210,318,0,0
4,019/03/02,KAMPUNG LAUT,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,3,393,92,300,392,1,0
4,019/03/02,KAMPUNG LAUT,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,4,329,83,246,329,0,0
4,019/03/02,KAMPUNG LAUT,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,5,353,95,257,352,1,0
4,019/03/02,KAMPUNG LAUT,SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,6,438,120,316,436,2,0
5,019/03/03,KOK PASIR,SEKOLAH KEBANGSAAN KOK PASIR,1,317,74,240,314,3,0
5,019/03/03,KOK PASIR,SEKOLAH KEBANGSAAN KOK PASIR,2,330,77,252,329,1,0
5,019/03/03,KOK PASIR,SEKOLAH KEBANGSAAN KOK PASIR,3,437,80,354,434,3,0
5,019/03/03,KOK PASIR,SEKOLAH KEBANGSAAN KOK PASIR,4,356,56,299,355,1,0
5,019/03/03,KOK PASIR,SEKOLAH KEBANGSAAN KOK PASIR,5,374,64,308,372,2,0
5,019/03/03,KOK PASIR,SEKOLAH KEBANGSAAN KOK PASIR,6,467,78,388,466,1,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,1,316,103,209,312,4,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,2,342,95,246,341,1,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,3,403,82,318,400,3,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,4,336,62,272,334,2,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,5,327,62,263,325,2,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,6,352,94,256,350,2,0
6,019/03/04,MORAK,SEKOLAH KEBANGSAAN MORAK,7,438,111,325,436,2,0
7,019/03/05,PALEKBANG,SEKOLAH KEBANGSAAN PALEKBANG,1,312,109,200,309,3,0
7,019/03/05,PALEKBANG,SEKOLAH KEBANGSAAN PALEKBANG,2,330,87,242,329,1,0
7,019/03/05,PALEKBANG,SEKOLAH KEBANGSAAN PALEKBANG,3,274,49,224,273,1,0
7,019/03/05,PALEKBANG,SEKOLAH KEBANGSAAN PALEKBANG,4,341,76,264,340,1,0
8,019/03/06,PASIR PEKAN HILIR,SEKOLAH KEBANGSAAN PADANG POHON TANJUNG,1,332,110,220,330,2,0
8,019/03/06,PASIR PEKAN HILIR,SEKOLAH KEBANGSAAN PADANG POHON TANJUNG,2,378,82,293,375,3,0
8,019/03/06,PASIR PEKAN HILIR,SEKOLAH KEBANGSAAN PADANG POHON TANJUNG,3,327,60,265,325,2,0
8,019/03/06,PASIR PEKAN HILIR,SEKOLAH KEBANGSAAN PADANG POHON TANJUNG,4,377,99,277,376,1,0
