BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE NAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) HJ MOHD RUSLI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,429,151,211,362,30,37
2,019/04/00,UNDI AWAL,BILIK B KANTIN IBU PEJABAT POLIS DAERAH TUMPAT,1,38,5,31,36,2,0
3,019/04/01,KAMPUNG PASIR PUTEH,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,1,263,135,126,261,2,0
3,019/04/01,KAMPUNG PASIR PUTEH,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,2,344,135,206,341,3,0
3,019/04/01,KAMPUNG PASIR PUTEH,SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,3,350,130,219,349,1,0
4,019/04/02,CHERANG MELINTANG,SEKOLAH KEBANGSAAN TELUK JERING,3,313,77,233,310,3,0
4,019/04/02,CHERANG MELINTANG,SEKOLAH KEBANGSAAN TELUK JERING,4,452,91,356,447,5,0
5,019/04/03,KAMPUNG TOK OH,SEKOLAH KEBANGSAAN PADANG MANDOL,1,293,130,162,292,1,0
5,019/04/03,KAMPUNG TOK OH,SEKOLAH KEBANGSAAN PADANG MANDOL,2,338,134,202,336,2,0
5,019/04/03,KAMPUNG TOK OH,SEKOLAH KEBANGSAAN PADANG MANDOL,3,342,108,231,339,3,0
6,019/04/04,KAMPUNG PERIOK,SMU (A) TARBIAH ISLAMIAH CHABANG EMPAT,1,293,113,178,291,2,0
6,019/04/04,KAMPUNG PERIOK,SMU (A) TARBIAH ISLAMIAH CHABANG EMPAT,2,323,100,220,320,3,0
6,019/04/04,KAMPUNG PERIOK,SMU (A) TARBIAH ISLAMIAH CHABANG EMPAT,3,345,97,243,340,5,0
6,019/04/04,KAMPUNG PERIOK,SMU (A) TARBIAH ISLAMIAH CHABANG EMPAT,4,345,106,236,342,3,0
6,019/04/04,KAMPUNG PERIOK,SMU (A) TARBIAH ISLAMIAH CHABANG EMPAT,5,400,140,260,400,0,0
7,019/04/05,BUNUT SARANG BURONG,SMU (A) TARBIAH DINIAH BUNUT SARANG BURUNG,1,310,68,235,303,7,0
7,019/04/05,BUNUT SARANG BURONG,SMU (A) TARBIAH DINIAH BUNUT SARANG BURUNG,2,406,92,309,401,5,0
