BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) NIK NORMI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) NIK BAHRUM,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) TOK GAWA HJ. HIM / ABE LI TOK GAWA,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,1306,367,830,9,1206,73,27
2,020/06/00,UNDI AWAL,DEWAN TAN SRI HAMID BIDIN KEM PENGKALAN CHEPA,1,59,16,43,0,59,0,0
2,020/06/00,UNDI AWAL,DEWAN TAN SRI HAMID BIDIN KEM PENGKALAN CHEPA,2,51,9,41,1,51,0,0
2,020/06/00,UNDI AWAL,DEWAN TAN SRI HAMID BIDIN KEM PENGKALAN CHEPA,3,326,70,246,7,323,3,0
3,020/06/01,SABAK,SEKOLAH KEBANGSAAN SABAK,1,284,85,165,24,274,10,0
3,020/06/01,SABAK,SEKOLAH KEBANGSAAN SABAK,2,352,100,236,13,349,3,0
3,020/06/01,SABAK,SEKOLAH KEBANGSAAN SABAK,3,310,90,211,6,307,3,0
3,020/06/01,SABAK,SEKOLAH KEBANGSAAN SABAK,4,341,117,211,12,340,1,0
4,020/06/02,TEBING TINGGI,SEKOLAH KEBANGSAAN PARANG PUTING,1,311,83,218,7,308,3,0
4,020/06/02,TEBING TINGGI,SEKOLAH KEBANGSAAN PARANG PUTING,2,443,114,324,4,442,1,0
4,020/06/02,TEBING TINGGI,SEKOLAH KEBANGSAAN PARANG PUTING,3,454,119,326,4,449,5,0
5,020/06/03,TELOK KITANG,SEKOLAH KEBANGSAAN PARANG PUTING,4,337,62,272,0,334,3,0
5,020/06/03,TELOK KITANG,SEKOLAH KEBANGSAAN PARANG PUTING,5,302,59,240,2,301,1,0
5,020/06/03,TELOK KITANG,SEKOLAH KEBANGSAAN PARANG PUTING,6,339,83,255,0,338,1,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,1,301,78,219,3,300,1,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,2,347,97,246,2,345,2,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,3,432,111,316,2,429,3,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,4,388,91,294,1,386,2,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,5,358,71,284,1,356,2,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,6,358,73,273,7,353,5,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,7,377,103,269,4,376,1,0
6,020/06/04,KAMPUNG PULAU PANJANG,SEKOLAH KEBANGSAAN KEM,8,469,98,367,4,469,0,0
7,020/06/05,TANJONG BAHARU,SEKOLAH MENENGAH KEBANGSAAN BADANG,1,322,86,232,1,319,3,0
7,020/06/05,TANJONG BAHARU,SEKOLAH MENENGAH KEBANGSAAN BADANG,2,416,93,317,1,411,5,0
7,020/06/05,TANJONG BAHARU,SEKOLAH MENENGAH KEBANGSAAN BADANG,3,414,87,321,3,411,3,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,1,316,67,242,4,313,3,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,2,346,75,267,0,342,4,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,3,454,88,357,5,450,4,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,4,395,68,324,1,393,2,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,5,363,63,292,6,361,2,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,6,402,84,311,3,398,4,0
8,020/06/06,CHE DERIS,SEKOLAH KEBANGSAAN CHE DERIS,7,481,108,368,4,480,1,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,1,275,71,200,2,273,2,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,2,348,92,250,3,345,3,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,3,469,107,359,1,467,2,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,4,391,71,316,1,388,3,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,5,370,69,294,5,368,2,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,6,379,101,274,3,378,1,0
9,020/06/07,BAUNG,SEKOLAH MENENGAH KEBANGSAAN PENGKALAN CHEPA,7,470,144,321,5,470,0,0
10,020/06/08,PENGKALAN NANGKA,SEKOLAH MENENGAH AGAMA TENGKU AMALIN A'ISHAH PUTRI,1,326,96,227,3,326,0,0
10,020/06/08,PENGKALAN NANGKA,SEKOLAH MENENGAH AGAMA TENGKU AMALIN A'ISHAH PUTRI,2,285,65,218,1,284,1,0
10,020/06/08,PENGKALAN NANGKA,SEKOLAH MENENGAH AGAMA TENGKU AMALIN A'ISHAH PUTRI,3,320,102,210,5,317,3,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,1,292,86,199,3,288,4,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,2,345,105,237,3,345,0,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,3,560,155,402,3,560,0,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,4,439,99,337,2,438,1,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,5,390,68,317,0,385,4,1
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,6,401,82,311,6,399,2,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,7,417,109,304,3,416,1,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,8,478,130,343,4,477,1,0
11,020/06/09,CHEMPAKA,SEKOLAH KEBANGSAAN SERI CHEMPAKA,9,550,129,413,5,547,3,0
12,020/06/10,SIMPANG TIGA PENGKALAN CHEPA,KOLEJ VOKASIONAL PENGKALAN CHEPA,1,275,88,183,3,274,1,0
12,020/06/10,SIMPANG TIGA PENGKALAN CHEPA,KOLEJ VOKASIONAL PENGKALAN CHEPA,2,334,81,248,4,333,1,0
12,020/06/10,SIMPANG TIGA PENGKALAN CHEPA,KOLEJ VOKASIONAL PENGKALAN CHEPA,3,283,75,205,3,283,0,0
12,020/06/10,SIMPANG TIGA PENGKALAN CHEPA,KOLEJ VOKASIONAL PENGKALAN CHEPA,4,284,80,201,3,284,0,0
12,020/06/10,SIMPANG TIGA PENGKALAN CHEPA,KOLEJ VOKASIONAL PENGKALAN CHEPA,5,379,112,260,6,378,1,0
13,020/06/11,PULAU GAJAH,SEKOLAH KEBANGSAAN PULAU GAJAH,1,336,68,260,6,334,2,0
13,020/06/11,PULAU GAJAH,SEKOLAH KEBANGSAAN PULAU GAJAH,2,364,67,292,2,361,3,0
13,020/06/11,PULAU GAJAH,SEKOLAH KEBANGSAAN PULAU GAJAH,3,371,56,313,2,371,0,0
13,020/06/11,PULAU GAJAH,SEKOLAH KEBANGSAAN PULAU GAJAH,4,406,81,317,6,404,2,0
JUMLAH,,,,60,22691,5504,16728,234,22466,197,28
