BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' NIK AMAR,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) SYED MOHD ALIDUSTUR BIN SYED MOHD ZAIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,940,505,241,746,90,104
2,020/07/00,UNDI AWAL,"BILIK A DEWAN SRI SEBELAS BN 8 PGA, KEM PENGKALAN CHEPA",1,471,231,236,467,4,0
2,020/07/00,UNDI AWAL,"BILIK B & C DEWAN SRI SEBELAS BN 8 PGA, KEM PENGKALAN CHEPA",1,129,82,44,126,3,0
2,020/07/00,UNDI AWAL,"BILIK B & C DEWAN SRI SEBELAS BN 8 PGA, KEM PENGKALAN CHEPA",2,172,113,51,164,8,0
3,020/07/01,TAMAN KEMUMIN,SEKOLAH KEBANGSAAN DATU' HASHIM,1,274,167,106,273,1,0
3,020/07/01,TAMAN KEMUMIN,SEKOLAH KEBANGSAAN DATU' HASHIM,2,283,196,85,281,2,0
3,020/07/01,TAMAN KEMUMIN,SEKOLAH KEBANGSAAN DATU' HASHIM,3,392,284,106,390,2,0
3,020/07/01,TAMAN KEMUMIN,SEKOLAH KEBANGSAAN DATU' HASHIM,4,373,255,116,371,2,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,1,277,207,67,274,3,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,2,333,236,92,328,5,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,3,422,312,108,420,2,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,4,364,258,106,364,0,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,5,377,252,122,374,3,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,6,458,274,181,455,3,0
4,020/07/02,TAPANG,SEKOLAH KEBANGSAAN TAPANG,7,529,313,215,528,1,0
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,1,283,206,72,278,5,0
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,2,332,244,86,330,2,0
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,3,369,275,94,369,0,0
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,4,308,214,90,304,4,0
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,5,314,231,81,312,1,1
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,6,337,217,116,333,4,0
5,020/07/03,KEMUMIN,SEKOLAH KEBANGSAAN KEMUMIN,7,461,321,137,458,3,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,1,293,220,72,292,1,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,2,339,244,92,336,3,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,3,447,343,101,444,3,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,4,372,290,80,370,2,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,5,360,266,90,356,4,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,6,383,270,111,381,2,0
6,020/07/04,PANCHOR,SEKOLAH KEBANGSAAN PANJI,7,454,327,122,449,4,1
7,020/07/05,SERING,SEKOLAH KEBANGSAAN SERING,1,332,220,106,326,6,0
7,020/07/05,SERING,SEKOLAH KEBANGSAAN SERING,2,456,305,144,449,6,1
7,020/07/05,SERING,SEKOLAH KEBANGSAAN SERING,3,408,307,99,406,2,0
7,020/07/05,SERING,SEKOLAH KEBANGSAAN SERING,4,387,287,96,383,3,1
7,020/07/05,SERING,SEKOLAH KEBANGSAAN SERING,5,459,312,142,454,5,0
8,020/07/06,PASIR KASAR,SEKOLAH MENENGAH KEBANGSAAN SERING,1,353,247,103,350,3,0
8,020/07/06,PASIR KASAR,SEKOLAH MENENGAH KEBANGSAAN SERING,2,379,286,92,378,1,0
8,020/07/06,PASIR KASAR,SEKOLAH MENENGAH KEBANGSAAN SERING,3,345,278,62,340,5,0
8,020/07/06,PASIR KASAR,SEKOLAH MENENGAH KEBANGSAAN SERING,4,426,324,101,425,1,0
9,020/07/07,PULAU BELANGA,SEKOLAH KEBANGSAAN CHICHA MENYABONG,1,330,253,73,326,4,0
9,020/07/07,PULAU BELANGA,SEKOLAH KEBANGSAAN CHICHA MENYABONG,2,358,272,82,354,4,0
9,020/07/07,PULAU BELANGA,SEKOLAH KEBANGSAAN CHICHA MENYABONG,3,406,342,61,403,3,0
9,020/07/07,PULAU BELANGA,SEKOLAH KEBANGSAAN CHICHA MENYABONG,4,386,300,83,383,3,0
9,020/07/07,PULAU BELANGA,SEKOLAH KEBANGSAAN CHICHA MENYABONG,5,443,347,95,442,1,0
