BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) KAK ANI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ZINDA KHALIL,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,521,262,159,421,38,62
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,1,242,147,94,241,1,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,2,301,180,120,300,1,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,3,414,284,127,411,3,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,4,352,229,123,352,0,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,5,313,213,98,311,2,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,6,313,206,103,309,4,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,7,295,194,100,294,1,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,8,342,210,129,339,3,0
2,021/08/01,WAKAF MEK ZAINAB,SEKOLAH KEBANGSAAN TENGKU INDERA PETRA,9,426,283,142,425,1,0
3,021/08/02,TANJONG CHAT,SEKOLAH KEBANGSAAN PADANG GARONG 2,1,278,159,119,278,0,0
3,021/08/02,TANJONG CHAT,SEKOLAH KEBANGSAAN PADANG GARONG 2,2,251,136,115,251,0,0
3,021/08/02,TANJONG CHAT,SEKOLAH KEBANGSAAN PADANG GARONG 2,3,251,144,107,251,0,0
4,021/08/03,SUNGAI KELADI,SEKOLAH MENENGAH KEBANGSAAN PUTERA,1,302,226,74,300,2,0
4,021/08/03,SUNGAI KELADI,SEKOLAH MENENGAH KEBANGSAAN PUTERA,2,324,239,85,324,0,0
4,021/08/03,SUNGAI KELADI,SEKOLAH MENENGAH KEBANGSAAN PUTERA,3,290,238,51,289,1,0
4,021/08/03,SUNGAI KELADI,SEKOLAH MENENGAH KEBANGSAAN PUTERA,4,356,238,117,355,1,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,1,271,167,97,264,7,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,2,322,196,126,322,0,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,3,440,314,126,440,0,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,4,346,222,124,346,0,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,5,321,222,97,319,2,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,6,352,234,117,351,1,0
5,021/08/04,KOK PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJUNG MAS,7,452,315,135,450,2,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,1,223,143,78,221,2,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,2,309,170,138,308,1,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,3,307,192,114,306,1,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,4,395,257,137,394,1,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,5,347,234,113,347,0,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,6,330,227,103,330,0,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,7,311,211,100,311,0,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,8,324,198,126,324,0,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,9,368,234,134,368,0,0
6,021/08/05,KHATIB ALI,SEKOLAH MENENGAH KEBANGSAAN DATO' AHMAD MAHER,10,449,285,161,446,3,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,1,238,167,70,237,1,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,2,333,205,128,333,0,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,3,334,243,91,334,0,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,4,466,329,136,465,1,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,5,358,265,93,358,0,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,6,353,251,100,351,2,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,7,361,242,118,360,1,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,8,377,239,136,375,2,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,9,430,279,149,428,2,0
7,021/08/06,TANJONG MAS,MAAHAD MUHAMMADI (L) KOTA BHARU,10,514,349,163,512,2,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),1,263,165,96,261,2,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),2,330,191,138,329,1,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),3,452,290,158,448,4,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),4,389,296,92,388,1,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),5,350,260,86,346,4,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),6,349,243,105,348,1,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),7,352,241,110,351,1,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),8,334,225,105,330,4,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),9,363,224,139,363,0,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),10,367,245,120,365,2,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),11,400,268,130,398,2,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),12,437,262,174,436,1,0
8,021/08/07,CHERANG,SEKOLAH KEBANGSAAN SULTAN ISMAIL (4),13,489,330,158,488,1,0
9,021/08/08,KAMPUNG BAYAM,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),1,273,181,89,270,3,0
9,021/08/08,KAMPUNG BAYAM,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),2,322,214,103,317,5,0
9,021/08/08,KAMPUNG BAYAM,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),3,469,343,124,467,2,0
9,021/08/08,KAMPUNG BAYAM,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),4,374,262,110,372,2,0
9,021/08/08,KAMPUNG BAYAM,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),5,382,277,105,382,0,0
9,021/08/08,KAMPUNG BAYAM,SEKOLAH KEBANGSAAN SULTAN ISMAIL (2),6,447,318,129,447,0,0
10,021/08/09,LANGGAR,SEKOLAH KEBANGSAAN LANGGAR,1,250,139,106,245,5,0
10,021/08/09,LANGGAR,SEKOLAH KEBANGSAAN LANGGAR,2,303,176,126,302,1,0
10,021/08/09,LANGGAR,SEKOLAH KEBANGSAAN LANGGAR,3,467,320,147,467,0,0
10,021/08/09,LANGGAR,SEKOLAH KEBANGSAAN LANGGAR,4,360,244,116,360,0,0
10,021/08/09,LANGGAR,SEKOLAH KEBANGSAAN LANGGAR,5,359,245,113,358,1,0
10,021/08/09,LANGGAR,SEKOLAH KEBANGSAAN LANGGAR,6,408,262,146,408,0,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,1,284,167,113,280,4,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,2,309,187,122,309,0,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,3,305,217,87,304,1,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,4,271,189,80,269,2,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,5,294,175,116,291,3,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,6,324,192,131,323,1,0
11,021/08/10,PAYA BEMBAN,SEKOLAH KEBANGSAAN ISLAH,7,394,203,189,392,2,0
JUMLAH,,,,76,26672,17529,8936,26465,145,62
