BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DR HAFIDZAH,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) IZAT BUKHARY,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ANDY TAN @ AWANG,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' ZAMRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,262,87,2,0,122,211,25,26
2,021/09/00,UNDI AWAL,TASKA IBU PEJABAT POLIS KONTINJEN KELANTAN,1,401,156,1,0,240,397,4,0
2,021/09/00,UNDI AWAL,TASKA IBU PEJABAT POLIS KONTINJEN KELANTAN,2,428,137,3,1,285,426,2,0
3,021/09/01,KUBANG PASU,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,1,229,124,1,8,92,225,4,0
3,021/09/01,KUBANG PASU,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,2,326,180,1,2,139,322,4,0
3,021/09/01,KUBANG PASU,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,3,344,152,2,1,184,339,5,0
3,021/09/01,KUBANG PASU,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,4,295,120,1,0,172,293,2,0
3,021/09/01,KUBANG PASU,SEKOLAH MENENGAH KEBANGSAAN ZAINAB 2,5,297,116,0,0,180,296,1,0
4,021/09/02,KELOCHOR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,1,303,203,2,4,90,299,4,0
4,021/09/02,KELOCHOR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,2,327,215,0,1,108,324,3,0
4,021/09/02,KELOCHOR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,3,319,167,0,3,143,313,6,0
4,021/09/02,KELOCHOR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,4,290,131,1,2,153,287,3,0
4,021/09/02,KELOCHOR,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,5,279,137,0,3,137,277,2,0
5,021/09/03,KEBUN SULTAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,1,247,176,0,4,64,244,3,0
5,021/09/03,KEBUN SULTAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,2,327,221,5,1,99,326,1,0
5,021/09/03,KEBUN SULTAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,3,388,217,2,2,165,386,2,0
5,021/09/03,KEBUN SULTAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,4,316,167,1,0,147,315,1,0
5,021/09/03,KEBUN SULTAN,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,5,312,130,2,1,175,308,4,0
6,021/09/04,MERBAU,SEKOLAH KEBANGSAAN MERBAU,1,239,176,3,5,52,236,3,0
6,021/09/04,MERBAU,SEKOLAH KEBANGSAAN MERBAU,2,285,194,2,2,80,278,7,0
6,021/09/04,MERBAU,SEKOLAH KEBANGSAAN MERBAU,3,315,196,1,2,116,315,0,0
6,021/09/04,MERBAU,SEKOLAH KEBANGSAAN MERBAU,4,441,218,2,2,218,440,1,0
6,021/09/04,MERBAU,SEKOLAH KEBANGSAAN MERBAU,5,425,174,3,1,246,424,1,0
7,021/09/05,ATAS BANGGOL,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,1,255,149,1,1,98,249,6,0
7,021/09/05,ATAS BANGGOL,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,2,320,154,5,3,155,317,3,0
7,021/09/05,ATAS BANGGOL,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,3,305,130,0,0,173,303,2,0
7,021/09/05,ATAS BANGGOL,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,4,315,108,2,0,203,313,2,0
8,021/09/06,JALAN PEJABAT POS LAMA,MAAHAD MUHAMMADI (P) KOTA BHARU,1,164,121,2,4,35,162,2,0
8,021/09/06,JALAN PEJABAT POS LAMA,MAAHAD MUHAMMADI (P) KOTA BHARU,2,246,196,1,4,44,245,1,0
8,021/09/06,JALAN PEJABAT POS LAMA,MAAHAD MUHAMMADI (P) KOTA BHARU,3,259,168,1,3,87,259,0,0
8,021/09/06,JALAN PEJABAT POS LAMA,MAAHAD MUHAMMADI (P) KOTA BHARU,4,270,132,4,2,131,269,1,0
9,021/09/07,BANDAR,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG CHENG,1,164,143,4,5,9,161,3,0
9,021/09/07,BANDAR,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG CHENG,2,272,239,0,4,27,270,2,0
9,021/09/07,BANDAR,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG CHENG,3,298,251,1,4,41,297,1,0
9,021/09/07,BANDAR,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG CHENG,4,359,267,2,6,82,357,2,0
9,021/09/07,BANDAR,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG CHENG,5,288,178,1,1,106,286,2,0
10,021/09/08,PADANG GARONG,SEKOLAH KEBANGSAAN PADANG GARONG 1,1,200,131,0,2,65,198,2,0
10,021/09/08,PADANG GARONG,SEKOLAH KEBANGSAAN PADANG GARONG 1,2,286,177,1,3,104,285,1,0
10,021/09/08,PADANG GARONG,SEKOLAH KEBANGSAAN PADANG GARONG 1,3,297,167,0,2,125,294,3,0
10,021/09/08,PADANG GARONG,SEKOLAH KEBANGSAAN PADANG GARONG 1,4,301,148,0,3,148,299,2,0
10,021/09/08,PADANG GARONG,SEKOLAH KEBANGSAAN PADANG GARONG 1,5,241,107,0,1,132,240,1,0
10,021/09/08,PADANG GARONG,SEKOLAH KEBANGSAAN PADANG GARONG 1,6,268,112,1,0,155,268,0,0
11,021/09/09,KOTA LAMA,KOLEJ POLY-TECH MARA KOTA BHARU,1,268,114,2,4,143,263,5,0
11,021/09/09,KOTA LAMA,KOLEJ POLY-TECH MARA KOTA BHARU,2,294,115,1,1,173,290,4,0
11,021/09/09,KOTA LAMA,KOLEJ POLY-TECH MARA KOTA BHARU,3,325,125,4,0,190,319,6,0
11,021/09/09,KOTA LAMA,KOLEJ POLY-TECH MARA KOTA BHARU,4,286,67,0,1,214,282,4,0
11,021/09/09,KOTA LAMA,KOLEJ POLY-TECH MARA KOTA BHARU,5,328,110,0,2,216,328,0,0
12,021/09/10,ISLAH LAMA,SEKOLAH KEBANGSAAN SRI BEMBAN,1,255,115,1,1,134,251,4,0
12,021/09/10,ISLAH LAMA,SEKOLAH KEBANGSAAN SRI BEMBAN,2,328,160,0,0,165,325,3,0
12,021/09/10,ISLAH LAMA,SEKOLAH KEBANGSAAN SRI BEMBAN,3,315,110,0,0,204,314,1,0
12,021/09/10,ISLAH LAMA,SEKOLAH KEBANGSAAN SRI BEMBAN,4,264,96,0,0,166,262,2,0
12,021/09/10,ISLAH LAMA,SEKOLAH KEBANGSAAN SRI BEMBAN,5,317,141,1,0,174,316,1,0
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,7,244,99,2,4,137,242,2,0
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,8,310,136,0,1,170,307,3,0
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,9,387,146,2,1,234,383,3,1
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,10,348,120,1,1,220,342,6,0
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,11,274,89,2,1,182,274,0,0
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,12,303,92,4,0,207,303,0,0
13,021/09/11,KAMPUNG DUSUN,SEKOLAH KEBANGSAAN PADANG GARONG 1,13,366,116,2,0,246,364,2,0
14,021/09/12,KUBOR KUDA,SEKOLAH KEBANGSAAN KAMPUNG SIREH,1,196,107,0,4,83,194,2,0
14,021/09/12,KUBOR KUDA,SEKOLAH KEBANGSAAN KAMPUNG SIREH,2,285,155,0,4,122,281,4,0
14,021/09/12,KUBOR KUDA,SEKOLAH KEBANGSAAN KAMPUNG SIREH,3,305,161,1,2,137,301,4,0
14,021/09/12,KUBOR KUDA,SEKOLAH KEBANGSAAN KAMPUNG SIREH,4,396,169,1,1,222,393,3,0
14,021/09/12,KUBOR KUDA,SEKOLAH KEBANGSAAN KAMPUNG SIREH,5,342,137,0,3,198,338,4,0
14,021/09/12,KUBOR KUDA,SEKOLAH KEBANGSAAN KAMPUNG SIREH,6,371,139,0,2,225,366,5,0
JUMLAH,,,,65,19610,9691,85,126,9489,19391,192,27
