BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATUK MOHAMED HASNAN BIN CHE HUSSIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) SHAARI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,434,166,188,354,25,55
2,021/10/01,KG SIREH BAWAH LEMBAH,TADIKA TENGKU ANIS 1,1,261,104,156,260,1,0
2,021/10/01,KG SIREH BAWAH LEMBAH,TADIKA TENGKU ANIS 1,2,318,142,174,316,2,0
2,021/10/01,KG SIREH BAWAH LEMBAH,TADIKA TENGKU ANIS 1,3,466,158,306,464,2,0
2,021/10/01,KG SIREH BAWAH LEMBAH,TADIKA TENGKU ANIS 1,4,367,105,262,367,0,0
2,021/10/01,KG SIREH BAWAH LEMBAH,TADIKA TENGKU ANIS 1,5,416,121,294,415,1,0
2,021/10/01,KG SIREH BAWAH LEMBAH,TADIKA TENGKU ANIS 1,6,433,147,284,431,2,0
3,021/10/02,WAKAF SIKU,SEKOLAH MENENGAH KEBANGSAAN AGAMA NAIM LIL-BANAT,1,229,130,98,228,1,0
3,021/10/02,WAKAF SIKU,SEKOLAH MENENGAH KEBANGSAAN AGAMA NAIM LIL-BANAT,2,277,155,122,277,0,0
3,021/10/02,WAKAF SIKU,SEKOLAH MENENGAH KEBANGSAAN AGAMA NAIM LIL-BANAT,3,300,155,145,300,0,0
4,021/10/03,JALAN RAJA DEWA,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,1,237,115,121,236,1,0
4,021/10/03,JALAN RAJA DEWA,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,2,298,132,166,298,0,0
4,021/10/03,JALAN RAJA DEWA,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,3,349,126,220,346,3,0
4,021/10/03,JALAN RAJA DEWA,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,4,325,121,203,324,1,0
4,021/10/03,JALAN RAJA DEWA,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,5,357,157,197,354,2,1
5,021/10/04,TELIPOT,MAKTAB SULTAN ISMAIL,1,225,121,102,223,2,0
5,021/10/04,TELIPOT,MAKTAB SULTAN ISMAIL,2,285,161,124,285,0,0
5,021/10/04,TELIPOT,MAKTAB SULTAN ISMAIL,3,326,141,183,324,2,0
5,021/10/04,TELIPOT,MAKTAB SULTAN ISMAIL,4,239,75,162,237,2,0
5,021/10/04,TELIPOT,MAKTAB SULTAN ISMAIL,5,262,119,143,262,0,0
5,021/10/04,TELIPOT,MAKTAB SULTAN ISMAIL,6,340,183,157,340,0,0
6,021/10/05,KAMPUNG BELUKAR,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),1,284,115,168,283,1,0
6,021/10/05,KAMPUNG BELUKAR,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),2,327,132,194,326,1,0
6,021/10/05,KAMPUNG BELUKAR,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),3,392,131,261,392,0,0
6,021/10/05,KAMPUNG BELUKAR,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),4,366,142,222,364,2,0
6,021/10/05,KAMPUNG BELUKAR,SEKOLAH MENENGAH KEBANGSAAN ZAINAB (1),5,437,192,244,436,1,0
