BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) TOK NAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ROZI MUHAMAD,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE HARIRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,345,24,146,90,260,60,25
2,022/11/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BUNUT SUSU,1,13,1,2,10,13,0,0
3,022/11/01,PANGKAL KALA,SEKOLAH KEBANGSAAN PANGKAL KALA,1,252,3,132,116,251,1,0
3,022/11/01,PANGKAL KALA,SEKOLAH KEBANGSAAN PANGKAL KALA,2,302,8,177,114,299,3,0
3,022/11/01,PANGKAL KALA,SEKOLAH KEBANGSAAN PANGKAL KALA,3,318,8,201,107,316,2,0
3,022/11/01,PANGKAL KALA,SEKOLAH KEBANGSAAN PANGKAL KALA,4,310,5,206,98,309,1,0
3,022/11/01,PANGKAL KALA,SEKOLAH KEBANGSAAN PANGKAL KALA,5,368,11,241,116,368,0,0
4,022/11/02,BECHAH SEMAK,SEKOLAH KEBANGSAAN PENGGU,1,291,10,176,98,284,7,0
4,022/11/02,BECHAH SEMAK,SEKOLAH KEBANGSAAN PENGGU,2,333,16,211,103,330,3,0
4,022/11/02,BECHAH SEMAK,SEKOLAH KEBANGSAAN PENGGU,3,452,13,293,140,446,6,0
4,022/11/02,BECHAH SEMAK,SEKOLAH KEBANGSAAN PENGGU,4,347,11,231,105,347,0,0
4,022/11/02,BECHAH SEMAK,SEKOLAH KEBANGSAAN PENGGU,5,405,22,262,120,404,1,0
5,022/11/03,TELIAR,SEKOLAH MENENGAH KEBANGSAAN BUNUT SUSU,1,294,1,131,160,292,2,0
5,022/11/03,TELIAR,SEKOLAH MENENGAH KEBANGSAAN BUNUT SUSU,2,335,0,171,162,333,2,0
5,022/11/03,TELIAR,SEKOLAH MENENGAH KEBANGSAAN BUNUT SUSU,3,393,4,236,151,391,2,0
5,022/11/03,TELIAR,SEKOLAH MENENGAH KEBANGSAAN BUNUT SUSU,4,442,5,263,170,438,4,0
6,022/11/04,BECHAH MENERONG,SEKOLAH KEBANGSAAN BUNUT SUSU,1,304,4,171,126,301,3,0
6,022/11/04,BECHAH MENERONG,SEKOLAH KEBANGSAAN BUNUT SUSU,2,364,15,228,117,360,4,0
6,022/11/04,BECHAH MENERONG,SEKOLAH KEBANGSAAN BUNUT SUSU,3,335,10,211,107,328,7,0
7,022/11/05,BUNUT SUSU,SEKOLAH KEBANGSAAN BUNUT SUSU,4,284,9,142,128,279,5,0
7,022/11/05,BUNUT SUSU,SEKOLAH KEBANGSAAN BUNUT SUSU,5,401,15,240,144,399,2,0
7,022/11/05,BUNUT SUSU,SEKOLAH KEBANGSAAN BUNUT SUSU,6,320,11,223,83,317,3,0
7,022/11/05,BUNUT SUSU,SEKOLAH KEBANGSAAN BUNUT SUSU,7,403,13,238,152,403,0,0
8,022/11/06,BECHAH DURIAN,SEKOLAH KEBANGSAAN BECHAH DURIAN,1,335,19,193,119,331,4,0
8,022/11/06,BECHAH DURIAN,SEKOLAH KEBANGSAAN BECHAH DURIAN,2,302,20,192,87,299,3,0
8,022/11/06,BECHAH DURIAN,SEKOLAH KEBANGSAAN BECHAH DURIAN,3,321,24,190,106,320,1,0
9,022/11/07,PADANG EMBON,SMU (A) AL-ULUM PADANG EMBUN,1,321,26,189,103,318,3,0
9,022/11/07,PADANG EMBON,SMU (A) AL-ULUM PADANG EMBUN,2,452,50,316,81,447,5,0
9,022/11/07,PADANG EMBON,SMU (A) AL-ULUM PADANG EMBUN,3,399,41,278,80,399,0,0
9,022/11/07,PADANG EMBON,SMU (A) AL-ULUM PADANG EMBUN,4,436,50,307,77,434,2,0
10,022/11/08,KAMPUNG PALOH,SEKOLAH MENENGAH KEBANGSAAN TENDONG,1,339,55,220,62,337,2,0
10,022/11/08,KAMPUNG PALOH,SEKOLAH MENENGAH KEBANGSAAN TENDONG,2,418,83,261,73,417,1,0
10,022/11/08,KAMPUNG PALOH,SEKOLAH MENENGAH KEBANGSAAN TENDONG,3,477,98,272,107,477,0,0
11,022/11/09,HUTAN CHENGAL,KOLEJ VOKASIONAL PASIR MAS,1,316,12,162,138,312,4,0
11,022/11/09,HUTAN CHENGAL,KOLEJ VOKASIONAL PASIR MAS,2,343,29,206,108,343,0,0
11,022/11/09,HUTAN CHENGAL,KOLEJ VOKASIONAL PASIR MAS,3,277,21,162,93,276,1,0
