BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) TOK GAWA ZAHRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' US. HJ. NASSURUDDIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,271,58,169,227,8,36
2,022/13/00,UNDI AWAL,BILIK PENERANGAN BALAI POLIS BAKONG,1,35,25,10,35,0,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,1,283,81,199,280,3,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,2,334,100,232,332,2,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,3,436,133,301,434,2,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,4,381,78,300,378,3,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,5,305,55,248,303,2,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,6,307,76,231,307,0,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,7,342,79,263,342,0,0
3,022/13/01,BANGGOL CHICHA,SEKOLAH KEBANGSAAN BANGGOL CHICHA,8,405,91,311,402,3,0
4,022/13/02,MERANTI,SEKOLAH KEBANGSAAN MERANTI,1,213,44,164,208,5,0
4,022/13/02,MERANTI,SEKOLAH KEBANGSAAN MERANTI,2,247,61,184,245,2,0
4,022/13/02,MERANTI,SEKOLAH KEBANGSAAN MERANTI,3,374,80,292,372,2,0
4,022/13/02,MERANTI,SEKOLAH KEBANGSAAN MERANTI,4,334,66,266,332,2,0
