BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) HAJI ZURAIDIN ABDULLAH,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) EZZAT HANUZI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,264,164,55,219,17,28
2,023/14/01,TANJONG REDANG,SEKOLAH KEBANGSAAN LEMAL,1,270,174,95,269,1,0
2,023/14/01,TANJONG REDANG,SEKOLAH KEBANGSAAN LEMAL,2,353,244,104,348,5,0
2,023/14/01,TANJONG REDANG,SEKOLAH KEBANGSAAN LEMAL,3,297,237,59,296,1,0
2,023/14/01,TANJONG REDANG,SEKOLAH KEBANGSAAN LEMAL,4,368,285,82,367,1,0
3,023/14/02,LEMAL,SEKOLAH MENENGAH KEBANGSAAN TENGKU PANGLIMA RAJA,1,260,186,72,258,2,0
3,023/14/02,LEMAL,SEKOLAH MENENGAH KEBANGSAAN TENGKU PANGLIMA RAJA,2,310,234,76,310,0,0
3,023/14/02,LEMAL,SEKOLAH MENENGAH KEBANGSAAN TENGKU PANGLIMA RAJA,3,282,207,74,281,1,0
3,023/14/02,LEMAL,SEKOLAH MENENGAH KEBANGSAAN TENGKU PANGLIMA RAJA,4,313,216,96,312,1,0
4,023/14/03,KELAR,SEKOLAH KEBANGSAAN KELAR,1,294,203,86,289,5,0
4,023/14/03,KELAR,SEKOLAH KEBANGSAAN KELAR,2,322,221,98,319,3,0
4,023/14/03,KELAR,SEKOLAH KEBANGSAAN KELAR,3,356,265,87,352,4,0
4,023/14/03,KELAR,SEKOLAH KEBANGSAAN KELAR,4,302,230,70,300,2,0
4,023/14/03,KELAR,SEKOLAH KEBANGSAAN KELAR,5,389,306,81,387,2,0
5,023/14/04,KANGKONG,SEKOLAH KEBANGSAAN KANGKONG,1,302,215,86,301,1,0
5,023/14/04,KANGKONG,SEKOLAH KEBANGSAAN KANGKONG,2,324,257,66,323,1,0
5,023/14/04,KANGKONG,SEKOLAH KEBANGSAAN KANGKONG,3,355,275,80,355,0,0
6,023/14/05,BINJAL,SEKOLAH MENENGAH KEBANGSAAN KANGKONG,1,284,212,68,280,4,0
6,023/14/05,BINJAL,SEKOLAH MENENGAH KEBANGSAAN KANGKONG,2,266,213,50,263,3,0
7,023/14/06,CHETOK,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,1,270,183,84,267,3,0
7,023/14/06,CHETOK,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,2,334,225,107,332,2,0
7,023/14/06,CHETOK,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,3,274,210,63,273,1,0
7,023/14/06,CHETOK,SEKOLAH KEBANGSAAN CHABANG TIGA CHETOK,4,346,243,102,345,1,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,1,255,194,56,250,5,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,2,305,218,79,297,8,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,3,306,227,73,300,6,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,4,404,331,69,400,4,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,5,317,264,53,317,0,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,6,277,226,50,276,1,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,7,296,250,43,293,3,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,8,320,262,56,318,2,0
8,023/14/07,GELAM,SEKOLAH KEBANGSAAN KUBANG CHENOK,9,414,327,86,413,1,0
9,023/14/08,RASAL,SMU (A) TARBIAH DINIAH TOK UBAN,1,296,211,83,294,2,0
9,023/14/08,RASAL,SMU (A) TARBIAH DINIAH TOK UBAN,2,273,199,69,268,5,0
10,023/14/09,GALOK,SEKOLAH KEBANGSAAN CHETOK,1,295,217,70,287,8,0
10,023/14/09,GALOK,SEKOLAH KEBANGSAAN CHETOK,2,325,239,83,322,3,0
10,023/14/09,GALOK,SEKOLAH KEBANGSAAN CHETOK,3,401,326,72,398,3,0
10,023/14/09,GALOK,SEKOLAH KEBANGSAAN CHETOK,4,353,287,63,350,3,0
10,023/14/09,GALOK,SEKOLAH KEBANGSAAN CHETOK,5,406,317,85,402,4,0
11,023/14/10,BENDANG PAUH,SEKOLAH KEBANGSAAN BENDANG PAUH,1,286,213,71,284,2,0
