BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE WA,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) KAMARUZAMAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,293,87,145,232,33,28
2,023/15/00,UNDI AWAL,BILIK GERAKAN BALAI POLIS RANTAU PANJANG,1,59,40,19,59,0,0
2,023/15/00,UNDI AWAL,BILIK CAWANGAN KHAS BALAI POLIS RANTAU PANJANG,2,10,7,2,9,1,0
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,1,140,41,96,137,3,0
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,2,235,80,153,233,2,0
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,3,342,96,236,332,5,5
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,4,296,78,215,293,3,0
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,5,258,65,192,257,1,0
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,6,269,73,195,268,1,0
3,023/15/01,LUBOK GONG,SEKOLAH KEBANGSAAN GUAL TO' DEH,7,316,87,216,303,13,0
4,023/15/02,KEDAI GUAL PERIOK,SEKOLAH KEBANGSAAN GUAL PERIOK,1,187,76,111,187,0,0
4,023/15/02,KEDAI GUAL PERIOK,SEKOLAH KEBANGSAAN GUAL PERIOK,2,288,97,190,287,1,0
4,023/15/02,KEDAI GUAL PERIOK,SEKOLAH KEBANGSAAN GUAL PERIOK,3,288,87,200,287,1,0
5,023/15/03,GUAL SITOK,SEKOLAH KEBANGSAAN GUAL SITOK,1,298,137,157,294,4,0
5,023/15/03,GUAL SITOK,SEKOLAH KEBANGSAAN GUAL SITOK,2,323,154,166,320,3,0
5,023/15/03,GUAL SITOK,SEKOLAH KEBANGSAAN GUAL SITOK,3,354,123,229,352,2,0
5,023/15/03,GUAL SITOK,SEKOLAH KEBANGSAAN GUAL SITOK,4,301,103,198,301,0,0
5,023/15/03,GUAL SITOK,SEKOLAH KEBANGSAAN GUAL SITOK,5,320,143,177,320,0,0
5,023/15/03,GUAL SITOK,SEKOLAH KEBANGSAAN GUAL SITOK,6,341,125,216,341,0,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),1,75,38,36,74,1,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),2,162,79,81,160,2,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),3,180,77,103,180,0,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),4,289,111,176,287,2,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),5,252,93,158,251,1,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),6,262,96,161,257,5,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),7,233,81,151,232,1,0
6,023/15/04,PEKAN RANTAU PANJANG,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),8,261,114,147,261,0,0
