BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATUK AKBAR,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE ZAM,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,261,99,113,212,31,18
2,023/16/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS TOK UBAN,1,9,6,3,9,0,0
2,023/16/00,UNDI AWAL,"DEWAN KETUA POLIS NEGARA, IPD PASIR MAS",1,304,204,99,303,1,0
3,023/16/01,LUBOK TAPAH,SEKOLAH KEBANGSAAN LATI,1,283,84,195,279,4,0
3,023/16/01,LUBOK TAPAH,SEKOLAH KEBANGSAAN LATI,2,360,60,299,359,1,0
3,023/16/01,LUBOK TAPAH,SEKOLAH KEBANGSAAN LATI,3,309,80,228,308,1,0
3,023/16/01,LUBOK TAPAH,SEKOLAH KEBANGSAAN LATI,4,384,86,297,383,1,0
4,023/16/02,NIBONG,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,1,309,154,148,302,7,0
4,023/16/02,NIBONG,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,2,304,144,158,302,2,0
4,023/16/02,NIBONG,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,3,236,94,139,233,3,0
4,023/16/02,NIBONG,SEKOLAH MENENGAH KEBANGSAAN TO' UBAN,4,290,111,178,289,1,0
5,023/16/03,PENGKALAN MACHANG,SEKOLAH KEBANGSAAN TO' UBAN,1,265,84,173,257,8,0
6,023/16/04,KAMPUNG BUJOK,SEKOLAH KEBANGSAAN BUKIT JARUM,1,361,197,162,359,2,0
6,023/16/04,KAMPUNG BUJOK,SEKOLAH KEBANGSAAN BUKIT JARUM,2,437,174,259,433,4,0
6,023/16/04,KAMPUNG BUJOK,SEKOLAH KEBANGSAAN BUKIT JARUM,3,397,137,258,395,2,0
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,1,245,121,121,242,2,1
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,2,293,131,161,292,1,0
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,3,480,214,263,477,3,0
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,4,345,124,219,343,2,0
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,5,378,130,244,374,4,0
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,6,399,166,230,396,3,0
7,023/16/05,REPEK,SEKOLAH KEBANGSAAN SRI KIAMBANG,7,468,174,293,467,1,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,1,274,86,187,273,1,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,2,316,89,224,313,3,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,3,420,85,331,416,4,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,4,344,93,251,344,0,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,5,325,69,253,322,3,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,6,310,68,241,309,1,0
8,023/16/06,LATI,SEKOLAH MENENGAH KEBANGSAAN AGAMA LATI,7,443,102,339,441,2,0
9,023/16/07,CHICHA TINGGI,SEKOLAH KEBANGSAAN CHICHA TINGGI,1,298,126,165,291,7,0
9,023/16/07,CHICHA TINGGI,SEKOLAH KEBANGSAAN CHICHA TINGGI,2,332,165,166,331,1,0
9,023/16/07,CHICHA TINGGI,SEKOLAH KEBANGSAAN CHICHA TINGGI,3,408,181,226,407,1,0
9,023/16/07,CHICHA TINGGI,SEKOLAH KEBANGSAAN CHICHA TINGGI,4,330,152,174,326,4,0
9,023/16/07,CHICHA TINGGI,SEKOLAH KEBANGSAAN CHICHA TINGGI,5,411,188,221,409,2,0
10,023/16/08,CHERANG HANGUS,SEKOLAH KEBANGSAAN KAMPONG BARU,1,234,119,111,230,4,0
10,023/16/08,CHERANG HANGUS,SEKOLAH KEBANGSAAN KAMPONG BARU,2,341,162,178,340,1,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,1,251,117,132,249,2,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,2,301,136,165,301,0,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,3,426,177,247,424,2,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,4,324,121,202,323,1,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,5,316,115,199,314,2,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,6,269,91,176,267,2,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,7,336,116,220,336,0,0
11,023/16/09,TAMAN,SEKOLAH MENENGAH KEBANGSAAN SRI KIAMBANG,8,413,140,271,411,2,0
12,023/16/10,BATU KARANG,SMU (A) DARUL SAADAH BATU KARANG,1,320,147,173,320,0,0
12,023/16/10,BATU KARANG,SMU (A) DARUL SAADAH BATU KARANG,2,307,117,189,306,1,0
12,023/16/10,BATU KARANG,SMU (A) DARUL SAADAH BATU KARANG,3,306,129,176,305,1,0
13,023/16/11,BUKIT TUKU,SEKOLAH KEBANGSAAN BUKIT PERAH,1,283,152,130,282,1,0
13,023/16/11,BUKIT TUKU,SEKOLAH KEBANGSAAN BUKIT PERAH,2,376,155,219,374,2,0
13,023/16/11,BUKIT TUKU,SEKOLAH KEBANGSAAN BUKIT PERAH,3,365,147,218,365,0,0
14,023/16/12,BAROH PIAL,SEKOLAH KEBANGSAAN BAROH PIAL,1,299,147,146,293,6,0
14,023/16/12,BAROH PIAL,SEKOLAH KEBANGSAAN BAROH PIAL,2,303,104,195,299,4,0
14,023/16/12,BAROH PIAL,SEKOLAH KEBANGSAAN BAROH PIAL,3,310,126,184,310,0,0
15,023/16/13,CHANDAN,SMU (A) AL-BALAGHUL MUBIN RONG CHENOK,1,112,51,57,108,4,0
JUMLAH,,,,54,17520,6747,10606,17353,148,19
