BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZ ABD RAHMAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) AINA SAYUTY,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,375,222,59,281,23,71
2,024/18/00,UNDI AWAL,BILIK TAKLIMAT BALAI POLIS NILAM PURI,1,17,9,8,17,0,0
3,024/18/01,PADANG ENGGANG,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,1,276,198,75,273,3,0
3,024/18/01,PADANG ENGGANG,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,2,318,240,74,314,0,4
3,024/18/01,PADANG ENGGANG,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,3,338,271,65,336,2,0
3,024/18/01,PADANG ENGGANG,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,4,306,239,67,306,0,0
3,024/18/01,PADANG ENGGANG,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,5,323,246,77,323,0,0
3,024/18/01,PADANG ENGGANG,SEKOLAH MENENGAH KEBANGSAAN PADANG ENGGANG,6,434,325,109,434,0,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,1,281,180,96,276,5,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,2,337,226,111,337,0,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,3,399,300,97,397,2,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,4,312,247,64,311,1,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,5,307,218,88,306,1,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,6,358,253,105,358,0,0
4,024/18/02,PASIR HOR,SEKOLAH KEBANGSAAN PASIR HOR,7,444,318,125,443,1,0
5,024/18/03,TIONG,SEKOLAH KEBANGSAAN TIONG,1,272,185,84,269,3,0
5,024/18/03,TIONG,SEKOLAH KEBANGSAAN TIONG,2,328,249,77,326,2,0
5,024/18/03,TIONG,SEKOLAH KEBANGSAAN TIONG,3,308,241,65,306,2,0
5,024/18/03,TIONG,SEKOLAH KEBANGSAAN TIONG,4,284,219,62,281,3,0
5,024/18/03,TIONG,SEKOLAH KEBANGSAAN TIONG,5,329,241,88,329,0,0
5,024/18/03,TIONG,SEKOLAH KEBANGSAAN TIONG,6,420,316,103,419,1,0
6,024/18/04,TUNJONG,DEWAN SRI TUNJONG JPN KELANTAN,1,296,233,58,291,5,0
6,024/18/04,TUNJONG,DEWAN SRI TUNJONG JPN KELANTAN,2,413,334,76,410,3,0
6,024/18/04,TUNJONG,DEWAN SRI TUNJONG JPN KELANTAN,3,360,281,76,357,3,0
6,024/18/04,TUNJONG,DEWAN SRI TUNJONG JPN KELANTAN,4,336,247,88,335,1,0
6,024/18/04,TUNJONG,DEWAN SRI TUNJONG JPN KELANTAN,5,419,326,92,418,1,0
7,024/18/05,KAMPUNG PARIT,SEKOLAH KEBANGSAAN SERIBONG,1,285,191,88,279,6,0
7,024/18/05,KAMPUNG PARIT,SEKOLAH KEBANGSAAN SERIBONG,2,326,253,71,324,2,0
7,024/18/05,KAMPUNG PARIT,SEKOLAH KEBANGSAAN SERIBONG,3,387,309,73,382,5,0
7,024/18/05,KAMPUNG PARIT,SEKOLAH KEBANGSAAN SERIBONG,4,378,303,75,378,0,0
7,024/18/05,KAMPUNG PARIT,SEKOLAH KEBANGSAAN SERIBONG,5,372,284,88,372,0,0
7,024/18/05,KAMPUNG PARIT,SEKOLAH KEBANGSAAN SERIBONG,6,463,349,112,461,2,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,1,283,181,101,282,1,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,2,310,192,116,308,2,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,3,391,284,104,388,3,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,4,319,236,83,319,0,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,5,339,246,92,338,1,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,6,363,257,105,362,1,0
8,024/18/06,PASIR TUMBOH,SEKOLAH KEBANGSAAN LONG GAFAR,7,498,343,154,497,0,1
9,024/18/07,KAMPUNG TERUSAN,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,1,306,259,45,304,2,0
9,024/18/07,KAMPUNG TERUSAN,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,2,438,367,68,435,3,0
9,024/18/07,KAMPUNG TERUSAN,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,3,413,350,61,411,2,0
9,024/18/07,KAMPUNG TERUSAN,MAKTAB RENDAH SAINS MARA PASIR TUMBOH,4,498,422,76,498,0,0
10,024/18/08,GUNTONG,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,1,286,195,76,271,15,0
10,024/18/08,GUNTONG,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,2,330,263,66,329,1,0
10,024/18/08,GUNTONG,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,3,396,322,71,393,3,0
10,024/18/08,GUNTONG,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,4,368,294,73,367,1,0
10,024/18/08,GUNTONG,SEKOLAH MENENGAH KEBANGSAAN LONG GAFAR,5,450,344,105,449,1,0
11,024/18/09,LATING,SEKOLAH KEBANGSAAN KAMPONG KELING,1,288,204,78,282,6,0
11,024/18/09,LATING,SEKOLAH KEBANGSAAN KAMPONG KELING,2,335,227,108,335,0,0
11,024/18/09,LATING,SEKOLAH KEBANGSAAN KAMPONG KELING,3,358,262,92,354,4,0
11,024/18/09,LATING,SEKOLAH KEBANGSAAN KAMPONG KELING,4,367,249,113,362,5,0
11,024/18/09,LATING,SEKOLAH KEBANGSAAN KAMPONG KELING,5,441,304,137,441,0,0
12,024/18/10,NILAM BARU,KOLEJ UNIVERSITI ISLAM ANTARABANGSA SULTAN ISMAIL PETRA (KIAS),1,349,301,44,345,4,0
12,024/18/10,NILAM BARU,KOLEJ UNIVERSITI ISLAM ANTARABANGSA SULTAN ISMAIL PETRA (KIAS),2,406,349,52,401,5,0
12,024/18/10,NILAM BARU,KOLEJ UNIVERSITI ISLAM ANTARABANGSA SULTAN ISMAIL PETRA (KIAS),3,509,440,69,509,0,0
13,024/18/11,GONG DERMIN,SEKOLAH KEBANGSAAN GONG DERMIN,1,323,218,102,320,3,0
13,024/18/11,GONG DERMIN,SEKOLAH KEBANGSAAN GONG DERMIN,2,374,281,89,370,4,0
13,024/18/11,GONG DERMIN,SEKOLAH KEBANGSAAN GONG DERMIN,3,294,223,70,293,1,0
13,024/18/11,GONG DERMIN,SEKOLAH KEBANGSAAN GONG DERMIN,4,338,250,88,338,0,0
13,024/18/11,GONG DERMIN,SEKOLAH KEBANGSAAN GONG DERMIN,5,384,286,97,383,1,0
14,024/18/12,KAMPUNG PADANG,SEKOLAH MENENGAH KEBANGSAAN PUTERI SAADONG,1,282,221,52,273,9,0
