BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZ ASRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) TOK WEIL,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,422,244,95,339,13,70
2,024/19/00,UNDI AWAL,BILIK TAKLIMAT BALAI POLIS BINJAI,1,75,49,25,74,1,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,1,288,216,71,287,1,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,2,317,241,75,316,1,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,3,404,310,92,402,2,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,4,320,256,63,319,1,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,5,299,238,60,298,1,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,6,369,269,99,368,1,0
3,024/19/01,DEMIT,SEKOLAH KEBANGSAAN KUBANG KERIAN 3,7,453,338,114,452,1,0
4,024/19/02,WAKAF TANJONG,SEKOLAH KEBANGSAAN MENTUAN,1,330,236,92,328,2,0
4,024/19/02,WAKAF TANJONG,SEKOLAH KEBANGSAAN MENTUAN,2,488,378,107,485,3,0
4,024/19/02,WAKAF TANJONG,SEKOLAH KEBANGSAAN MENTUAN,3,432,354,78,432,0,0
4,024/19/02,WAKAF TANJONG,SEKOLAH KEBANGSAAN MENTUAN,4,491,397,94,491,0,0
5,024/19/03,MENTUAN,SEKOLAH KEBANGSAAN MENTUAN,5,299,231,64,295,4,0
5,024/19/03,MENTUAN,SEKOLAH KEBANGSAAN MENTUAN,6,389,308,78,386,3,0
5,024/19/03,MENTUAN,SEKOLAH KEBANGSAAN MENTUAN,7,339,281,56,337,2,0
5,024/19/03,MENTUAN,SEKOLAH KEBANGSAAN MENTUAN,8,404,315,85,400,4,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,1,223,150,70,220,3,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,2,333,212,118,330,3,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,3,312,221,90,311,1,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,4,453,335,116,451,2,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,5,404,306,96,402,2,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,6,355,259,96,355,0,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,7,343,231,110,341,2,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,8,358,242,115,357,1,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,9,338,235,103,338,0,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,10,366,227,139,366,0,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,11,426,275,146,421,5,0
6,024/19/04,KENALI,SEKOLAH MENENGAH KEBANGSAAN KUBANG KERIAN,12,501,334,167,501,0,0
7,024/19/05,PULONG,MAAHAD AR-RAHMAH KENALI,1,308,201,104,305,3,0
7,024/19/05,PULONG,MAAHAD AR-RAHMAH KENALI,2,316,223,89,312,4,0
7,024/19/05,PULONG,MAAHAD AR-RAHMAH KENALI,3,315,220,92,312,3,0
8,024/19/06,KAMPUNG CHICHA,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),1,279,202,74,276,3,0
8,024/19/06,KAMPUNG CHICHA,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),2,305,217,86,303,2,0
8,024/19/06,KAMPUNG CHICHA,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),3,408,313,95,408,0,0
8,024/19/06,KAMPUNG CHICHA,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),4,364,271,93,364,0,0
8,024/19/06,KAMPUNG CHICHA,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),5,381,266,113,379,2,0
8,024/19/06,KAMPUNG CHICHA,SEKOLAH KEBANGSAAN KUBANG KERIAN (2),6,507,344,163,507,0,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,1,299,232,62,294,5,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,2,337,279,55,334,3,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,3,428,360,67,427,1,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,4,350,280,67,347,3,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,5,336,269,66,335,1,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,6,354,252,102,354,0,0
9,024/19/07,KAMPUNG WAKAF STAN,SEKOLAH KEBANGSAAN WAKAF STAN,7,455,347,108,455,0,0
10,024/19/08,BINJAI,SMU (A) AL-YUNUSIAH BANGGU,1,302,226,73,299,3,0
10,024/19/08,BINJAI,SMU (A) AL-YUNUSIAH BANGGU,2,345,268,72,340,4,1
10,024/19/08,BINJAI,SMU (A) AL-YUNUSIAH BANGGU,3,417,340,74,414,3,0
10,024/19/08,BINJAI,SMU (A) AL-YUNUSIAH BANGGU,4,339,284,53,337,2,0
10,024/19/08,BINJAI,SMU (A) AL-YUNUSIAH BANGGU,5,361,279,80,359,2,0
10,024/19/08,BINJAI,SMU (A) AL-YUNUSIAH BANGGU,6,479,367,112,479,0,0
11,024/19/09,LUBOK PUKOL,SEKOLAH KEBANGSAAN BANGGU,1,323,256,62,318,5,0
11,024/19/09,LUBOK PUKOL,SEKOLAH KEBANGSAAN BANGGU,2,413,341,66,407,5,1
11,024/19/09,LUBOK PUKOL,SEKOLAH KEBANGSAAN BANGGU,3,381,328,51,379,2,0
11,024/19/09,LUBOK PUKOL,SEKOLAH KEBANGSAAN BANGGU,4,373,317,50,367,6,0
11,024/19/09,LUBOK PUKOL,SEKOLAH KEBANGSAAN BANGGU,5,441,369,68,437,4,0
12,024/19/10,BANGGU,SEKOLAH KEBANGSAAN BANGGU,6,298,202,94,296,2,0
12,024/19/10,BANGGU,SEKOLAH KEBANGSAAN BANGGU,7,333,261,71,332,1,0
12,024/19/10,BANGGU,SEKOLAH KEBANGSAAN BANGGU,8,302,239,60,299,3,0
12,024/19/10,BANGGU,SEKOLAH KEBANGSAAN BANGGU,9,340,282,58,340,0,0
13,024/19/11,MENTERA,SEKOLAH KEBANGSAAN MENTERA,1,300,225,70,295,4,1
13,024/19/11,MENTERA,SEKOLAH KEBANGSAAN MENTERA,2,434,323,109,432,2,0
13,024/19/11,MENTERA,SEKOLAH KEBANGSAAN MENTERA,3,324,258,66,324,0,0
13,024/19/11,MENTERA,SEKOLAH KEBANGSAAN MENTERA,4,399,317,79,396,2,1
14,024/19/12,HUDA,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),1,282,192,88,280,2,0
14,024/19/12,HUDA,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),2,336,243,93,336,0,0
14,024/19/12,HUDA,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),3,356,248,107,355,1,0
14,024/19/12,HUDA,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),4,358,233,125,358,0,0
14,024/19/12,HUDA,SEKOLAH KEBANGSAAN KUBANG KERIAN (1),5,490,321,167,488,2,0
JUMLAH,,,,69,24999,18683,6098,24781,144,74
