BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZ HARUN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) CHE MAT,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,481,267,115,382,45,54
2,025/20/00,UNDI AWAL,BILIK A DEWAN KELAB POLIS IBU PEJABAT POLIS DAERAH BACHOK,1,10,5,5,10,0,0
3,025/20/01,SENAK,SEKOLAH KEBANGSAAN PANTAI SENAK,1,324,245,75,320,3,1
3,025/20/01,SENAK,SEKOLAH KEBANGSAAN PANTAI SENAK,2,328,254,70,324,4,0
3,025/20/01,SENAK,SEKOLAH KEBANGSAAN PANTAI SENAK,3,395,330,63,393,2,0
3,025/20/01,SENAK,SEKOLAH KEBANGSAAN PANTAI SENAK,4,353,299,51,350,3,0
3,025/20/01,SENAK,SEKOLAH KEBANGSAAN PANTAI SENAK,5,350,299,51,350,0,0
3,025/20/01,SENAK,SEKOLAH KEBANGSAAN PANTAI SENAK,6,411,351,60,411,0,0
4,025/20/02,WAKAF AIK,SMU (A) MUHAMMADIAH BERIS PANCHOR,1,333,281,50,331,2,0
4,025/20/02,WAKAF AIK,SMU (A) MUHAMMADIAH BERIS PANCHOR,2,405,351,52,403,2,0
4,025/20/02,WAKAF AIK,SMU (A) MUHAMMADIAH BERIS PANCHOR,3,341,306,33,339,2,0
4,025/20/02,WAKAF AIK,SMU (A) MUHAMMADIAH BERIS PANCHOR,4,414,350,63,413,1,0
5,025/20/03,TAWANG,SEKOLAH KEBANGSAAN TAWANG,1,270,182,85,267,3,0
5,025/20/03,TAWANG,SEKOLAH KEBANGSAAN TAWANG,2,338,241,97,338,0,0
5,025/20/03,TAWANG,SEKOLAH KEBANGSAAN TAWANG,3,373,275,96,371,2,0
5,025/20/03,TAWANG,SEKOLAH KEBANGSAAN TAWANG,4,319,257,58,315,4,0
5,025/20/03,TAWANG,SEKOLAH KEBANGSAAN TAWANG,5,290,225,64,289,1,0
5,025/20/03,TAWANG,SEKOLAH KEBANGSAAN TAWANG,6,392,314,76,390,2,0
6,025/20/04,BERIS GAJAH MATI,SEKOLAH KEBANGSAAN BERIS PANCHOR,1,289,221,64,285,4,0
6,025/20/04,BERIS GAJAH MATI,SEKOLAH KEBANGSAAN BERIS PANCHOR,2,499,380,114,494,5,0
6,025/20/04,BERIS GAJAH MATI,SEKOLAH KEBANGSAAN BERIS PANCHOR,3,391,342,47,389,1,1
6,025/20/04,BERIS GAJAH MATI,SEKOLAH KEBANGSAAN BERIS PANCHOR,4,371,294,73,367,4,0
6,025/20/04,BERIS GAJAH MATI,SEKOLAH KEBANGSAAN BERIS PANCHOR,5,473,372,100,472,1,0
7,025/20/05,ANAK TEMBESU,SEKOLAH MENENGAH KEBANGSAAN BERIS PANCHOR,1,315,203,109,312,3,0
7,025/20/05,ANAK TEMBESU,SEKOLAH MENENGAH KEBANGSAAN BERIS PANCHOR,2,389,301,86,387,2,0
7,025/20/05,ANAK TEMBESU,SEKOLAH MENENGAH KEBANGSAAN BERIS PANCHOR,3,386,303,82,385,1,0
8,025/20/06,KAMPUNG TOK JAWA,SEKOLAH KEBANGSAAN KOTA JEMBAL,1,329,247,82,329,0,0
8,025/20/06,KAMPUNG TOK JAWA,SEKOLAH KEBANGSAAN KOTA JEMBAL,2,349,255,93,348,1,0
8,025/20/06,KAMPUNG TOK JAWA,SEKOLAH KEBANGSAAN KOTA JEMBAL,3,361,301,58,359,2,0
8,025/20/06,KAMPUNG TOK JAWA,SEKOLAH KEBANGSAAN KOTA JEMBAL,4,318,281,36,317,1,0
8,025/20/06,KAMPUNG TOK JAWA,SEKOLAH KEBANGSAAN KOTA JEMBAL,5,334,281,53,334,0,0
8,025/20/06,KAMPUNG TOK JAWA,SEKOLAH KEBANGSAAN KOTA JEMBAL,6,408,336,71,407,1,0
9,025/20/07,TELOK MESIRA,SEKOLAH KEBANGSAAN KOTA JEMBAL,7,347,294,51,345,2,0
9,025/20/07,TELOK MESIRA,SEKOLAH KEBANGSAAN KOTA JEMBAL,8,364,316,48,364,0,0
9,025/20/07,TELOK MESIRA,SEKOLAH KEBANGSAAN KOTA JEMBAL,9,412,347,64,411,1,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,1,257,187,62,249,8,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,2,348,236,107,343,5,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,3,474,365,105,470,4,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,4,377,315,60,375,2,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,5,363,309,46,355,8,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,6,347,292,53,345,2,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,7,372,298,72,370,2,0
10,025/20/08,PAUH SEMBILAN,SEKOLAH KEBANGSAAN PAUH SEMBILAN,8,442,365,77,442,0,0
11,025/20/09,TOK BELIAN,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,1,331,255,75,330,1,0
11,025/20/09,TOK BELIAN,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,2,337,268,67,335,2,0
11,025/20/09,TOK BELIAN,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,3,309,259,48,307,2,0
11,025/20/09,TOK BELIAN,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,4,357,278,76,354,3,0
12,025/20/10,TANJONG JERING,SEKOLAH KEBANGSAAN TANJONG JENERA,1,315,196,113,309,6,0
12,025/20/10,TANJONG JERING,SEKOLAH KEBANGSAAN TANJONG JENERA,2,266,192,73,265,1,0
12,025/20/10,TANJONG JERING,SEKOLAH KEBANGSAAN TANJONG JENERA,3,294,206,88,294,0,0
13,025/20/11,BERIS,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,1,300,192,107,299,1,0
13,025/20/11,BERIS,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,2,488,350,136,486,2,0
13,025/20/11,BERIS,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,3,380,297,80,377,3,0
13,025/20/11,BERIS,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,4,350,273,76,349,1,0
13,025/20/11,BERIS,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,5,468,337,127,464,4,0
14,025/20/12,TANJONG PAUH,SEKOLAH KEBANGSAAN PA' PURA,1,337,280,55,335,2,0
14,025/20/12,TANJONG PAUH,SEKOLAH KEBANGSAAN PA' PURA,2,342,290,48,338,4,0
14,025/20/12,TANJONG PAUH,SEKOLAH KEBANGSAAN PA' PURA,3,334,292,36,328,5,1
14,025/20/12,TANJONG PAUH,SEKOLAH KEBANGSAAN PA' PURA,4,320,278,40,318,2,0
14,025/20/12,TANJONG PAUH,SEKOLAH KEBANGSAAN PA' PURA,5,321,274,46,320,1,0
14,025/20/12,TANJONG PAUH,SEKOLAH KEBANGSAAN PA' PURA,6,409,343,65,408,1,0
15,025/20/13,CHAP,SEKOLAH KEBANGSAAN KAMPONG CHAP,1,298,213,80,293,5,0
15,025/20/13,CHAP,SEKOLAH KEBANGSAAN KAMPONG CHAP,2,468,347,116,463,5,0
15,025/20/13,CHAP,SEKOLAH KEBANGSAAN KAMPONG CHAP,3,415,348,65,413,2,0
15,025/20/13,CHAP,SEKOLAH KEBANGSAAN KAMPONG CHAP,4,468,371,93,464,1,3
16,025/20/14,BUKIT MARAK,SEKOLAH KEBANGSAAN BUKIT MARAK,1,271,216,55,271,0,0
16,025/20/14,BUKIT MARAK,SEKOLAH KEBANGSAAN BUKIT MARAK,2,387,325,61,386,1,0
16,025/20/14,BUKIT MARAK,SEKOLAH KEBANGSAAN BUKIT MARAK,3,301,255,44,299,2,0
16,025/20/14,BUKIT MARAK,SEKOLAH KEBANGSAAN BUKIT MARAK,4,289,250,39,289,0,0
16,025/20/14,BUKIT MARAK,SEKOLAH KEBANGSAAN BUKIT MARAK,5,367,306,58,364,3,0
17,025/20/15,PAYA TERATAI,SEKOLAH KEBANGSAAN CHANTUM,1,317,244,72,316,1,0
17,025/20/15,PAYA TERATAI,SEKOLAH KEBANGSAAN CHANTUM,2,407,323,81,404,3,0
17,025/20/15,PAYA TERATAI,SEKOLAH KEBANGSAAN CHANTUM,3,401,312,87,399,2,0
18,025/20/16,BEKELAM,SEKOLAH KEBANGSAAN BEKELAM,1,256,144,105,249,7,0
18,025/20/16,BEKELAM,SEKOLAH KEBANGSAAN BEKELAM,2,306,199,106,305,1,0
18,025/20/16,BEKELAM,SEKOLAH KEBANGSAAN BEKELAM,3,350,236,111,347,3,0
18,025/20/16,BEKELAM,SEKOLAH KEBANGSAAN BEKELAM,4,290,219,71,290,0,0
18,025/20/16,BEKELAM,SEKOLAH KEBANGSAAN BEKELAM,5,332,224,106,330,2,0
JUMLAH,,,,78,27623,21665,5683,27348,215,60
