BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' YUSRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) LOYAR ZAMERI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) BABA ZUL,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,440,171,181,7,359,45,36
2,025/22/00,UNDI AWAL,BILIK B DEWAN KELAB POLIS IBU PEJABAT POLIS DAERAH BACHOK,1,7,5,2,0,7,0,0
3,025/22/01,KAMPUNG REDANG,SEKOLAH KEBANGSAAN SRI KEMUNTING,1,364,108,255,1,364,0,0
3,025/22/01,KAMPUNG REDANG,SEKOLAH KEBANGSAAN SRI KEMUNTING,2,404,107,297,0,404,0,0
3,025/22/01,KAMPUNG REDANG,SEKOLAH KEBANGSAAN SRI KEMUNTING,3,407,110,290,2,402,5,0
4,025/22/02,BERIS LALANG,SEKOLAH KEBANGSAAN BERIS LALANG,1,346,91,247,2,340,6,0
4,025/22/02,BERIS LALANG,SEKOLAH KEBANGSAAN BERIS LALANG,2,422,69,348,0,417,5,0
4,025/22/02,BERIS LALANG,SEKOLAH KEBANGSAAN BERIS LALANG,3,361,68,286,3,357,4,0
4,025/22/02,BERIS LALANG,SEKOLAH KEBANGSAAN BERIS LALANG,4,409,76,328,4,408,1,0
5,025/22/03,JELAWAT TENGAH,SEKOLAH KEBANGSAAN JELAWAT,1,295,157,129,7,293,2,0
5,025/22/03,JELAWAT TENGAH,SEKOLAH KEBANGSAAN JELAWAT,2,306,136,163,5,304,2,0
5,025/22/03,JELAWAT TENGAH,SEKOLAH KEBANGSAAN JELAWAT,3,245,87,148,9,244,1,0
5,025/22/03,JELAWAT TENGAH,SEKOLAH KEBANGSAAN JELAWAT,4,289,138,148,3,289,0,0
6,025/22/04,KAMPUNG BATOR,SEKOLAH MENENGAH KEBANGSAAN JELAWAT,1,288,98,175,13,286,2,0
6,025/22/04,KAMPUNG BATOR,SEKOLAH MENENGAH KEBANGSAAN JELAWAT,2,425,133,283,9,425,0,0
6,025/22/04,KAMPUNG BATOR,SEKOLAH MENENGAH KEBANGSAAN JELAWAT,3,318,54,257,7,318,0,0
6,025/22/04,KAMPUNG BATOR,SEKOLAH MENENGAH KEBANGSAAN JELAWAT,4,314,94,212,5,311,3,0
6,025/22/04,KAMPUNG BATOR,SEKOLAH MENENGAH KEBANGSAAN JELAWAT,5,388,123,255,9,387,1,0
7,025/22/05,KUCHELONG,SEKOLAH KEBANGSAAN KUCHELONG,1,330,108,215,2,325,5,0
7,025/22/05,KUCHELONG,SEKOLAH KEBANGSAAN KUCHELONG,2,374,116,251,2,369,5,0
7,025/22/05,KUCHELONG,SEKOLAH KEBANGSAAN KUCHELONG,3,267,69,197,1,267,0,0
7,025/22/05,KUCHELONG,SEKOLAH KEBANGSAAN KUCHELONG,4,329,101,221,6,328,1,0
