BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) IR AZIZAN RAZAK,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' AZAMI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,244,50,146,196,14,34
2,026/24/01,LACHANG,GIATMARA KETEREH,1,295,88,206,294,1,0
2,026/24/01,LACHANG,GIATMARA KETEREH,2,315,90,224,314,1,0
3,026/24/02,BULOH POH,SEKOLAH KEBANGSAAN BULOH POH,1,353,96,256,352,1,0
3,026/24/02,BULOH POH,SEKOLAH KEBANGSAAN BULOH POH,2,440,97,342,439,1,0
3,026/24/02,BULOH POH,SEKOLAH KEBANGSAAN BULOH POH,3,401,79,317,396,5,0
4,026/24/03,BERANGAN,SEKOLAH KEBANGSAAN KADOK,1,318,83,230,313,5,0
4,026/24/03,BERANGAN,SEKOLAH KEBANGSAAN KADOK,2,322,78,244,322,0,0
4,026/24/03,BERANGAN,SEKOLAH KEBANGSAAN KADOK,3,320,53,266,319,1,0
5,026/24/04,PEROL,SEKOLAH KEBANGSAAN PEROL,1,290,86,195,281,9,0
5,026/24/04,PEROL,SEKOLAH KEBANGSAAN PEROL,2,310,96,213,309,1,0
5,026/24/04,PEROL,SEKOLAH KEBANGSAAN PEROL,3,326,93,233,326,0,0
5,026/24/04,PEROL,SEKOLAH KEBANGSAAN PEROL,4,314,81,231,312,2,0
5,026/24/04,PEROL,SEKOLAH KEBANGSAAN PEROL,5,338,102,231,333,5,0
5,026/24/04,PEROL,SEKOLAH KEBANGSAAN PEROL,6,356,100,255,355,1,0
6,026/24/05,KADOK,SEKOLAH MENENGAH KEBANGSAAN KADOK,1,319,58,258,316,3,0
6,026/24/05,KADOK,SEKOLAH MENENGAH KEBANGSAAN KADOK,2,343,84,259,343,0,0
6,026/24/05,KADOK,SEKOLAH MENENGAH KEBANGSAAN KADOK,3,375,65,308,373,2,0
6,026/24/05,KADOK,SEKOLAH MENENGAH KEBANGSAAN KADOK,4,321,62,258,320,1,0
6,026/24/05,KADOK,SEKOLAH MENENGAH KEBANGSAAN KADOK,5,318,48,270,318,0,0
6,026/24/05,KADOK,SEKOLAH MENENGAH KEBANGSAAN KADOK,6,433,77,353,430,3,0
7,026/24/06,KAMPUNG TALANG,SMU (A) HAMIDIAH PADANG LEPAI,1,347,74,271,345,2,0
7,026/24/06,KAMPUNG TALANG,SMU (A) HAMIDIAH PADANG LEPAI,2,328,63,261,324,4,0
7,026/24/06,KAMPUNG TALANG,SMU (A) HAMIDIAH PADANG LEPAI,3,333,62,270,332,1,0
8,026/24/07,DUSUN RENDAH,SMU (A) ITTIHADIAH TANJUNG PAGAR,1,309,77,228,305,4,0
8,026/24/07,DUSUN RENDAH,SMU (A) ITTIHADIAH TANJUNG PAGAR,2,346,89,251,340,6,0
8,026/24/07,DUSUN RENDAH,SMU (A) ITTIHADIAH TANJUNG PAGAR,3,343,86,256,342,1,0
8,026/24/07,DUSUN RENDAH,SMU (A) ITTIHADIAH TANJUNG PAGAR,4,298,61,236,297,1,0
8,026/24/07,DUSUN RENDAH,SMU (A) ITTIHADIAH TANJUNG PAGAR,5,388,91,293,384,4,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,1,287,71,213,284,3,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,2,343,95,244,339,4,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,3,444,76,365,441,3,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,4,359,66,291,357,2,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,5,361,66,293,359,2,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,6,380,76,300,376,4,0
9,026/24/08,BINJAL,SEKOLAH KEBANGSAAN KUBANG KIAT,7,442,71,368,439,3,0
10,026/24/09,BUT CHENGAL,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,1,323,93,227,320,3,0
10,026/24/09,BUT CHENGAL,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,2,309,85,222,307,2,0
10,026/24/09,BUT CHENGAL,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,3,285,61,223,284,1,0
10,026/24/09,BUT CHENGAL,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,4,266,56,209,265,1,0
10,026/24/09,BUT CHENGAL,SEKOLAH KEBANGSAAN KAMPONG CHENGAL,5,350,80,268,348,2,0
JUMLAH,,,,41,13892,3165,10584,13749,109,34
