BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' ABDUL FATTAH,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' DR. SAMSUL ADABI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,590,420,68,488,26,76
2,027/26/00,UNDI AWAL,BILIK A DEWAN IBU PEJABAT POLIS DAERAH TANAH MERAH,1,217,142,73,215,2,0
3,027/26/01,BUKIT PANAU,SEKOLAH KEBANGSAAN BUKIT PANAU,1,247,190,56,246,1,0
3,027/26/01,BUKIT PANAU,SEKOLAH KEBANGSAAN BUKIT PANAU,2,277,207,60,267,10,0
3,027/26/01,BUKIT PANAU,SEKOLAH KEBANGSAAN BUKIT PANAU,3,461,388,68,456,5,0
3,027/26/01,BUKIT PANAU,SEKOLAH KEBANGSAAN BUKIT PANAU,4,381,319,60,379,2,0
3,027/26/01,BUKIT PANAU,SEKOLAH KEBANGSAAN BUKIT PANAU,5,351,308,41,349,2,0
3,027/26/01,BUKIT PANAU,SEKOLAH KEBANGSAAN BUKIT PANAU,6,445,381,64,445,0,0
4,027/26/02,KAMPUNG PALOH,SMU (A) RAHMANIAH PALOH,1,331,311,17,328,3,0
4,027/26/02,KAMPUNG PALOH,SMU (A) RAHMANIAH PALOH,2,379,345,31,376,3,0
4,027/26/02,KAMPUNG PALOH,SMU (A) RAHMANIAH PALOH,3,364,332,32,364,0,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,1,219,156,62,218,1,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,2,301,224,72,296,5,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,3,433,335,95,430,3,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,4,390,308,81,389,1,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,5,331,278,51,329,2,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,6,295,233,61,294,1,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,7,282,218,63,281,1,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,8,369,276,93,369,0,0
5,027/26/03,KAMPUNG BELIMBING,SEKOLAH KEBANGSAAN BELIMBING,9,457,368,89,457,0,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,1,259,204,53,257,2,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,2,303,224,76,300,3,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,3,392,323,64,387,5,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,4,336,289,47,336,0,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,5,296,255,41,296,0,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,6,320,271,47,318,2,0
6,027/26/04,PADANG SIAM,MAAHAD AHMADI TANAH MERAH,7,396,332,61,393,3,0
7,027/26/05,KELEWEK,SEKOLAH KEBANGSAAN SRI KELEWEK,1,271,219,49,268,3,0
7,027/26/05,KELEWEK,SEKOLAH KEBANGSAAN SRI KELEWEK,2,327,268,58,326,1,0
7,027/26/05,KELEWEK,SEKOLAH KEBANGSAAN SRI KELEWEK,3,355,296,58,354,1,0
