BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) BAHARI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ZUHAIRI (JERI),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,192,105,47,152,17,23
2,027/27/00,UNDI AWAL,BILIK B DEWAN IBU PEJABAT POLIS DAERAH TANAH MERAH,1,17,9,8,17,0,0
3,027/27/01,KUALA PAKU,SEKOLAH KEBANGSAAN IPOH,1,248,146,99,245,3,0
3,027/27/01,KUALA PAKU,SEKOLAH KEBANGSAAN IPOH,2,406,246,157,403,3,0
3,027/27/01,KUALA PAKU,SEKOLAH KEBANGSAAN IPOH,3,328,221,105,326,2,0
3,027/27/01,KUALA PAKU,SEKOLAH KEBANGSAAN IPOH,4,408,267,141,408,0,0
4,027/27/02,BECHAH LAUT,SEKOLAH KEBANGSAAN BECHAH LAUT,1,319,177,140,317,2,0
4,027/27/02,BECHAH LAUT,SEKOLAH KEBANGSAAN BECHAH LAUT,2,402,269,127,396,5,1
4,027/27/02,BECHAH LAUT,SEKOLAH KEBANGSAAN BECHAH LAUT,3,346,239,103,342,4,0
5,027/27/03,PEKAN GUAL IPOH,SEKOLAH MENENGAH KEBANGSAAN IPOH,1,311,192,116,308,3,0
5,027/27/03,PEKAN GUAL IPOH,SEKOLAH MENENGAH KEBANGSAAN IPOH,2,290,205,84,289,1,0
5,027/27/03,PEKAN GUAL IPOH,SEKOLAH MENENGAH KEBANGSAAN IPOH,3,258,184,72,256,2,0
5,027/27/03,PEKAN GUAL IPOH,SEKOLAH MENENGAH KEBANGSAAN IPOH,4,280,203,77,280,0,0
6,027/27/04,ULU KUSIAL,SEKOLAH KEBANGSAAN ULU KUSIAL,1,323,188,134,322,1,0
6,027/27/04,ULU KUSIAL,SEKOLAH KEBANGSAAN ULU KUSIAL,2,393,281,111,392,0,1
6,027/27/04,ULU KUSIAL,SEKOLAH KEBANGSAAN ULU KUSIAL,3,345,232,111,343,2,0
7,027/27/05,BUKIT DURIAN,SEKOLAH KEBANGSAAN BUKIT DURIAN,1,332,189,137,326,6,0
7,027/27/05,BUKIT DURIAN,SEKOLAH KEBANGSAAN BUKIT DURIAN,2,343,192,147,339,4,0
7,027/27/05,BUKIT DURIAN,SEKOLAH KEBANGSAAN BUKIT DURIAN,3,375,247,125,372,3,0
7,027/27/05,BUKIT DURIAN,SEKOLAH KEBANGSAAN BUKIT DURIAN,4,308,210,96,306,2,0
7,027/27/05,BUKIT DURIAN,SEKOLAH KEBANGSAAN BUKIT DURIAN,5,330,213,113,326,4,0
8,027/27/06,TERASIL,SEKOLAH KEBANGSAAN KULIM,1,295,209,81,290,5,0
8,027/27/06,TERASIL,SEKOLAH KEBANGSAAN KULIM,2,314,232,79,311,3,0
8,027/27/06,TERASIL,SEKOLAH KEBANGSAAN KULIM,3,351,266,84,350,1,0
8,027/27/06,TERASIL,SEKOLAH KEBANGSAAN KULIM,4,292,245,46,291,1,0
8,027/27/06,TERASIL,SEKOLAH KEBANGSAAN KULIM,5,419,317,97,414,5,0
9,027/27/07,TEBING TINGGI,SEKOLAH KEBANGSAAN TEBING TINGGI,1,314,219,93,312,2,0
9,027/27/07,TEBING TINGGI,SEKOLAH KEBANGSAAN TEBING TINGGI,2,289,204,84,288,1,0
9,027/27/07,TEBING TINGGI,SEKOLAH KEBANGSAAN TEBING TINGGI,3,393,318,74,392,1,0
9,027/27/07,TEBING TINGGI,SEKOLAH KEBANGSAAN TEBING TINGGI,4,359,296,63,359,0,0
9,027/27/07,TEBING TINGGI,SEKOLAH KEBANGSAAN TEBING TINGGI,5,435,351,83,434,1,0
10,027/27/08,KONGSI LIMA,SEKOLAH KEBANGSAAN KAMPONG PANJANG,1,316,169,146,315,1,0
10,027/27/08,KONGSI LIMA,SEKOLAH KEBANGSAAN KAMPONG PANJANG,2,326,215,111,326,0,0
10,027/27/08,KONGSI LIMA,SEKOLAH KEBANGSAAN KAMPONG PANJANG,3,274,200,74,274,0,0
11,027/27/09,KERILLA,SEKOLAH MENENGAH KEBANGSAAN LADANG KERILLA,1,203,126,75,201,2,0
11,027/27/09,KERILLA,SEKOLAH MENENGAH KEBANGSAAN LADANG KERILLA,2,174,122,51,173,1,0
12,027/27/10,KUALA TIGA,SEKOLAH KEBANGSAAN KUALA TIGA,1,310,185,122,307,3,0
12,027/27/10,KUALA TIGA,SEKOLAH KEBANGSAAN KUALA TIGA,2,373,286,86,372,1,0
12,027/27/10,KUALA TIGA,SEKOLAH KEBANGSAAN KUALA TIGA,3,317,250,66,316,1,0
13,027/27/11,BLOK SOKOR,SEKOLAH KEBANGSAAN SOKOR,1,304,221,82,303,1,0
13,027/27/11,BLOK SOKOR,SEKOLAH KEBANGSAAN SOKOR,2,295,243,51,294,1,0
14,027/27/12,KG PERALLA,SEKOLAH KEBANGSAAN PERALLA,1,281,206,73,279,2,0
14,027/27/12,KG PERALLA,SEKOLAH KEBANGSAAN PERALLA,2,303,245,55,300,3,0
14,027/27/12,KG PERALLA,SEKOLAH KEBANGSAAN PERALLA,3,292,218,71,289,3,0
15,027/27/13,TOK CHE DOL,SEKOLAH KEBANGSAAN TOK CHE DOL,1,324,213,108,321,3,0
15,027/27/13,TOK CHE DOL,SEKOLAH KEBANGSAAN TOK CHE DOL,2,362,283,76,359,3,0
