BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) MAZLI (ABE JEK),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' MEJAR(B) NIZAM,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,181,35,119,154,15,12
2,027/28/00,UNDI AWAL,BILIK C DEWAN IBU PEJABAT POLIS DAERAH TANAH MERAH,1,9,8,1,9,0,0
3,027/28/01,FELDA KEMAHANG 1,SEKOLAH MENENGAH KEBANGSAAN KEMAHANG,1,386,29,356,385,1,0
3,027/28/01,FELDA KEMAHANG 1,SEKOLAH MENENGAH KEBANGSAAN KEMAHANG,2,308,25,281,306,2,0
3,027/28/01,FELDA KEMAHANG 1,SEKOLAH MENENGAH KEBANGSAAN KEMAHANG,3,359,39,319,358,1,0
3,027/28/01,FELDA KEMAHANG 1,SEKOLAH MENENGAH KEBANGSAAN KEMAHANG,4,343,26,316,342,1,0
3,027/28/01,FELDA KEMAHANG 1,SEKOLAH MENENGAH KEBANGSAAN KEMAHANG,5,378,25,352,377,1,0
3,027/28/01,FELDA KEMAHANG 1,SEKOLAH MENENGAH KEBANGSAAN KEMAHANG,6,403,38,363,401,2,0
4,027/28/02,FELDA KEMAHANG 3,SEKOLAH KEBANGSAAN KEMAHANG 3,1,360,157,201,358,2,0
4,027/28/02,FELDA KEMAHANG 3,SEKOLAH KEBANGSAAN KEMAHANG 3,2,295,117,178,295,0,0
4,027/28/02,FELDA KEMAHANG 3,SEKOLAH KEBANGSAAN KEMAHANG 3,3,315,83,231,314,1,0
4,027/28/02,FELDA KEMAHANG 3,SEKOLAH KEBANGSAAN KEMAHANG 3,4,319,83,234,317,2,0
4,027/28/02,FELDA KEMAHANG 3,SEKOLAH KEBANGSAAN KEMAHANG 3,5,380,104,275,379,1,0
5,027/28/03,FELDA KEMAHANG 2,SEKOLAH KEBANGSAAN KEMAHANG (2),1,315,134,180,314,1,0
5,027/28/03,FELDA KEMAHANG 2,SEKOLAH KEBANGSAAN KEMAHANG (2),2,329,91,238,329,0,0
5,027/28/03,FELDA KEMAHANG 2,SEKOLAH KEBANGSAAN KEMAHANG (2),3,302,97,204,301,1,0
5,027/28/03,FELDA KEMAHANG 2,SEKOLAH KEBANGSAAN KEMAHANG (2),4,346,101,241,342,4,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,1,239,66,170,236,3,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,2,254,62,190,252,2,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,3,413,78,331,409,4,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,4,351,65,285,350,1,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,5,326,43,282,325,1,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,6,325,50,275,325,0,0
6,027/28/04,BUKIT MAS,SEKOLAH MENENGAH KEBANGSAAN ALOR PASIR,7,435,69,364,433,2,0
7,027/28/05,BUKIT GADING,SEKOLAH KEBANGSAAN BUKIT GADING,1,253,80,169,249,4,0
7,027/28/05,BUKIT GADING,SEKOLAH KEBANGSAAN BUKIT GADING,2,399,105,292,397,2,0
7,027/28/05,BUKIT GADING,SEKOLAH KEBANGSAAN BUKIT GADING,3,339,66,272,338,1,0
7,027/28/05,BUKIT GADING,SEKOLAH KEBANGSAAN BUKIT GADING,4,433,93,337,430,3,0
8,027/28/06,BENDANG NYIOR,SEKOLAH KEBANGSAAN BENDANG NYIOR,1,284,91,192,283,1,0
8,027/28/06,BENDANG NYIOR,SEKOLAH KEBANGSAAN BENDANG NYIOR,2,297,90,206,296,1,0
8,027/28/06,BENDANG NYIOR,SEKOLAH KEBANGSAAN BENDANG NYIOR,3,349,68,279,347,2,0
8,027/28/06,BENDANG NYIOR,SEKOLAH KEBANGSAAN BENDANG NYIOR,4,305,57,246,303,2,0
8,027/28/06,BENDANG NYIOR,SEKOLAH KEBANGSAAN BENDANG NYIOR,5,285,48,237,285,0,0
8,027/28/06,BENDANG NYIOR,SEKOLAH KEBANGSAAN BENDANG NYIOR,6,346,76,269,345,1,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,1,270,95,175,270,0,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,2,337,100,233,333,4,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,3,471,128,336,464,7,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,4,386,79,305,384,2,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,5,321,64,255,319,2,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,6,345,88,255,343,2,0
9,027/28/07,BATANG MERBAU,SEKOLAH KEBANGSAAN BATANG MERBAU,7,444,111,331,442,2,0
JUMLAH,,,,41,13535,3064,10375,13439,84,12
