BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' CIKGU HASHIM,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) UST TUAN SARIPUDIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,265,99,130,229,8,28
2,028/29/00,UNDI AWAL,BILIK A DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH,1,5,3,2,5,0,0
3,028/29/01,KEDAI MENANTI,SEKOLAH KEBANGSAAN TUALANG TINGGI,1,315,124,185,309,6,0
3,028/29/01,KEDAI MENANTI,SEKOLAH KEBANGSAAN TUALANG TINGGI,2,338,109,229,338,0,0
3,028/29/01,KEDAI MENANTI,SEKOLAH KEBANGSAAN TUALANG TINGGI,3,412,104,306,410,2,0
3,028/29/01,KEDAI MENANTI,SEKOLAH KEBANGSAAN TUALANG TINGGI,4,329,90,238,328,1,0
3,028/29/01,KEDAI MENANTI,SEKOLAH KEBANGSAAN TUALANG TINGGI,5,308,75,232,307,1,0
3,028/29/01,KEDAI MENANTI,SEKOLAH KEBANGSAAN TUALANG TINGGI,6,368,95,270,365,3,0
4,028/29/02,DANAN,SEKOLAH KEBANGSAAN DANAN,1,334,140,184,324,10,0
4,028/29/02,DANAN,SEKOLAH KEBANGSAAN DANAN,2,359,135,221,356,3,0
4,028/29/02,DANAN,SEKOLAH KEBANGSAAN DANAN,3,393,109,282,391,2,0
4,028/29/02,DANAN,SEKOLAH KEBANGSAAN DANAN,4,333,83,250,333,0,0
