BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZAH ASILAH,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) CIKGU DIN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,433,240,122,362,41,30
2,028/30/00,UNDI AWAL,BILIK B DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH,1,199,109,89,198,1,0
3,028/30/01,JELOR,SEKOLAH KEBANGSAAN JELOR,1,328,251,74,325,3,0
3,028/30/01,JELOR,SEKOLAH KEBANGSAAN JELOR,2,367,281,82,363,4,0
3,028/30/01,JELOR,SEKOLAH KEBANGSAAN JELOR,3,326,279,44,323,3,0
3,028/30/01,JELOR,SEKOLAH KEBANGSAAN JELOR,4,392,311,79,390,2,0
4,028/30/02,KAMPUNG NARA,SEKOLAH KEBANGSAAN KAMPONG NARA,1,333,234,88,322,11,0
4,028/30/02,KAMPUNG NARA,SEKOLAH KEBANGSAAN KAMPONG NARA,2,339,269,68,337,2,0
4,028/30/02,KAMPUNG NARA,SEKOLAH KEBANGSAAN KAMPONG NARA,3,288,247,39,286,2,0
4,028/30/02,KAMPUNG NARA,SEKOLAH KEBANGSAAN KAMPONG NARA,4,379,302,74,376,3,0
5,028/30/03,KAMPUNG MERKANG,SEKOLAH KEBANGSAAN PADANG PA' AMAT,1,286,174,111,285,1,0
5,028/30/03,KAMPUNG MERKANG,SEKOLAH KEBANGSAAN PADANG PA' AMAT,2,352,246,106,352,0,0
5,028/30/03,KAMPUNG MERKANG,SEKOLAH KEBANGSAAN PADANG PA' AMAT,3,288,208,80,288,0,0
5,028/30/03,KAMPUNG MERKANG,SEKOLAH KEBANGSAAN PADANG PA' AMAT,4,336,246,89,335,1,0
6,028/30/04,PADANG PAK AMAT,SEKOLAH MENENGAH SAINS PASIR PUTEH,1,322,248,71,319,3,0
6,028/30/04,PADANG PAK AMAT,SEKOLAH MENENGAH SAINS PASIR PUTEH,2,317,233,80,313,4,0
6,028/30/04,PADANG PAK AMAT,SEKOLAH MENENGAH SAINS PASIR PUTEH,3,320,259,58,317,3,0
6,028/30/04,PADANG PAK AMAT,SEKOLAH MENENGAH SAINS PASIR PUTEH,4,290,235,52,287,3,0
6,028/30/04,PADANG PAK AMAT,SEKOLAH MENENGAH SAINS PASIR PUTEH,5,289,224,64,288,1,0
6,028/30/04,PADANG PAK AMAT,SEKOLAH MENENGAH SAINS PASIR PUTEH,6,432,325,105,430,2,0
7,028/30/05,PANGGONG,SEKOLAH KEBANGSAAN PANGGONG,1,297,207,87,294,3,0
7,028/30/05,PANGGONG,SEKOLAH KEBANGSAAN PANGGONG,2,292,188,103,291,1,0
7,028/30/05,PANGGONG,SEKOLAH KEBANGSAAN PANGGONG,3,305,248,57,305,0,0
7,028/30/05,PANGGONG,SEKOLAH KEBANGSAAN PANGGONG,4,265,209,52,261,4,0
7,028/30/05,PANGGONG,SEKOLAH KEBANGSAAN PANGGONG,5,270,212,58,270,0,0
7,028/30/05,PANGGONG,SEKOLAH KEBANGSAAN PANGGONG,6,332,242,89,331,1,0
8,028/30/06,PERMATANG SUNGKAI,SMU (A) DINIAH PERMATANG RAMBAI,1,271,174,93,267,4,0
8,028/30/06,PERMATANG SUNGKAI,SMU (A) DINIAH PERMATANG RAMBAI,2,345,257,80,337,8,0
8,028/30/06,PERMATANG SUNGKAI,SMU (A) DINIAH PERMATANG RAMBAI,3,305,222,80,302,3,0
8,028/30/06,PERMATANG SUNGKAI,SMU (A) DINIAH PERMATANG RAMBAI,4,299,233,65,298,1,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,1,302,207,93,300,2,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,2,314,211,101,312,2,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,3,314,246,67,313,1,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,4,262,194,68,262,0,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,5,258,182,75,257,1,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,6,327,217,109,326,1,0
9,028/30/07,CHERANG TULI,SEKOLAH MENENGAH KEBANGSAAN SERI AMAN,7,438,303,134,437,1,0
10,028/30/08,SARING,SMU (A) NURUL ITTIFAQ NERING,1,312,215,95,310,2,0
10,028/30/08,SARING,SMU (A) NURUL ITTIFAQ NERING,2,379,298,81,379,0,0
10,028/30/08,SARING,SMU (A) NURUL ITTIFAQ NERING,3,291,231,59,290,1,0
10,028/30/08,SARING,SMU (A) NURUL ITTIFAQ NERING,4,373,285,84,369,4,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,1,268,181,82,263,5,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,2,322,214,107,321,1,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,3,407,279,127,406,1,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,4,304,221,82,303,1,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,5,284,220,63,283,1,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,6,280,207,71,278,2,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,7,305,203,100,303,2,0
11,028/30/09,ALOR PASIR,SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,8,405,281,123,404,1,0
