BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) NORSHAM CIKGU ABANG,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) SHELA CIKGU ALI GOLOK,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,194,95,64,159,12,23
2,028/31/00,UNDI AWAL,BILIK C DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH,1,24,17,7,24,0,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,1,330,209,118,327,3,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,2,345,196,144,340,5,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,3,433,283,149,432,1,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,4,343,244,98,342,1,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,5,339,251,86,337,2,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,6,348,239,106,345,3,0
3,028/31/01,TOK BALI,SEKOLAH KEBANGSAAN TO'BALI,7,432,303,128,431,1,0
4,028/31/02,KAMPUNG LEMBAH,SEKOLAH KEBANGSAAN KG SEPULAU,1,322,160,161,321,1,0
4,028/31/02,KAMPUNG LEMBAH,SEKOLAH KEBANGSAAN KG SEPULAU,2,337,164,169,333,4,0
4,028/31/02,KAMPUNG LEMBAH,SEKOLAH KEBANGSAAN KG SEPULAU,3,425,266,159,425,0,0
4,028/31/02,KAMPUNG LEMBAH,SEKOLAH KEBANGSAAN KG SEPULAU,4,326,207,118,325,1,0
4,028/31/02,KAMPUNG LEMBAH,SEKOLAH KEBANGSAAN KG SEPULAU,5,434,223,208,431,3,0
5,028/31/03,GONG KULIM,SEKOLAH KEBANGSAAN KULIM,1,322,191,126,317,5,0
5,028/31/03,GONG KULIM,SEKOLAH KEBANGSAAN KULIM,2,358,223,131,354,4,0
5,028/31/03,GONG KULIM,SEKOLAH KEBANGSAAN KULIM,3,326,228,96,324,2,0
5,028/31/03,GONG KULIM,SEKOLAH KEBANGSAAN KULIM,4,313,222,89,311,2,0
5,028/31/03,GONG KULIM,SEKOLAH KEBANGSAAN KULIM,5,314,223,88,311,3,0
5,028/31/03,GONG KULIM,SEKOLAH KEBANGSAAN KULIM,6,385,276,105,381,4,0
6,028/31/04,BUKIT TANAH,SEKOLAH KEBANGSAAN BUKIT TANAH,1,173,95,77,172,1,0
6,028/31/04,BUKIT TANAH,SEKOLAH KEBANGSAAN BUKIT TANAH,2,300,177,121,298,2,0
7,028/31/05,GONG MANOK,SEKOLAH KEBANGSAAN GONG MANAK,1,229,140,88,228,1,0
7,028/31/05,GONG MANOK,SEKOLAH KEBANGSAAN GONG MANAK,2,455,290,162,452,3,0
