BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZ RODZI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ALIF,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,188,112,52,164,10,14
2,028/32/00,UNDI AWAL,BILIK D DEWAN TERBUKA IBU PEJABAT POLIS DAERAH PASIR PUTEH,1,13,7,6,13,0,0
3,028/32/01,TEMILA,MAAHAD SANIAH PASIR PUTEH,1,319,218,100,318,1,0
3,028/32/01,TEMILA,MAAHAD SANIAH PASIR PUTEH,2,349,268,80,348,1,0
3,028/32/01,TEMILA,MAAHAD SANIAH PASIR PUTEH,3,322,245,75,320,2,0
4,028/32/02,JERAM,SEKOLAH KEBANGSAAN JERAM,1,329,150,177,327,2,0
4,028/32/02,JERAM,SEKOLAH KEBANGSAAN JERAM,2,406,261,143,404,2,0
4,028/32/02,JERAM,SEKOLAH KEBANGSAAN JERAM,3,430,263,165,428,2,0
5,028/32/03,TELIPOK,SEKOLAH MENENGAH KEBANGSAAN JERAM,1,259,183,74,257,2,0
5,028/32/03,TELIPOK,SEKOLAH MENENGAH KEBANGSAAN JERAM,2,328,259,65,324,4,0
5,028/32/03,TELIPOK,SEKOLAH MENENGAH KEBANGSAAN JERAM,3,297,237,57,294,3,0
6,028/32/04,TELOSAN,SEKOLAH KEBANGSAAN TELOSAN,1,314,215,96,311,3,0
6,028/32/04,TELOSAN,SEKOLAH KEBANGSAAN TELOSAN,2,299,212,83,295,4,0
6,028/32/04,TELOSAN,SEKOLAH KEBANGSAAN TELOSAN,3,303,251,52,303,0,0
6,028/32/04,TELOSAN,SEKOLAH KEBANGSAAN TELOSAN,4,327,257,69,326,1,0
6,028/32/04,TELOSAN,SEKOLAH KEBANGSAAN TELOSAN,5,360,271,89,360,0,0
7,028/32/05,GONG GARU,SEKOLAH KEBANGSAAN GONG GARU,1,315,199,113,312,3,0
7,028/32/05,GONG GARU,SEKOLAH KEBANGSAAN GONG GARU,2,321,216,103,319,2,0
7,028/32/05,GONG GARU,SEKOLAH KEBANGSAAN GONG GARU,3,251,183,67,250,1,0
7,028/32/05,GONG GARU,SEKOLAH KEBANGSAAN GONG GARU,4,299,215,80,295,4,0
