BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) USTAZ AZHAR,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) FAKHRAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
1,,UNDI POS,,,294,146,101,247,14,33
2,029/33/00,UNDI AWAL,BILIK A DEWAN IXORA IBU PEJABAT POLIS DAERAH MACHANG,1,10,0,10,10,0,0
3,029/33/01,KAMPUNG BANDAR,SEKOLAH KEBANGSAAN BANDAR,1,296,171,123,294,2,0
3,029/33/01,KAMPUNG BANDAR,SEKOLAH KEBANGSAAN BANDAR,2,326,186,137,323,3,0
3,029/33/01,KAMPUNG BANDAR,SEKOLAH KEBANGSAAN BANDAR,3,416,309,106,415,1,0
3,029/33/01,KAMPUNG BANDAR,SEKOLAH KEBANGSAAN BANDAR,4,417,271,146,417,0,0
4,029/33/02,ALOR MELAKA,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,1,331,257,73,330,1,0
4,029/33/02,ALOR MELAKA,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,2,312,245,66,311,1,0
4,029/33/02,ALOR MELAKA,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,3,362,283,79,362,0,0
4,029/33/02,ALOR MELAKA,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,4,326,255,71,326,0,0
4,029/33/02,ALOR MELAKA,MAAHAD SYAMSUL MAARIF (P) PULAI CHONDONG,5,394,292,101,393,1,0
5,029/33/03,MERBAU CHONDONG,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,1,305,175,129,304,1,0
5,029/33/03,MERBAU CHONDONG,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,2,404,258,142,400,4,0
5,029/33/03,MERBAU CHONDONG,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,3,305,237,68,305,0,0
5,029/33/03,MERBAU CHONDONG,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,4,294,200,92,292,2,0
5,029/33/03,MERBAU CHONDONG,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,5,375,246,129,375,0,0
6,029/33/04,KEDAI PULAI CHONDONG,SEKOLAH KEBANGSAAN PULAI CHONDONG,1,239,104,135,239,0,0
6,029/33/04,KEDAI PULAI CHONDONG,SEKOLAH KEBANGSAAN PULAI CHONDONG,2,264,160,104,264,0,0
6,029/33/04,KEDAI PULAI CHONDONG,SEKOLAH KEBANGSAAN PULAI CHONDONG,3,220,138,82,220,0,0
7,029/33/05,PANGKAL GONG,SEKOLAH KEBANGSAAN PANGKAL GONG,1,305,198,103,301,4,0
7,029/33/05,PANGKAL GONG,SEKOLAH KEBANGSAAN PANGKAL GONG,2,353,245,108,353,0,0
7,029/33/05,PANGKAL GONG,SEKOLAH KEBANGSAAN PANGKAL GONG,3,293,215,77,292,1,0
7,029/33/05,PANGKAL GONG,SEKOLAH KEBANGSAAN PANGKAL GONG,4,370,235,135,370,0,0
8,029/33/06,KERAWANG,SEKOLAH KEBANGSAAN PANGKAL NERING,1,185,106,77,183,2,0
8,029/33/06,KERAWANG,SEKOLAH KEBANGSAAN PANGKAL NERING,2,257,183,72,255,2,0
8,029/33/06,KERAWANG,SEKOLAH KEBANGSAAN PANGKAL NERING,3,275,169,103,272,3,0
9,029/33/07,BAGAN,SEKOLAH KEBANGSAAN MATA AYER,1,304,194,108,302,2,0
9,029/33/07,BAGAN,SEKOLAH KEBANGSAAN MATA AYER,2,397,270,123,393,4,0
9,029/33/07,BAGAN,SEKOLAH KEBANGSAAN MATA AYER,3,333,218,115,333,0,0
10,029/33/08,KAMPUNG TOK BOK,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,1,319,204,113,317,2,0
10,029/33/08,KAMPUNG TOK BOK,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,2,333,230,101,331,2,0
10,029/33/08,KAMPUNG TOK BOK,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,3,282,197,84,281,1,0
10,029/33/08,KAMPUNG TOK BOK,SEKOLAH MENENGAH KEBANGSAAN ABDUL SAMAD,4,352,236,115,351,1,0
11,029/33/09,JOH,MAAHAD SYAMSUL MAARIF (L) LABOK,1,300,171,128,299,1,0
11,029/33/09,JOH,MAAHAD SYAMSUL MAARIF (L) LABOK,2,331,201,128,329,2,0
11,029/33/09,JOH,MAAHAD SYAMSUL MAARIF (L) LABOK,3,442,296,145,441,1,0
11,029/33/09,JOH,MAAHAD SYAMSUL MAARIF (L) LABOK,4,334,226,106,332,2,0
11,029/33/09,JOH,MAAHAD SYAMSUL MAARIF (L) LABOK,5,430,274,156,430,0,0
12,029/33/10,LABOK,SEKOLAH KEBANGSAAN TOK BOK,1,311,196,109,305,6,0
12,029/33/10,LABOK,SEKOLAH KEBANGSAAN TOK BOK,2,322,224,97,321,1,0
12,029/33/10,LABOK,SEKOLAH KEBANGSAAN TOK BOK,3,368,275,93,368,0,0
12,029/33/10,LABOK,SEKOLAH KEBANGSAAN TOK BOK,4,292,224,68,292,0,0
12,029/33/10,LABOK,SEKOLAH KEBANGSAAN TOK BOK,5,315,227,87,314,1,0
12,029/33/10,LABOK,SEKOLAH KEBANGSAAN TOK BOK,6,377,269,108,377,0,0
13,029/33/11,KAMPUNG BINJAI,SEKOLAH KEBANGSAAN LABOK,1,322,217,103,320,2,0
13,029/33/11,KAMPUNG BINJAI,SEKOLAH KEBANGSAAN LABOK,2,418,321,96,417,1,0
13,029/33/11,KAMPUNG BINJAI,SEKOLAH KEBANGSAAN LABOK,3,446,348,97,445,1,0
14,029/33/12,DEWAN,SEKOLAH KEBANGSAAN DEWAN BESAR,1,331,191,139,330,1,0
14,029/33/12,DEWAN,SEKOLAH KEBANGSAAN DEWAN BESAR,2,339,210,125,335,4,0
14,029/33/12,DEWAN,SEKOLAH KEBANGSAAN DEWAN BESAR,3,385,250,132,382,3,0
14,029/33/12,DEWAN,SEKOLAH KEBANGSAAN DEWAN BESAR,4,337,224,109,333,4,0
14,029/33/12,DEWAN,SEKOLAH KEBANGSAAN DEWAN BESAR,5,340,227,111,338,2,0
14,029/33/12,DEWAN,SEKOLAH KEBANGSAAN DEWAN BESAR,6,368,232,134,366,2,0
JUMLAH,,,,53,17356,11636,5599,17235,88,33
